City_Rank_by_Population(2021),State,State_Abbrieviation,City,Observation_Date,Median_Household_Income_Not_Seasonally_Adjusted_(weighted)_SAIPE,Estimated_Median_Household_Income_ACS,Estimated_Mean_Household_Income_ACS,Estimated_Median_Household_Income_Families_ACS,Estimated_Mean_Household_Income_Families_ACS,Estimated_Median_Household_Income_Married_Couples_ACS,Estimated_Mean_Household_Income_Married_Couples_ACS,Estimated_Median_Household_Income_Nonfamilies_ACS,Estimated_Mean_Household_Income_Nonfamilies_ACS,2021_estimated_population,2020_census,
12,Florida,FL,Jacksonville,1/1/2012," $43,835.00 "," $42,800.00 "," $58,712.00 "," $53,571.00 "," $69,537.00 "," $69,405.00 "," $86,559.00 "," $27,622.00 "," $39,154.00 ",954614,949611,
12,Florida,FL,Jacksonville,1/1/2013," $47,876.00 "," $47,424.00 "," $64,603.00 "," $58,031.00 "," $74,930.00 "," $73,639.00 "," $91,525.00 "," $31,509.00 "," $44,650.00 ",954614,949611,
12,Florida,FL,Jacksonville,1/1/2014," $46,013.00 "," $44,591.00 "," $61,506.00 "," $55,173.00 "," $71,731.00 "," $72,458.00 "," $89,663.00 "," $31,043.00 "," $42,492.00 ",954614,949611,
12,Florida,FL,Jacksonville,1/1/2015," $49,565.00 "," $48,239.00 "," $65,641.00 "," $59,678.00 "," $77,865.00 "," $76,906.00 "," $97,057.00 "," $32,933.00 "," $42,516.00 ",954614,949611,
12,Florida,FL,Jacksonville,1/1/2016," $51,948.00 "," $51,298.00 "," $67,984.00 "," $61,133.00 "," $79,042.00 "," $75,661.00 "," $95,327.00 "," $36,657.00 "," $47,500.00 ",954614,949611,
12,Florida,FL,Jacksonville,1/1/2017," $52,105.00 "," $51,497.00 "," $70,658.00 "," $64,742.00 "," $82,600.00 "," $80,624.00 "," $99,380.00 "," $33,227.00 "," $46,195.00 ",954614,949611,
12,Florida,FL,Jacksonville,1/1/2018," $55,733.00 "," $54,269.00 "," $76,438.00 "," $63,851.00 "," $88,534.00 "," $82,182.00 "," $111,005.00 "," $37,352.00 "," $51,254.00 ",954614,949611,
12,Florida,FL,Jacksonville,1/1/2019," $58,339.00 "," $56,975.00 "," $76,616.00 "," $68,135.00 "," $89,021.00 "," $84,991.00 "," $108,568.00 "," $39,641.00 "," $54,474.00 ",954614,949611,
12,Florida,FL,Jacksonville,1/1/2020," $55,202.00 "," $55,531.00 "," $76,190.00 "," $67,443.00 "," $89,258.00 "," $84,720.00 "," $108,285.00 "," $38,558.00 "," $52,251.00 ",954614,949611,
12,Florida,FL,Jacksonville,1/1/2021,," $58,621.00 "," $79,706.00 "," $72,016.00 "," $94,087.00 "," $91,435.00 "," $114,206.00 "," $41,161.00 "," $54,121.00 ",954614,949611,
13,Texas,TX,Fort Worth,1/1/2011," $52,882.00 "," $47,399.00 "," $63,223.00 "," $53,900.00 "," $71,363.00 "," $66,690.00 "," $86,279.00 "," $31,802.00 "," $43,508.00 ",935508,918915,
13,Texas,TX,Fort Worth,1/1/2012," $56,030.00 "," $50,750.00 "," $65,836.00 "," $60,489.00 "," $75,179.00 "," $76,314.00 "," $90,109.00 "," $32,753.00 "," $43,907.00 ",935508,918915,
13,Texas,TX,Fort Worth,1/1/2013," $56,906.00 "," $52,430.00 "," $70,298.00 "," $61,651.00 "," $80,425.00 "," $74,977.00 "," $96,965.00 "," $32,966.00 "," $44,381.00 ",935508,918915,
13,Texas,TX,Fort Worth,1/1/2014," $58,127.00 "," $52,273.00 "," $69,550.00 "," $61,433.00 "," $79,147.00 "," $78,470.00 "," $97,417.00 "," $34,997.00 "," $46,860.00 ",935508,918915,
13,Texas,TX,Fort Worth,1/1/2015," $60,735.00 "," $55,888.00 "," $74,068.00 "," $64,786.00 "," $83,543.00 "," $80,312.00 "," $100,062.00 "," $36,718.00 "," $50,744.00 ",935508,918915,
13,Texas,TX,Fort Worth,1/1/2016," $61,553.00 "," $56,428.00 "," $76,452.00 "," $64,019.00 "," $85,767.00 "," $83,996.00 "," $104,312.00 "," $40,732.00 "," $52,330.00 ",935508,918915,
13,Texas,TX,Fort Worth,1/1/2017," $65,021.00 "," $60,205.00 "," $77,953.00 "," $69,973.00 "," $87,628.00 "," $86,303.00 "," $103,034.00 "," $40,324.00 "," $53,856.00 ",935508,918915,
13,Texas,TX,Fort Worth,1/1/2018," $66,059.00 "," $58,448.00 "," $81,165.00 "," $66,765.00 "," $90,876.00 "," $83,864.00 "," $109,598.00 "," $37,350.00 "," $55,815.00 ",935508,918915,
13,Texas,TX,Fort Worth,1/1/2019," $70,130.00 "," $65,356.00 "," $84,833.00 "," $75,854.00 "," $96,376.00 "," $91,734.00 "," $112,091.00 "," $41,150.00 "," $56,153.00 ",935508,918915,
13,Texas,TX,Fort Worth,1/1/2020," $72,064.00 "," $64,567.00 "," $84,769.00 "," $75,537.00 "," $96,147.00 "," $92,540.00 "," $113,981.00 "," $42,438.00 "," $56,706.00 ",935508,918915,
13,Texas,TX,Fort Worth,1/1/2021,," $68,235.00 "," $93,412.00 "," $83,911.00 "," $108,139.00 "," $102,749.00 "," $128,772.00 "," $46,111.00 "," $60,648.00 ",935508,918915,
14,Ohio,OH,Columbus,1/1/2011," $47,174.00 "," $40,463.00 "," $53,018.00 "," $50,464.00 "," $62,707.00 "," $69,068.00 "," $79,321.00 "," $31,084.00 "," $41,038.00 ",906528,905748,
14,Ohio,OH,Columbus,1/1/2012," $50,053.00 "," $43,844.00 "," $56,403.00 "," $52,216.00 "," $64,941.00 "," $70,902.00 "," $82,113.00 "," $33,283.00 "," $44,373.00 ",906528,905748,
14,Ohio,OH,Columbus,1/1/2013," $51,456.00 "," $44,426.00 "," $58,383.00 "," $53,636.00 "," $69,254.00 "," $71,778.00 "," $86,262.00 "," $34,779.00 "," $43,925.00 ",906528,905748,
14,Ohio,OH,Columbus,1/1/2014," $53,164.00 "," $46,481.00 "," $59,508.00 "," $55,388.00 "," $68,667.00 "," $77,704.00 "," $88,635.00 "," $35,956.00 "," $45,771.00 ",906528,905748,
14,Ohio,OH,Columbus,1/1/2015," $53,939.00 "," $47,401.00 "," $61,071.00 "," $56,511.00 "," $70,227.00 "," $75,562.00 "," $87,708.00 "," $37,588.00 "," $48,755.00 ",906528,905748,
14,Ohio,OH,Columbus,1/1/2016," $56,090.00 "," $49,602.00 "," $63,195.00 "," $58,034.00 "," $73,069.00 "," $77,847.00 "," $92,371.00 "," $39,571.00 "," $49,467.00 ",906528,905748,
14,Ohio,OH,Columbus,1/1/2017," $59,214.00 "," $51,708.00 "," $65,562.00 "," $61,094.00 "," $76,018.00 "," $79,578.00 "," $94,381.00 "," $40,191.00 "," $50,616.00 ",906528,905748,
14,Ohio,OH,Columbus,1/1/2018," $60,383.00 "," $52,971.00 "," $68,102.00 "," $63,443.00 "," $78,201.00 "," $82,658.00 "," $97,339.00 "," $41,000.00 "," $54,108.00 ",906528,905748,
14,Ohio,OH,Columbus,1/1/2019," $64,648.00 "," $57,118.00 "," $75,149.00 "," $70,936.00 "," $88,043.00 "," $92,391.00 "," $109,777.00 "," $44,679.00 "," $58,601.00 ",906528,905748,
14,Ohio,OH,Columbus,1/1/2020," $62,643.00 "," $54,902.00 "," $70,667.00 "," $66,161.00 "," $81,473.00 "," $86,855.00 "," $102,063.00 "," $42,789.00 "," $55,590.00 ",906528,905748,
14,Ohio,OH,Columbus,1/1/2021,," $58,202.00 "," $74,938.00 "," $69,237.00 "," $86,505.00 "," $91,614.00 "," $107,677.00 "," $46,875.00 "," $59,241.00 ",906528,905748,
15,Indiana,IN,Indianapolis,1/1/2011," $39,957.00 "," $39,015.00 "," $54,453.00 "," $48,009.00 "," $63,272.00 "," $65,450.00 "," $80,389.00 "," $28,818.00 "," $39,448.00 ",882039,887642,
15,Indiana,IN,Indianapolis,1/1/2012," $41,586.00 "," $40,854.00 "," $56,047.00 "," $51,108.00 "," $67,809.00 "," $69,936.00 "," $86,545.00 "," $27,621.00 "," $37,497.00 ",882039,887642,
15,Indiana,IN,Indianapolis,1/1/2013," $41,478.00 "," $41,361.00 "," $59,325.00 "," $50,308.00 "," $69,557.00 "," $67,077.00 "," $90,164.00 "," $30,593.00 "," $42,297.00 ",882039,887642,
15,Indiana,IN,Indianapolis,1/1/2014," $42,700.00 "," $42,370.00 "," $58,384.00 "," $52,062.00 "," $71,570.00 "," $72,946.00 "," $92,498.00 "," $30,842.00 "," $39,573.00 ",882039,887642,
15,Indiana,IN,Indianapolis,1/1/2015," $41,407.00 "," $41,278.00 "," $59,286.00 "," $55,177.00 "," $75,029.00 "," $77,159.00 "," $97,158.00 "," $30,433.00 "," $39,775.00 ",882039,887642,
15,Indiana,IN,Indianapolis,1/1/2016," $45,300.00 "," $44,615.00 "," $65,086.00 "," $56,152.00 "," $77,983.00 "," $74,260.00 "," $94,881.00 "," $31,788.00 "," $47,250.00 ",882039,887642,
15,Indiana,IN,Indianapolis,1/1/2017," $47,642.00 "," $47,225.00 "," $66,016.00 "," $59,275.00 "," $79,393.00 "," $77,843.00 "," $99,003.00 "," $33,403.00 "," $47,562.00 ",882039,887642,
15,Indiana,IN,Indianapolis,1/1/2018," $48,409.00 "," $47,678.00 "," $67,036.00 "," $61,771.00 "," $81,576.00 "," $80,885.00 "," $103,259.00 "," $33,805.00 "," $46,970.00 ",882039,887642,
15,Indiana,IN,Indianapolis,1/1/2019," $50,707.00 "," $49,661.00 "," $69,886.00 "," $64,673.00 "," $88,033.00 "," $81,205.00 "," $105,576.00 "," $35,104.00 "," $48,571.00 ",882039,887642,
15,Indiana,IN,Indianapolis,1/1/2020," $56,185.00 "," $50,813.00 "," $71,733.00 "," $64,146.00 "," $87,236.00 "," $82,591.00 "," $107,242.00 "," $35,966.00 "," $50,750.00 ",882039,887642,
15,Indiana,IN,Indianapolis,1/1/2021,," $58,479.00 "," $79,689.00 "," $72,597.00 "," $95,195.00 "," $94,030.00 "," $117,056.00 "," $43,347.00 "," $55,753.00 ",882039,887642,
16,North Carolina,NC,Charlotte,1/1/2011," $52,111.00 "," $50,177.00 "," $75,977.00 "," $59,786.00 "," $89,980.00 "," $82,411.00 "," $116,572.00 "," $36,757.00 "," $50,804.00 ",879709,874579,
16,North Carolina,NC,Charlotte,1/1/2012," $55,392.00 "," $50,950.00 "," $76,682.00 "," $61,567.00 "," $92,559.00 "," $83,712.00 "," $117,781.00 "," $38,442.00 "," $51,354.00 ",879709,874579,
16,North Carolina,NC,Charlotte,1/1/2013," $54,657.00 "," $51,034.00 "," $78,625.00 "," $61,516.00 "," $93,821.00 "," $85,753.00 "," $120,742.00 "," $39,648.00 "," $54,043.00 ",879709,874579,
16,North Carolina,NC,Charlotte,1/1/2014," $59,049.00 "," $55,178.00 "," $82,032.00 "," $67,936.00 "," $98,502.00 "," $86,546.00 "," $123,462.00 "," $39,953.00 "," $54,295.00 ",879709,874579,
16,North Carolina,NC,Charlotte,1/1/2015," $57,029.00 "," $53,919.00 "," $81,373.00 "," $69,001.00 "," $98,749.00 "," $94,175.00 "," $125,386.00 "," $40,498.00 "," $54,608.00 ",879709,874579,
16,North Carolina,NC,Charlotte,1/1/2016," $63,197.00 "," $61,017.00 "," $86,922.00 "," $72,899.00 "," $104,225.00 "," $95,079.00 "," $128,377.00 "," $44,790.00 "," $58,956.00 ",879709,874579,
16,North Carolina,NC,Charlotte,1/1/2017," $65,750.00 "," $61,350.00 "," $92,835.00 "," $75,564.00 "," $115,310.00 "," $98,240.00 "," $140,068.00 "," $45,114.00 "," $58,704.00 ",879709,874579,
16,North Carolina,NC,Charlotte,1/1/2018," $64,509.00 "," $60,764.00 "," $93,601.00 "," $76,201.00 "," $114,981.00 "," $101,321.00 "," $142,840.00 "," $45,895.00 "," $60,579.00 ",879709,874579,
16,North Carolina,NC,Charlotte,1/1/2019," $69,455.00 "," $63,483.00 "," $99,175.00 "," $79,910.00 "," $122,645.00 "," $105,922.00 "," $154,995.00 "," $47,819.00 "," $64,811.00 ",879709,874579,
16,North Carolina,NC,Charlotte,1/1/2020," $72,340.00 "," $65,359.00 "," $98,462.00 "," $80,247.00 "," $120,644.00 "," $105,342.00 "," $149,145.00 "," $48,539.00 "," $64,721.00 ",879709,874579,
16,North Carolina,NC,Charlotte,1/1/2021,," $70,869.00 "," $105,574.00 "," $88,792.00 "," $130,882.00 "," $116,976.00 "," $160,206.00 "," $52,947.00 "," $69,914.00 ",879709,874579,
17,California,CA,San Francisco,1/1/2011," $69,354.00 "," $69,894.00 "," $102,831.00 "," $83,540.00 "," $121,254.00 "," $102,432.00 "," $140,649.00 "," $58,528.00 "," $84,902.00 ",815201,873965,
17,California,CA,San Francisco,1/1/2012," $72,093.00 "," $73,012.00 "," $107,259.00 "," $86,678.00 "," $127,742.00 "," $108,800.00 "," $149,796.00 "," $59,924.00 "," $88,802.00 ",815201,873965,
17,California,CA,San Francisco,1/1/2013," $76,933.00 "," $77,485.00 "," $117,255.00 "," $95,421.00 "," $139,476.00 "," $117,234.00 "," $163,056.00 "," $63,619.00 "," $96,846.00 ",815201,873965,
17,California,CA,San Francisco,1/1/2014," $83,788.00 "," $85,070.00 "," $119,215.00 "," $100,850.00 "," $141,220.00 "," $123,619.00 "," $165,807.00 "," $68,748.00 "," $97,202.00 ",815201,873965,
17,California,CA,San Francisco,1/1/2015," $90,527.00 "," $92,094.00 "," $134,152.00 "," $105,924.00 "," $153,057.00 "," $127,322.00 ",," $79,296.00 "," $115,281.00 ",815201,873965,
17,California,CA,San Francisco,1/1/2016," $101,873.00 "," $103,801.00 "," $144,957.00 "," $123,326.00 "," $172,095.00 "," $141,748.00 "," $193,669.00 "," $81,776.00 "," $114,449.00 ",815201,873965,
17,California,CA,San Francisco,1/1/2017," $109,601.00 "," $110,816.00 "," $151,667.00 "," $131,244.00 "," $177,408.00 "," $152,539.00 "," $201,740.00 "," $89,046.00 "," $122,796.00 ",815201,873965,
17,California,CA,San Francisco,1/1/2018," $110,601.00 "," $112,376.00 "," $166,893.00 "," $131,253.00 "," $198,515.00 "," $164,073.00 "," $228,180.00 "," $88,771.00 "," $131,364.00 ",815201,873965,
17,California,CA,San Francisco,1/1/2019," $121,795.00 "," $123,859.00 "," $173,858.00 "," $140,707.00 "," $195,102.00 "," $164,939.00 ",," $105,235.00 "," $151,619.00 ",815201,873965,
17,California,CA,San Francisco,1/1/2020," $121,722.00 "," $119,136.00 "," $167,663.00 "," $138,207.00 "," $196,384.00 "," $166,166.00 "," $225,237.00 "," $96,421.00 "," $136,839.00 ",815201,873965,
17,California,CA,San Francisco,1/1/2021,," $121,826.00 "," $181,909.00 "," $150,429.00 "," $224,909.00 "," $184,546.00 "," $261,506.00 "," $91,445.00 "," $136,860.00 ",815201,873965,
18,Washington,WA,Seattle,1/1/2011," $68,596.00 "," $61,037.00 "," $85,945.00 "," $91,279.00 "," $116,037.00 "," $108,404.00 "," $133,772.00 "," $41,477.00 "," $58,823.00 ",733919,737015,
18,Washington,WA,Seattle,1/1/2012," $68,944.00 "," $64,473.00 "," $89,972.00 "," $90,086.00 "," $121,912.00 "," $108,060.00 "," $139,249.00 "," $49,010.00 "," $63,345.00 ",733919,737015,
18,Washington,WA,Seattle,1/1/2013," $71,779.00 "," $70,172.00 "," $96,414.00 "," $102,459.00 "," $131,984.00 "," $119,541.00 "," $150,606.00 "," $50,104.00 "," $65,437.00 ",733919,737015,
18,Washington,WA,Seattle,1/1/2014," $75,738.00 "," $70,975.00 "," $97,591.00 "," $103,267.00 "," $131,448.00 "," $121,769.00 "," $148,488.00 "," $50,710.00 "," $67,939.00 ",733919,737015,
18,Washington,WA,Seattle,1/1/2015," $81,816.00 "," $80,349.00 "," $108,810.00 "," $113,273.00 "," $144,896.00 "," $132,397.00 "," $162,188.00 "," $55,351.00 "," $77,011.00 ",733919,737015,
18,Washington,WA,Seattle,1/1/2016," $85,907.00 "," $83,476.00 "," $119,401.00 "," $118,745.00 "," $159,938.00 "," $138,319.00 "," $183,298.00 "," $56,657.00 "," $82,406.00 ",733919,737015,
18,Washington,WA,Seattle,1/1/2017," $89,519.00 "," $86,822.00 "," $119,005.00 "," $121,256.00 "," $158,689.00 "," $140,621.00 ",," $63,990.00 "," $82,528.00 ",733919,737015,
18,Washington,WA,Seattle,1/1/2018," $94,822.00 "," $93,481.00 "," $131,383.00 "," $130,656.00 "," $172,160.00 "," $151,269.00 "," $191,780.00 "," $68,343.00 "," $93,740.00 ",733919,737015,
18,Washington,WA,Seattle,1/1/2019," $102,338.00 "," $102,486.00 "," $140,354.00 "," $152,242.00 "," $192,032.00 "," $173,434.00 "," $214,061.00 "," $70,847.00 "," $96,807.00 ",733919,737015,
18,Washington,WA,Seattle,1/1/2020," $102,620.00 "," $97,185.00 "," $134,355.00 "," $137,683.00 "," $181,433.00 "," $160,167.00 "," $202,840.00 "," $69,092.00 "," $93,997.00 ",733919,737015,
18,Washington,WA,Seattle,1/1/2021,," $110,781.00 "," $154,211.00 "," $165,479.00 "," $210,863.00 "," $197,357.00 ",," $75,100.00 "," $106,369.00 ",733919,737015,
19,Colorado,CO,Denver,1/1/2011," $47,584.00 "," $47,371.00 "," $71,488.00 "," $63,290.00 "," $89,819.00 "," $80,784.00 "," $106,858.00 "," $38,168.00 "," $53,919.00 ",711463,715522,
19,Colorado,CO,Denver,1/1/2012," $50,455.00 "," $50,488.00 "," $74,611.00 "," $62,143.00 "," $91,119.00 "," $81,333.00 "," $112,284.00 "," $40,064.00 "," $57,402.00 ",711463,715522,
19,Colorado,CO,Denver,1/1/2013," $51,156.00 "," $51,089.00 "," $76,688.00 "," $65,155.00 "," $94,793.00 "," $87,628.00 "," $115,159.00 "," $41,048.00 "," $59,557.00 ",711463,715522,
19,Colorado,CO,Denver,1/1/2014," $54,872.00 "," $54,941.00 "," $81,880.00 "," $71,439.00 "," $102,780.00 "," $86,481.00 "," $123,535.00 "," $43,119.00 "," $59,658.00 ",711463,715522,
19,Colorado,CO,Denver,1/1/2015," $57,886.00 "," $58,003.00 "," $84,540.00 "," $72,455.00 "," $104,350.00 "," $91,021.00 "," $124,702.00 "," $46,240.00 "," $62,590.00 ",711463,715522,
19,Colorado,CO,Denver,1/1/2016," $61,038.00 "," $61,105.00 "," $90,835.00 "," $78,641.00 "," $113,479.00 "," $95,354.00 "," $135,024.00 "," $46,593.00 "," $65,781.00 ",711463,715522,
19,Colorado,CO,Denver,1/1/2017," $64,974.00 "," $65,224.00 "," $96,244.00 "," $85,166.00 "," $122,645.00 "," $102,932.00 "," $145,219.00 "," $51,754.00 "," $69,835.00 ",711463,715522,
19,Colorado,CO,Denver,1/1/2018," $68,069.00 "," $68,377.00 "," $99,728.00 "," $90,020.00 "," $127,709.00 "," $110,654.00 "," $149,149.00 "," $54,571.00 "," $73,208.00 ",711463,715522,
19,Colorado,CO,Denver,1/1/2019," $75,456.00 "," $75,646.00 "," $106,715.00 "," $98,247.00 "," $135,179.00 "," $122,104.00 "," $161,134.00 "," $59,201.00 "," $78,164.00 ",711463,715522,
19,Colorado,CO,Denver,1/1/2020," $75,355.00 "," $72,661.00 "," $105,901.00 "," $93,236.00 "," $132,820.00 "," $115,695.00 "," $156,694.00 "," $56,719.00 "," $78,492.00 ",711463,715522,
19,Colorado,CO,Denver,1/1/2021,," $81,630.00 "," $115,122.00 "," $105,365.00 "," $145,483.00 "," $129,182.00 "," $173,244.00 "," $63,720.00 "," $85,674.00 ",711463,715522,
20,Oklahoma,OK,Oklahoma City,1/1/2011," $45,387.44 "," $42,995.00 "," $59,520.00 "," $54,215.00 "," $71,429.00 "," $67,077.00 "," $84,474.00 "," $27,553.00 "," $38,078.00 ",687725,681054,
20,Oklahoma,OK,Oklahoma City,1/1/2012," $46,259.23 "," $43,352.00 "," $62,331.00 "," $55,846.00 "," $76,031.00 "," $70,652.00 "," $90,845.00 "," $30,008.00 "," $38,343.00 ",687725,681054,
20,Oklahoma,OK,Oklahoma City,1/1/2013," $48,342.85 "," $46,232.00 "," $64,532.00 "," $58,947.00 "," $76,172.00 "," $72,371.00 "," $91,405.00 "," $32,073.00 "," $43,843.00 ",687725,681054,
20,Oklahoma,OK,Oklahoma City,1/1/2014," $50,878.71 "," $49,119.00 "," $67,544.00 "," $58,938.00 "," $80,035.00 "," $74,429.00 "," $96,897.00 "," $32,519.00 "," $45,025.00 ",687725,681054,
20,Oklahoma,OK,Oklahoma City,1/1/2015," $51,856.03 "," $50,739.00 "," $71,043.00 "," $62,614.00 "," $84,928.00 "," $79,964.00 "," $102,399.00 "," $32,576.00 "," $45,494.00 ",687725,681054,
20,Oklahoma,OK,Oklahoma City,1/1/2016," $53,528.32 "," $52,915.00 "," $72,385.00 "," $65,791.00 "," $86,725.00 "," $81,347.00 "," $103,347.00 "," $33,460.00 "," $46,483.00 ",687725,681054,
20,Oklahoma,OK,Oklahoma City,1/1/2017," $54,217.90 "," $52,062.00 "," $74,194.00 "," $67,201.00 "," $89,072.00 "," $84,789.00 "," $105,912.00 "," $34,789.00 "," $47,527.00 ",687725,681054,
20,Oklahoma,OK,Oklahoma City,1/1/2018," $54,877.56 "," $53,973.00 "," $76,561.00 "," $65,588.00 "," $90,994.00 "," $83,841.00 "," $110,154.00 "," $37,965.00 "," $51,423.00 ",687725,681054,
20,Oklahoma,OK,Oklahoma City,1/1/2019," $58,650.34 "," $55,492.00 "," $77,952.00 "," $70,386.00 "," $94,147.00 "," $88,357.00 "," $114,078.00 "," $38,531.00 "," $50,472.00 ",687725,681054,
20,Oklahoma,OK,Oklahoma City,1/1/2020," $57,835.93 "," $56,456.00 "," $78,057.00 "," $71,130.00 "," $93,794.00 "," $87,808.00 "," $112,067.00 "," $38,161.00 "," $50,671.00 ",687725,681054,
20,Oklahoma,OK,Oklahoma City,1/1/2021,," $59,214.00 "," $78,318.00 "," $71,189.00 "," $91,274.00 "," $88,302.00 "," $109,826.00 "," $40,168.00 "," $53,600.00 ",687725,681054,
21,Tennessee,TN,Nashville,1/1/2011," $43,893.00 ",,,,,,,,,678851,689447,
21,Tennessee,TN,Nashville,1/1/2012," $44,864.00 ",,,,,,,,,678851,689447,
21,Tennessee,TN,Nashville,1/1/2013," $47,239.00 ",,,,,,,,,678851,689447,
21,Tennessee,TN,Nashville,1/1/2014," $48,195.00 ",,,,,,,,,678851,689447,
21,Tennessee,TN,Nashville,1/1/2015," $51,999.00 ",,,,,,,,,678851,689447,
21,Tennessee,TN,Nashville,1/1/2016," $54,666.00 ",,,,,,,,,678851,689447,
21,Tennessee,TN,Nashville,1/1/2017," $58,264.00 ",,,,,,,,,678851,689447,
21,Tennessee,TN,Nashville,1/1/2018," $60,799.00 ",,,,,,,,,678851,689447,
21,Tennessee,TN,Nashville,1/1/2019," $63,846.00 ",,,,,,,,,678851,689447,
21,Tennessee,TN,Nashville,1/1/2020," $64,418.00 "," $62,087.00 "," $86,197.00 "," $76,007.00 "," $102,601.00 "," $95,263.00 "," $123,399.00 "," $47,912.00 "," $64,470.00 ",678851,689447,
21,Tennessee,TN,Nashville,1/1/2021,," $64,857.00 "," $95,481.00 "," $81,660.00 "," $115,121.00 "," $101,365.00 "," $140,635.00 "," $51,779.00 "," $69,894.00 ",678851,689447,
22,Texas,TX,El Paso,1/1/2011," $39,116.00 "," $40,702.00 "," $56,593.00 "," $45,067.00 "," $61,431.00 "," $56,631.00 "," $73,933.00 "," $27,304.00 "," $42,123.00 ",678415,678815,
22,Texas,TX,El Paso,1/1/2012," $40,092.00 "," $40,974.00 "," $56,620.00 "," $46,770.00 "," $60,821.00 "," $56,707.00 "," $72,472.00 "," $22,505.00 "," $40,926.00 ",678415,678815,
22,Texas,TX,El Paso,1/1/2013," $39,748.00 "," $41,129.00 "," $57,063.00 "," $46,420.00 "," $63,307.00 "," $57,218.00 "," $77,389.00 "," $23,529.00 "," $38,037.00 ",678415,678815,
22,Texas,TX,El Paso,1/1/2014," $40,081.00 "," $41,221.00 "," $56,539.00 "," $46,184.00 "," $63,128.00 "," $58,351.00 "," $76,169.00 "," $27,410.00 "," $37,053.00 ",678415,678815,
22,Texas,TX,El Paso,1/1/2015," $43,101.00 "," $45,069.00 "," $57,990.00 "," $50,447.00 "," $64,292.00 "," $59,282.00 "," $74,237.00 "," $27,994.00 "," $39,294.00 ",678415,678815,
22,Texas,TX,El Paso,1/1/2016," $42,048.00 "," $43,200.00 "," $58,682.00 "," $49,389.00 "," $65,696.00 "," $61,478.00 "," $76,712.00 "," $27,720.00 "," $38,055.00 ",678415,678815,
22,Texas,TX,El Paso,1/1/2017," $44,120.00 "," $44,754.00 "," $61,557.00 "," $50,933.00 "," $68,351.00 "," $64,054.00 "," $82,398.00 "," $25,736.00 "," $40,157.00 ",678415,678815,
22,Texas,TX,El Paso,1/1/2018," $43,948.00 "," $45,031.00 "," $63,377.00 "," $50,245.00 "," $70,952.00 "," $61,125.00 "," $85,079.00 "," $25,720.00 "," $42,998.00 ",678415,678815,
22,Texas,TX,El Paso,1/1/2019," $48,629.00 "," $48,542.00 "," $63,765.00 "," $54,147.00 "," $71,389.00 "," $68,793.00 "," $87,345.00 "," $30,026.00 "," $42,302.00 ",678415,678815,
22,Texas,TX,El Paso,1/1/2020," $48,522.00 "," $48,866.00 "," $66,117.00 "," $55,638.00 "," $73,967.00 "," $68,908.00 "," $87,461.00 "," $27,694.00 "," $42,944.00 ",678415,678815,
22,Texas,TX,El Paso,1/1/2021,," $51,241.00 "," $70,044.00 "," $57,116.00 "," $78,131.00 "," $74,448.00 "," $95,841.00 "," $31,233.00 "," $44,930.00 ",678415,678815,
23,District of Columbia,DC,Washington,1/1/2011," $55,251.00 "," $63,124.00 "," $98,177.00 "," $75,603.00 "," $123,998.00 "," $148,533.00 "," $186,565.00 "," $56,745.00 "," $77,492.00 ",670050,689545,
23,District of Columbia,DC,Washington,1/1/2012," $65,246.00 "," $66,583.00 "," $102,160.00 "," $82,268.00 "," $129,347.00 "," $136,555.00 "," $186,097.00 "," $55,639.00 "," $80,440.00 ",670050,689545,
23,District of Columbia,DC,Washington,1/1/2013," $60,057.00 "," $67,572.00 "," $102,882.00 "," $72,337.00 "," $126,862.00 "," $133,600.00 "," $186,866.00 "," $63,192.00 "," $80,921.00 ",670050,689545,
23,District of Columbia,DC,Washington,1/1/2014," $68,277.00 "," $71,648.00 "," $103,525.00 "," $84,094.00 "," $125,324.00 "," $142,152.00 "," $178,408.00 "," $61,126.00 "," $84,957.00 ",670050,689545,
23,District of Columbia,DC,Washington,1/1/2015," $70,071.00 "," $75,628.00 "," $114,600.00 "," $94,846.00 "," $147,329.00 "," $157,430.00 "," $210,595.00 "," $62,840.00 "," $85,768.00 ",670050,689545,
23,District of Columbia,DC,Washington,1/1/2016," $70,982.00 "," $75,506.00 "," $114,432.00 "," $98,498.00 "," $148,208.00 "," $157,776.00 "," $205,996.00 "," $61,948.00 "," $85,226.00 ",670050,689545,
23,District of Columbia,DC,Washington,1/1/2017," $81,282.00 "," $82,372.00 "," $121,095.00 "," $106,528.00 "," $155,436.00 "," $170,210.00 "," $216,463.00 "," $68,067.00 "," $93,057.00 ",670050,689545,
23,District of Columbia,DC,Washington,1/1/2018," $85,750.00 "," $85,203.00 "," $124,946.00 "," $117,713.00 "," $165,174.00 "," $189,213.00 "," $227,903.00 "," $71,189.00 "," $92,251.00 ",670050,689545,
23,District of Columbia,DC,Washington,1/1/2019," $93,111.00 "," $92,266.00 "," $135,369.00 "," $130,291.00 "," $175,610.00 "," $184,848.00 "," $235,522.00 "," $76,529.00 "," $101,740.00 ",670050,689545,
23,District of Columbia,DC,Washington,1/1/2020," $88,218.00 "," $90,842.00 "," $133,587.00 "," $120,337.00 "," $173,874.00 "," $187,153.00 "," $236,954.00 "," $75,477.00 "," $100,305.00 ",670050,689545,
