City,State,Metric,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error
Riverside,California,Occupied housing units,87752,3694,87752,
Sacramento,California,Occupied housing units,176168,5046,176168,
San Antonio,Texas,Occupied housing units,470223,4982,470223,
San Diego,California,Occupied housing units,469635,6664,469635,
San Francisco,California,Occupied housing units,336012,4358,336012,
San Jose,California,Occupied housing units,297637,4429,297637,
Santa Ana,California,Occupied housing units,71288,2600,71288,
Seattle,Washington,Occupied housing units,277520,5743,277520,
St. Paul,Minnesota,Occupied housing units,110088,2941,110088,
Stockton,California,Occupied housing units,91200,2669,91200,
Tampa,Florida,Occupied housing units,133070,3857,133070,
Tucson,Arizona,Occupied housing units,201761,4584,201761,
Tulsa,Oklahoma,Occupied housing units,163173,2981,163173,
Virginia Beach,Virginia,Occupied housing units,164300,2574,164300,
Washington,District of Columbia,Occupied housing units,252388,3730,252388,
Wichita,Kansas,Occupied housing units,149648,2521,149648,
Albuquerque,New Mexico,Owneroccupied,133505,3890,59.7,1.6
Anaheim,California,Owneroccupied,48584,2753,48.4,2.2
Anchorage,Alaska,Owneroccupied,64018,2242,61,2.1
Arlington,Texas,Owneroccupied,76848,3778,57.6,2.5
Atlanta,Georgia,Owneroccupied,76417,3983,44.4,1.7
Aurora,Colorado,Owneroccupied,72736,3039,60.8,1.8
Austin,Texas,Owneroccupied,145720,4888,45.1,1.3
Bakersfield,California,Owneroccupied,64761,3103,59.2,2.2
Baltimore,Maryland,Owneroccupied,109283,3391,45.9,1.4
Boston,Massachusetts,Owneroccupied,81770,3771,32.5,1.4
Chicago,Illinois,Owneroccupied,465248,8385,45.9,0.7
Cincinnati,Ohio,Owneroccupied,53430,3174,42.4,2.1
Cleveland,Ohio,Owneroccupied,77462,3356,46.9,1.6
Colorado Springs,Colorado,Owneroccupied,97971,3063,58.5,1.7
Columbus,Ohio,Owneroccupied,151463,4653,47.4,1.4
Corpus Christi,Texas,Owneroccupied,64265,3158,57.9,2.7
Dallas,Texas,Owneroccupied,194231,4868,43.4,1
Denver,Colorado,Owneroccupied,131790,3587,50.3,1.3
Detroit,Michigan,Owneroccupied,135864,4539,53.2,1.5
El Paso,Texas,Owneroccupied,125754,3894,59.7,1.7
Fresno,California,Owneroccupied,74995,3481,49.1,1.9
Greensboro,North Carolina,Owneroccupied,58373,2797,53.4,2.4
Henderson,Nevada,Owneroccupied,63829,3116,64.4,2.2
Houston,Texas,Owneroccupied,352374,6158,46.2,0.7
Indianapolis,Indiana,Owneroccupied,183332,4460,56.8,1.1
Irvine,California,Owneroccupied,38163,2550,50.1,2.8
Jacksonville,Florida,Owneroccupied,190954,5481,62,1.6
Jersey City,New Jersey,Owneroccupied,28744,2462,31,2.4
Las Vegas,Nevada,Owneroccupied,113974,4344,54,1.7
Lincoln,Nebraska,Owneroccupied,59237,2274,56.8,2
Long Beach,California,Owneroccupied,62682,2749,39.6,1.7
Los Angeles,California,Owneroccupied,493028,7998,37.6,0.6
Memphis,Tennessee,Owneroccupied,125745,3852,52.1,1.4
Mesa,Arizona,Owneroccupied,100527,4072,61.8,1.9
Miami,Florida,Owneroccupied,47978,3345,32.9,1.9
Milwaukee,Wisconsin,Owneroccupied,102660,3527,44.8,1.4
Minneapolis,Minnesota,Owneroccupied,82288,3562,49.6,1.8
New Orleans,Louisiana,Owneroccupied,71457,2896,50.3,2.1
New York,New York,Owneroccupied,976294,11064,32.1,0.4
Newark,New Jersey,Owneroccupied,21695,1932,23.7,2
Oakland,California,Owneroccupied,61547,3357,40.5,1.9
Omaha,Nebraska,Owneroccupied,95584,2846,58.5,1.5
Orlando,Florida,Owneroccupied,38569,2955,39.9,2.7
Philadelphia,Pennsylvania,Owneroccupied,311284,6713,54.1,1
Phoenix,Arizona,Owneroccupied,285182,7086,55.8,1.2
Pittsburgh,Pennsylvania,Owneroccupied,66693,2965,51.4,1.8
Plano,Texas,Owneroccupied,64034,2588,65.7,2.4
Portland,Oregon,Owneroccupied,129761,2956,53.1,1
Riverside,California,Owneroccupied,50025,2848,57,2.6
Sacramento,California,Owneroccupied,86950,4208,49.4,1.9
San Antonio,Texas,Owneroccupied,262804,4755,55.9,0.9
San Diego,California,Owneroccupied,224874,5989,47.9,1
San Francisco,California,Owneroccupied,123128,4317,36.6,1.3
San Jose,California,Owneroccupied,173280,4849,58.2,1.5
Santa Ana,California,Owneroccupied,33884,2319,47.5,2.5
Seattle,Washington,Owneroccupied,130208,4120,46.9,1.2
St. Paul,Minnesota,Owneroccupied,56517,2748,51.3,2
Stockton,California,Owneroccupied,47779,2647,52.4,2.6
Tampa,Florida,Owneroccupied,67733,3405,50.9,2.1
Tucson,Arizona,Owneroccupied,105875,4535,52.5,1.9
Tulsa,Oklahoma,Owneroccupied,88872,3044,54.5,1.9
Virginia Beach,Virginia,Owneroccupied,107949,3408,65.7,2
Washington,District of Columbia,Owneroccupied,107193,3924,42.5,1.6
Wichita,Kansas,Owneroccupied,92297,2886,61.7,1.9
Albuquerque,New Mexico,Renteroccupied,90000,3764,40.3,1.6
Anaheim,California,Renteroccupied,51820,2637,51.6,2.2
Anchorage,Alaska,Renteroccupied,40975,2566,39,2.1
Arlington,Texas,Renteroccupied,56643,3541,42.4,2.5
Atlanta,Georgia,Renteroccupied,95742,3914,55.6,1.7
Aurora,Colorado,Renteroccupied,46823,2368,39.2,1.8
Austin,Texas,Renteroccupied,177562,4479,54.9,1.3
Bakersfield,California,Renteroccupied,44659,2648,40.8,2.2
Baltimore,Maryland,Renteroccupied,128662,4596,54.1,1.4
Boston,Massachusetts,Renteroccupied,169951,4734,67.5,1.4
Chicago,Illinois,Renteroccupied,549328,8469,54.1,0.7
Cincinnati,Ohio,Renteroccupied,72715,3699,57.6,2.1
Cleveland,Ohio,Renteroccupied,87528,3312,53.1,1.6
Colorado Springs,Colorado,Renteroccupied,69390,3422,41.5,1.7
Columbus,Ohio,Renteroccupied,167965,5745,52.6,1.4
Corpus Christi,Texas,Renteroccupied,46689,3377,42.1,2.7
Dallas,Texas,Renteroccupied,253449,6358,56.6,1
Denver,Colorado,Renteroccupied,130303,4330,49.7,1.3
Detroit,Michigan,Renteroccupied,119337,4477,46.8,1.5
El Paso,Texas,Renteroccupied,85000,3859,40.3,1.7
Fresno,California,Renteroccupied,77895,3201,50.9,1.9
Greensboro,North Carolina,Renteroccupied,50882,3347,46.6,2.4
Henderson,Nevada,Renteroccupied,35266,2258,35.6,2.2
Houston,Texas,Renteroccupied,409935,6689,53.8,0.7
Indianapolis,Indiana,Renteroccupied,139368,4553,43.2,1.1
Irvine,California,Renteroccupied,38009,2360,49.9,2.8
Jacksonville,Florida,Renteroccupied,117219,5819,38,1.6
Jersey City,New Jersey,Renteroccupied,63905,2803,69,2.4
Las Vegas,Nevada,Renteroccupied,96976,4369,46,1.7
Lincoln,Nebraska,Renteroccupied,45049,2274,43.2,2
Long Beach,California,Renteroccupied,95704,4121,60.4,1.7
Los Angeles,California,Renteroccupied,817231,11253,62.4,0.6
Memphis,Tennessee,Renteroccupied,115655,4165,47.9,1.4
Mesa,Arizona,Renteroccupied,62164,3633,38.2,1.9
Miami,Florida,Renteroccupied,97844,4117,67.1,1.9
Milwaukee,Wisconsin,Renteroccupied,126285,3755,55.2,1.4
Minneapolis,Minnesota,Renteroccupied,83510,3467,50.4,1.8
New Orleans,Louisiana,Renteroccupied,70636,4016,49.7,2.1
New York,New York,Renteroccupied,2063173,13509,67.9,0.4
Newark,New Jersey,Renteroccupied,69719,3090,76.3,2
Oakland,California,Renteroccupied,90261,3525,59.5,1.9
Omaha,Nebraska,Renteroccupied,67827,2873,41.5,1.5
Orlando,Florida,Renteroccupied,58184,3480,60.1,2.7
Philadelphia,Pennsylvania,Renteroccupied,264129,6251,45.9,1
Phoenix,Arizona,Renteroccupied,226250,6816,44.2,1.2
Pittsburgh,Pennsylvania,Renteroccupied,63135,3070,48.6,1.8
Plano,Texas,Renteroccupied,33490,2835,34.3,2.4
Portland,Oregon,Renteroccupied,114431,3189,46.9,1
Riverside,California,Renteroccupied,37727,3009,43,2.6
Sacramento,California,Renteroccupied,89218,4095,50.6,1.9
San Antonio,Texas,Renteroccupied,207419,4854,44.1,0.9
San Diego,California,Renteroccupied,244761,5517,52.1,1
San Francisco,California,Renteroccupied,212884,5751,63.4,1.3
San Jose,California,Renteroccupied,124357,4860,41.8,1.5
Santa Ana,California,Renteroccupied,37404,2120,52.5,2.5
Seattle,Washington,Renteroccupied,147312,4747,53.1,1.2
St. Paul,Minnesota,Renteroccupied,53571,2520,48.7,2
Stockton,California,Renteroccupied,43421,2736,47.6,2.6
Tampa,Florida,Renteroccupied,65337,3492,49.1,2.1
Tucson,Arizona,Renteroccupied,95886,4389,47.5,1.9
Tulsa,Oklahoma,Renteroccupied,74301,3680,45.5,1.9
Virginia Beach,Virginia,Renteroccupied,56351,3577,34.3,2
Washington,District of Columbia,Renteroccupied,145195,4932,57.5,1.6
Wichita,Kansas,Renteroccupied,57351,3195,38.3,1.9
Albuquerque,New Mexico,Average household size of owneroccupied unit,2.55,0.05,,
Anaheim,California,Average household size of owneroccupied unit,3.42,0.12,,
Anchorage,Alaska,Average household size of owneroccupied unit,2.79,0.08,,
Arlington,Texas,Average household size of owneroccupied unit,2.83,0.09,,
Atlanta,Georgia,Average household size of owneroccupied unit,2.28,0.08,,
Aurora,Colorado,Average household size of owneroccupied unit,2.65,0.1,,
Austin,Texas,Average household size of owneroccupied unit,2.56,0.05,,
Bakersfield,California,Average household size of owneroccupied unit,3.14,0.1,,
Baltimore,Maryland,Average household size of owneroccupied unit,2.61,0.08,,
Boston,Massachusetts,Average household size of owneroccupied unit,2.51,0.08,,
Chicago,Illinois,Average household size of owneroccupied unit,2.78,0.04,,
Cincinnati,Ohio,Average household size of owneroccupied unit,2.36,0.09,,
Cleveland,Ohio,Average household size of owneroccupied unit,2.35,0.08,,
Colorado Springs,Colorado,Average household size of owneroccupied unit,2.59,0.07,,
Columbus,Ohio,Average household size of owneroccupied unit,2.47,0.05,,
Corpus Christi,Texas,Average household size of owneroccupied unit,2.84,0.12,,
Dallas,Texas,Average household size of owneroccupied unit,2.84,0.06,,
Denver,Colorado,Average household size of owneroccupied unit,2.39,0.06,,
Detroit,Michigan,Average household size of owneroccupied unit,2.74,0.08,,
El Paso,Texas,Average household size of owneroccupied unit,3.13,0.07,,
Fresno,California,Average household size of owneroccupied unit,3.12,0.09,,
Greensboro,North Carolina,Average household size of owneroccupied unit,2.48,0.1,,
Henderson,Nevada,Average household size of owneroccupied unit,2.58,0.09,,
Houston,Texas,Average household size of owneroccupied unit,2.9,0.04,,
Indianapolis,Indiana,Average household size of owneroccupied unit,2.61,0.05,,
Irvine,California,Average household size of owneroccupied unit,2.86,0.11,,
Jacksonville,Florida,Average household size of owneroccupied unit,2.68,0.05,,
Jersey City,New Jersey,Average household size of owneroccupied unit,2.9,0.14,,
Las Vegas,Nevada,Average household size of owneroccupied unit,2.74,0.08,,
Lincoln,Nebraska,Average household size of owneroccupied unit,2.48,0.07,,
Long Beach,California,Average household size of owneroccupied unit,3.06,0.12,,
Los Angeles,California,Average household size of owneroccupied unit,3.07,0.04,,
Memphis,Tennessee,Average household size of owneroccupied unit,2.57,0.07,,
Mesa,Arizona,Average household size of owneroccupied unit,2.66,0.09,,
Miami,Florida,Average household size of owneroccupied unit,2.84,0.15,,
Milwaukee,Wisconsin,Average household size of owneroccupied unit,2.63,0.06,,
Minneapolis,Minnesota,Average household size of owneroccupied unit,2.32,0.07,,
New Orleans,Louisiana,Average household size of owneroccupied unit,2.5,0.06,,
New York,New York,Average household size of owneroccupied unit,2.86,0.02,,
Newark,New Jersey,Average household size of owneroccupied unit,3.17,0.23,,
Oakland,California,Average household size of owneroccupied unit,2.84,0.12,,
Omaha,Nebraska,Average household size of owneroccupied unit,2.6,0.06,,
Orlando,Florida,Average household size of owneroccupied unit,2.57,0.12,,
Philadelphia,Pennsylvania,Average household size of owneroccupied unit,2.73,0.05,,
Phoenix,Arizona,Average household size of owneroccupied unit,2.82,0.06,,
Pittsburgh,Pennsylvania,Average household size of owneroccupied unit,2.36,0.08,,
Plano,Texas,Average household size of owneroccupied unit,2.91,0.09,,
Portland,Oregon,Average household size of owneroccupied unit,2.55,0.06,,
Riverside,California,Average household size of owneroccupied unit,3.57,0.17,,
Sacramento,California,Average household size of owneroccupied unit,2.6,0.08,,
San Antonio,Texas,Average household size of owneroccupied unit,2.97,0.05,,
San Diego,California,Average household size of owneroccupied unit,2.76,0.05,,
San Francisco,California,Average household size of owneroccupied unit,2.76,0.07,,
San Jose,California,Average household size of owneroccupied unit,3.2,0.06,,
Santa Ana,California,Average household size of owneroccupied unit,4.53,0.22,,
Seattle,Washington,Average household size of owneroccupied unit,2.38,0.07,,
St. Paul,Minnesota,Average household size of owneroccupied unit,2.61,0.1,,
Stockton,California,Average household size of owneroccupied unit,3.1,0.12,,
Tampa,Florida,Average household size of owneroccupied unit,2.57,0.08,,
Tucson,Arizona,Average household size of owneroccupied unit,2.58,0.07,,
Tulsa,Oklahoma,Average household size of owneroccupied unit,2.42,0.06,,
Virginia Beach,Virginia,Average household size of owneroccupied unit,2.7,0.06,,
Washington,District of Columbia,Average household size of owneroccupied unit,2.31,0.06,,
Wichita,Kansas,Average household size of owneroccupied unit,2.73,0.07,,
Albuquerque,New Mexico,Average household size of renteroccupied unit,2.24,0.08,,
Anaheim,California,Average household size of renteroccupied unit,3.23,0.15,,
Anchorage,Alaska,Average household size of renteroccupied unit,2.58,0.11,,
Arlington,Texas,Average household size of renteroccupied unit,2.6,0.11,,
Atlanta,Georgia,Average household size of renteroccupied unit,2.27,0.1,,
Aurora,Colorado,Average household size of renteroccupied unit,2.82,0.13,,
Austin,Texas,Average household size of renteroccupied unit,2.25,0.05,,
Bakersfield,California,Average household size of renteroccupied unit,3.2,0.15,,
Baltimore,Maryland,Average household size of renteroccupied unit,2.47,0.07,,
Boston,Massachusetts,Average household size of renteroccupied unit,2.2,0.05,,
Chicago,Illinois,Average household size of renteroccupied unit,2.47,0.03,,
Cincinnati,Ohio,Average household size of renteroccupied unit,2.14,0.08,,
Cleveland,Ohio,Average household size of renteroccupied unit,2.3,0.07,,
Colorado Springs,Colorado,Average household size of renteroccupied unit,2.31,0.08,,
Columbus,Ohio,Average household size of renteroccupied unit,2.38,0.05,,
Corpus Christi,Texas,Average household size of renteroccupied unit,2.53,0.13,,
Dallas,Texas,Average household size of renteroccupied unit,2.48,0.06,,
Denver,Colorado,Average household size of renteroccupied unit,2.1,0.06,,
Detroit,Michigan,Average household size of renteroccupied unit,2.76,0.09,,
El Paso,Texas,Average household size of renteroccupied unit,2.98,0.09,,
Fresno,California,Average household size of renteroccupied unit,3.29,0.12,,
Greensboro,North Carolina,Average household size of renteroccupied unit,2.22,0.1,,
Henderson,Nevada,Average household size of renteroccupied unit,2.63,0.16,,
Houston,Texas,Average household size of renteroccupied unit,2.59,0.04,,
Indianapolis,Indiana,Average household size of renteroccupied unit,2.38,0.07,,
Irvine,California,Average household size of renteroccupied unit,2.49,0.12,,
Jacksonville,Florida,Average household size of renteroccupied unit,2.46,0.08,,
Jersey City,New Jersey,Average household size of renteroccupied unit,2.54,0.11,,
Las Vegas,Nevada,Average household size of renteroccupied unit,2.72,0.1,,
Lincoln,Nebraska,Average household size of renteroccupied unit,2.16,0.1,,
Long Beach,California,Average household size of renteroccupied unit,2.7,0.09,,
Los Angeles,California,Average household size of renteroccupied unit,2.7,0.03,,
Memphis,Tennessee,Average household size of renteroccupied unit,2.63,0.08,,
Mesa,Arizona,Average household size of renteroccupied unit,2.72,0.14,,
Miami,Florida,Average household size of renteroccupied unit,2.6,0.1,,
Milwaukee,Wisconsin,Average household size of renteroccupied unit,2.46,0.05,,
Minneapolis,Minnesota,Average household size of renteroccupied unit,2.1,0.09,,
New Orleans,Louisiana,Average household size of renteroccupied unit,2.27,0.09,,
New York,New York,Average household size of renteroccupied unit,2.53,0.01,,
Newark,New Jersey,Average household size of renteroccupied unit,2.76,0.1,,
Oakland,California,Average household size of renteroccupied unit,2.36,0.08,,
Omaha,Nebraska,Average household size of renteroccupied unit,2.25,0.07,,
Orlando,Florida,Average household size of renteroccupied unit,2.38,0.12,,
Philadelphia,Pennsylvania,Average household size of renteroccupied unit,2.39,0.05,,
Phoenix,Arizona,Average household size of renteroccupied unit,2.76,0.07,,
Pittsburgh,Pennsylvania,Average household size of renteroccupied unit,1.97,0.09,,
Plano,Texas,Average household size of renteroccupied unit,2.24,0.13,,
Portland,Oregon,Average household size of renteroccupied unit,2.07,0.06,,
Riverside,California,Average household size of renteroccupied unit,3.21,0.22,,
Sacramento,California,Average household size of renteroccupied unit,2.59,0.11,,
San Antonio,Texas,Average household size of renteroccupied unit,2.54,0.06,,
San Diego,California,Average household size of renteroccupied unit,2.62,0.04,,
San Francisco,California,Average household size of renteroccupied unit,2.14,0.04,,
San Jose,California,Average household size of renteroccupied unit,3.08,0.08,,
Santa Ana,California,Average household size of renteroccupied unit,4.42,0.23,,
Seattle,Washington,Average household size of renteroccupied unit,1.85,0.05,,
St. Paul,Minnesota,Average household size of renteroccupied unit,2.38,0.09,,
Stockton,California,Average household size of renteroccupied unit,3.17,0.15,,
Tampa,Florida,Average household size of renteroccupied unit,2.35,0.11,,
Tucson,Arizona,Average household size of renteroccupied unit,2.34,0.09,,
Tulsa,Oklahoma,Average household size of renteroccupied unit,2.29,0.08,,
Virginia Beach,Virginia,Average household size of renteroccupied unit,2.55,0.09,,
Washington,District of Columbia,Average household size of renteroccupied unit,2.18,0.06,,
Wichita,Kansas,Average household size of renteroccupied unit,2.22,0.09,,
Albuquerque,New Mexico,Occupied housing units,223505,2539,223505,
Anaheim,California,Occupied housing units,100404,3112,100404,
Anchorage,Alaska,Occupied housing units,104993,2002,104993,
Arlington,Texas,Occupied housing units,133491,3094,133491,
Atlanta,Georgia,Occupied housing units,172159,5268,172159,
Aurora,Colorado,Occupied housing units,119559,3177,119559,
Austin,Texas,Occupied housing units,323282,4713,323282,
Bakersfield,California,Occupied housing units,109420,3039,109420,
Baltimore,Maryland,Occupied housing units,237945,4515,237945,
Boston,Massachusetts,Occupied housing units,251721,4587,251721,
Chicago,Illinois,Occupied housing units,1014576,8579,1014576,
Cincinnati,Ohio,Occupied housing units,126145,4336,126145,
Cleveland,Ohio,Occupied housing units,164990,4095,164990,
Colorado Springs,Colorado,Occupied housing units,167361,3084,167361,
Columbus,Ohio,Occupied housing units,319428,4797,319428,
Corpus Christi,Texas,Occupied housing units,110954,2722,110954,
Dallas,Texas,Occupied housing units,447680,6310,447680,
Denver,Colorado,Occupied housing units,262093,3662,262093,
Detroit,Michigan,Occupied housing units,255201,5059,255201,
El Paso,Texas,Occupied housing units,210754,2612,210754,
Fresno,California,Occupied housing units,152890,3242,152890,
Greensboro,North Carolina,Occupied housing units,109255,3387,109255,
Henderson,Nevada,Occupied housing units,99095,3059,99095,
Houston,Texas,Occupied housing units,762309,6535,762309,
Indianapolis,Indiana,Occupied housing units,322700,5582,322700,
Irvine,California,Occupied housing units,76172,2460,76172,
Jacksonville,Florida,Occupied housing units,308173,6302,308173,
Jersey City,New Jersey,Occupied housing units,92649,2709,92649,
Las Vegas,Nevada,Occupied housing units,210950,4737,210950,
Lincoln,Nebraska,Occupied housing units,104286,1919,104286,
Long Beach,California,Occupied housing units,158386,4102,158386,
Los Angeles,California,Occupied housing units,1310259,9520,1310259,
Memphis,Tennessee,Occupied housing units,241400,4203,241400,
Mesa,Arizona,Occupied housing units,162691,4466,162691,
Miami,Florida,Occupied housing units,145822,4810,145822,
Milwaukee,Wisconsin,Occupied housing units,228945,3762,228945,
Minneapolis,Minnesota,Occupied housing units,165798,3861,165798,
New Orleans,Louisiana,Occupied housing units,142093,3457,142093,
New York,New York,Occupied housing units,3039467,11288,3039467,
Newark,New Jersey,Occupied housing units,91414,3236,91414,
Oakland,California,Occupied housing units,151808,3746,151808,
Omaha,Nebraska,Occupied housing units,163411,2894,163411,
Orlando,Florida,Occupied housing units,96753,3793,96753,
Philadelphia,Pennsylvania,Occupied housing units,575413,6623,575413,
Phoenix,Arizona,Occupied housing units,511432,7172,511432,
Pittsburgh,Pennsylvania,Occupied housing units,129828,3843,129828,
Plano,Texas,Occupied housing units,97524,2960,97524,
Portland,Oregon,Occupied housing units,244192,3559,244192,
Riverside,California,Occupied housing units,87752,3694,87752,
Sacramento,California,Occupied housing units,176168,5046,176168,
San Antonio,Texas,Occupied housing units,470223,4982,470223,
San Diego,California,Occupied housing units,469635,6664,469635,
San Francisco,California,Occupied housing units,336012,4358,336012,
San Jose,California,Occupied housing units,297637,4429,297637,
Santa Ana,California,Occupied housing units,71288,2600,71288,
Seattle,Washington,Occupied housing units,277520,5743,277520,
St. Paul,Minnesota,Occupied housing units,110088,2941,110088,
Stockton,California,Occupied housing units,91200,2669,91200,
Tampa,Florida,Occupied housing units,133070,3857,133070,
Tucson,Arizona,Occupied housing units,201761,4584,201761,
Tulsa,Oklahoma,Occupied housing units,163173,2981,163173,
Virginia Beach,Virginia,Occupied housing units,164300,2574,164300,
Washington,District of Columbia,Occupied housing units,252388,3730,252388,
Wichita,Kansas,Occupied housing units,149648,2521,149648,
Albuquerque,New Mexico,Moved in 2005 or later,119248,5140,53.4,2.2
Anaheim,California,Moved in 2005 or later,50325,2681,50.1,2.2
Anchorage,Alaska,Moved in 2005 or later,55691,2979,53,2.4
Arlington,Texas,Moved in 2005 or later,71286,3413,53.4,2.1
Atlanta,Georgia,Moved in 2005 or later,109509,4421,63.6,1.8
Aurora,Colorado,Moved in 2005 or later,66766,2657,55.8,2
Austin,Texas,Moved in 2005 or later,213888,4743,66.2,1.2
Bakersfield,California,Moved in 2005 or later,61793,3028,56.5,2.4
Baltimore,Maryland,Moved in 2005 or later,118531,4134,49.8,1.3
Boston,Massachusetts,Moved in 2005 or later,149038,5021,59.2,1.5
Chicago,Illinois,Moved in 2005 or later,529004,8772,52.1,0.8
Cincinnati,Ohio,Moved in 2005 or later,71426,3614,56.6,1.9
Cleveland,Ohio,Moved in 2005 or later,80825,3355,49,1.7
Colorado Springs,Colorado,Moved in 2005 or later,93309,3758,55.8,1.9
Columbus,Ohio,Moved in 2005 or later,191171,5191,59.8,1.1
Corpus Christi,Texas,Moved in 2005 or later,56908,2780,51.3,2.2
Dallas,Texas,Moved in 2005 or later,273031,6647,61,1.1
Denver,Colorado,Moved in 2005 or later,157550,4842,60.1,1.5
Detroit,Michigan,Moved in 2005 or later,114114,4238,44.7,1.4
El Paso,Texas,Moved in 2005 or later,100055,3608,47.5,1.6
Fresno,California,Moved in 2005 or later,82845,3542,54.2,2
Greensboro,North Carolina,Moved in 2005 or later,60331,3142,55.2,2.1
Henderson,Nevada,Moved in 2005 or later,57014,3064,57.5,2.5
Houston,Texas,Moved in 2005 or later,440161,6765,57.7,0.8
Indianapolis,Indiana,Moved in 2005 or later,171397,5575,53.1,1.3
Irvine,California,Moved in 2005 or later,44341,2568,58.2,2.4
Jacksonville,Florida,Moved in 2005 or later,159119,5717,51.6,1.4
Jersey City,New Jersey,Moved in 2005 or later,52157,2778,56.3,2.6
Las Vegas,Nevada,Moved in 2005 or later,122335,3981,58,1.4
Lincoln,Nebraska,Moved in 2005 or later,56313,2424,54,1.9
Long Beach,California,Moved in 2005 or later,83996,4202,53,2.1
Los Angeles,California,Moved in 2005 or later,620175,10266,47.3,0.7
Memphis,Tennessee,Moved in 2005 or later,125658,4634,52.1,1.5
Mesa,Arizona,Moved in 2005 or later,85286,4456,52.4,2.4
Miami,Florida,Moved in 2005 or later,85121,4666,58.4,2.4
Milwaukee,Wisconsin,Moved in 2005 or later,123110,4191,53.8,1.6
Minneapolis,Minnesota,Moved in 2005 or later,93023,3443,56.1,1.7
New Orleans,Louisiana,Moved in 2005 or later,81261,3542,57.2,1.9
New York,New York,Moved in 2005 or later,1260651,15011,41.5,0.5
Newark,New Jersey,Moved in 2005 or later,51244,2984,56.1,2.5
Oakland,California,Moved in 2005 or later,77293,3239,50.9,1.8
Omaha,Nebraska,Moved in 2005 or later,79632,3228,48.7,1.7
Orlando,Florida,Moved in 2005 or later,67688,2995,70,2.1
Philadelphia,Pennsylvania,Moved in 2005 or later,256587,6780,44.6,1
Phoenix,Arizona,Moved in 2005 or later,289204,6876,56.5,1.1
Pittsburgh,Pennsylvania,Moved in 2005 or later,62618,3384,48.2,2.2
Plano,Texas,Moved in 2005 or later,49385,3157,50.6,2.5
Portland,Oregon,Moved in 2005 or later,136237,4025,55.8,1.4
Riverside,California,Moved in 2005 or later,42199,2899,48.1,2.8
Sacramento,California,Moved in 2005 or later,97313,3842,55.2,1.6
San Antonio,Texas,Moved in 2005 or later,251364,5891,53.5,1.1
San Diego,California,Moved in 2005 or later,258297,5440,55,0.9
San Francisco,California,Moved in 2005 or later,164929,4976,49.1,1.3
San Jose,California,Moved in 2005 or later,137016,4514,46,1.4
Santa Ana,California,Moved in 2005 or later,32473,2325,45.6,2.6
Seattle,Washington,Moved in 2005 or later,158470,5054,57.1,1.4
St. Paul,Minnesota,Moved in 2005 or later,60280,2807,54.8,2
Stockton,California,Moved in 2005 or later,48612,2904,53.3,2.7
Tampa,Florida,Moved in 2005 or later,75771,3602,56.9,2.2
Tucson,Arizona,Moved in 2005 or later,109636,4222,54.3,1.7
Tulsa,Oklahoma,Moved in 2005 or later,89702,3728,55,1.9
Virginia Beach,Virginia,Moved in 2005 or later,80415,3172,48.9,1.6
Washington,District of Columbia,Moved in 2005 or later,134613,4918,53.3,1.5
Wichita,Kansas,Moved in 2005 or later,77896,3130,52.1,1.8
Albuquerque,New Mexico,Moved in 2000 to 2004,39515,2843,17.7,1.3
Anaheim,California,Moved in 2000 to 2004,16908,2001,16.8,2
Anchorage,Alaska,Moved in 2000 to 2004,18420,2195,17.5,2.1
Arlington,Texas,Moved in 2000 to 2004,26048,2487,19.5,1.9
Atlanta,Georgia,Moved in 2000 to 2004,22318,2523,13,1.4
Aurora,Colorado,Moved in 2000 to 2004,21468,1960,18,1.6
Austin,Texas,Moved in 2000 to 2004,40986,3053,12.7,0.9
Bakersfield,California,Moved in 2000 to 2004,20160,2109,18.4,1.9
Baltimore,Maryland,Moved in 2000 to 2004,36952,2689,15.5,1.1
Boston,Massachusetts,Moved in 2000 to 2004,35116,2570,14,1
Chicago,Illinois,Moved in 2000 to 2004,159844,5713,15.8,0.5
Cincinnati,Ohio,Moved in 2000 to 2004,17869,1922,14.2,1.5
Cleveland,Ohio,Moved in 2000 to 2004,21688,1906,13.1,1.1
Colorado Springs,Colorado,Moved in 2000 to 2004,28009,2082,16.7,1.2
Columbus,Ohio,Moved in 2000 to 2004,48627,3324,15.2,1
Corpus Christi,Texas,Moved in 2000 to 2004,17052,2253,15.4,2
Dallas,Texas,Moved in 2000 to 2004,62237,3627,13.9,0.8
Denver,Colorado,Moved in 2000 to 2004,36644,2824,14,1.1
Detroit,Michigan,Moved in 2000 to 2004,29428,2874,11.5,1.1
El Paso,Texas,Moved in 2000 to 2004,30624,2986,14.5,1.4
Fresno,California,Moved in 2000 to 2004,27350,2348,17.9,1.6
Greensboro,North Carolina,Moved in 2000 to 2004,17144,2080,15.7,1.8
Henderson,Nevada,Moved in 2000 to 2004,21509,2144,21.7,2.1
Houston,Texas,Moved in 2000 to 2004,108934,5123,14.3,0.7
Indianapolis,Indiana,Moved in 2000 to 2004,50474,3198,15.6,1
Irvine,California,Moved in 2000 to 2004,14665,1590,19.3,2.2
Jacksonville,Florida,Moved in 2000 to 2004,50363,2924,16.3,0.9
Jersey City,New Jersey,Moved in 2000 to 2004,14381,1805,15.5,2
Las Vegas,Nevada,Moved in 2000 to 2004,40401,2991,19.2,1.3
