,"Anchorage municipality, Alaska","Anchorage municipality, Alaska","Anchorage municipality, Alaska","Anchorage municipality, Alaska","Mesa city, Arizona","Mesa city, Arizona","Mesa city, Arizona","Mesa city, Arizona","Phoenix city, Arizona","Phoenix city, Arizona","Phoenix city, Arizona","Phoenix city, Arizona","Tucson city, Arizona","Tucson city, Arizona","Tucson city, Arizona","Tucson city, Arizona","Anaheim city, California","Anaheim city, California","Anaheim city, California","Anaheim city, California","Bakersfield city, California","Bakersfield city, California","Bakersfield city, California","Bakersfield city, California","Fresno city, California","Fresno city, California","Fresno city, California","Fresno city, California","Irvine city, California","Irvine city, California","Irvine city, California","Irvine city, California","Long Beach city, California","Long Beach city, California","Long Beach city, California","Long Beach city, California","Los Angeles city, California","Los Angeles city, California","Los Angeles city, California","Los Angeles city, California","Oakland city, California","Oakland city, California","Oakland city, California","Oakland city, California","Riverside city, California","Riverside city, California","Riverside city, California","Riverside city, California","Sacramento city, California","Sacramento city, California","Sacramento city, California","Sacramento city, California","San Diego city, California","San Diego city, California","San Diego city, California","San Diego city, California","San Francisco city, California","San Francisco city, California","San Francisco city, California","San Francisco city, California","San Jose city, California","San Jose city, California","San Jose city, California","San Jose city, California","Santa Ana city, California","Santa Ana city, California","Santa Ana city, California","Santa Ana city, California","Stockton city, California","Stockton city, California","Stockton city, California","Stockton city, California","Aurora city, Colorado","Aurora city, Colorado","Aurora city, Colorado","Aurora city, Colorado","Colorado Springs city, Colorado","Colorado Springs city, Colorado","Colorado Springs city, Colorado","Colorado Springs city, Colorado","Denver city, Colorado","Denver city, Colorado","Denver city, Colorado","Denver city, Colorado","Washington city, District of Columbia","Washington city, District of Columbia","Washington city, District of Columbia","Washington city, District of Columbia","Jacksonville city, Florida","Jacksonville city, Florida","Jacksonville city, Florida","Jacksonville city, Florida","Miami city, Florida","Miami city, Florida","Miami city, Florida","Miami city, Florida","Orlando city, Florida","Orlando city, Florida","Orlando city, Florida","Orlando city, Florida","Tampa city, Florida","Tampa city, Florida","Tampa city, Florida","Tampa city, Florida","Atlanta city, Georgia","Atlanta city, Georgia","Atlanta city, Georgia","Atlanta city, Georgia","Chicago city, Illinois","Chicago city, Illinois","Chicago city, Illinois","Chicago city, Illinois","Indianapolis city (balance), Indiana","Indianapolis city (balance), Indiana","Indianapolis city (balance), Indiana","Indianapolis city (balance), Indiana","Wichita city, Kansas","Wichita city, Kansas","Wichita city, Kansas","Wichita city, Kansas","New Orleans city, Louisiana","New Orleans city, Louisiana","New Orleans city, Louisiana","New Orleans city, Louisiana","Baltimore city, Maryland","Baltimore city, Maryland","Baltimore city, Maryland","Baltimore city, Maryland","Boston city, Massachusetts","Boston city, Massachusetts","Boston city, Massachusetts","Boston city, Massachusetts","Detroit city, Michigan","Detroit city, Michigan","Detroit city, Michigan","Detroit city, Michigan","Minneapolis city, Minnesota","Minneapolis city, Minnesota","Minneapolis city, Minnesota","Minneapolis city, Minnesota","St. Paul city, Minnesota","St. Paul city, Minnesota","St. Paul city, Minnesota","St. Paul city, Minnesota","Lincoln city, Nebraska","Lincoln city, Nebraska","Lincoln city, Nebraska","Lincoln city, Nebraska","Omaha city, Nebraska","Omaha city, Nebraska","Omaha city, Nebraska","Omaha city, Nebraska","Henderson city, Nevada","Henderson city, Nevada","Henderson city, Nevada","Henderson city, Nevada","Las Vegas city, Nevada","Las Vegas city, Nevada","Las Vegas city, Nevada","Las Vegas city, Nevada","Jersey City city, New Jersey","Jersey City city, New Jersey","Jersey City city, New Jersey","Jersey City city, New Jersey","Newark city, New Jersey","Newark city, New Jersey","Newark city, New Jersey","Newark city, New Jersey","Albuquerque city, New Mexico","Albuquerque city, New Mexico","Albuquerque city, New Mexico","Albuquerque city, New Mexico","New York city, New York","New York city, New York","New York city, New York","New York city, New York","Greensboro city, North Carolina","Greensboro city, North Carolina","Greensboro city, North Carolina","Greensboro city, North Carolina","Cincinnati city, Ohio","Cincinnati city, Ohio","Cincinnati city, Ohio","Cincinnati city, Ohio","Cleveland city, Ohio","Cleveland city, Ohio","Cleveland city, Ohio","Cleveland city, Ohio","Columbus city, Ohio","Columbus city, Ohio","Columbus city, Ohio","Columbus city, Ohio","Tulsa city, Oklahoma","Tulsa city, Oklahoma","Tulsa city, Oklahoma","Tulsa city, Oklahoma","Portland city, Oregon","Portland city, Oregon","Portland city, Oregon","Portland city, Oregon","Philadelphia city, Pennsylvania","Philadelphia city, Pennsylvania","Philadelphia city, Pennsylvania","Philadelphia city, Pennsylvania","Pittsburgh city, Pennsylvania","Pittsburgh city, Pennsylvania","Pittsburgh city, Pennsylvania","Pittsburgh city, Pennsylvania","Memphis city, Tennessee","Memphis city, Tennessee","Memphis city, Tennessee","Memphis city, Tennessee","Arlington city, Texas","Arlington city, Texas","Arlington city, Texas","Arlington city, Texas","Austin city, Texas","Austin city, Texas","Austin city, Texas","Austin city, Texas","Corpus Christi city, Texas","Corpus Christi city, Texas","Corpus Christi city, Texas","Corpus Christi city, Texas","Dallas city, Texas","Dallas city, Texas","Dallas city, Texas","Dallas city, Texas","El Paso city, Texas","El Paso city, Texas","El Paso city, Texas","El Paso city, Texas","Houston city, Texas","Houston city, Texas","Houston city, Texas","Houston city, Texas","Plano city, Texas","Plano city, Texas","Plano city, Texas","Plano city, Texas","San Antonio city, Texas","San Antonio city, Texas","San Antonio city, Texas","San Antonio city, Texas","Virginia Beach city, Virginia","Virginia Beach city, Virginia","Virginia Beach city, Virginia","Virginia Beach city, Virginia","Seattle city, Washington","Seattle city, Washington","Seattle city, Washington","Seattle city, Washington","Milwaukee city, Wisconsin","Milwaukee city, Wisconsin","Milwaukee city, Wisconsin","Milwaukee city, Wisconsin"
Not computed,64,±106,(X),(X),153,±148,(X),(X),"3,366","±1,037",(X),(X),404,±317,(X),(X),0,±294,(X),(X),110,±128,(X),(X),659,±542,(X),(X),404,±398,(X),(X),94,±109,(X),(X),"2,391",±768,(X),(X),188,±160,(X),(X),114,±135,(X),(X),419,±248,(X),(X),"1,515",±818,(X),(X),468,±461,(X),(X),384,±312,(X),(X),154,±120,(X),(X),115,±132,(X),(X),273,±310,(X),(X),764,±443,(X),(X),390,±314,(X),(X),688,±342,(X),(X),"1,195",±713,(X),(X),136,±138,(X),(X),41,±68,(X),(X),376,±238,(X),(X),"1,007",±683,(X),(X),"1,696",±652,(X),(X),896,±530,(X),(X),373,±260,(X),(X),276,±200,(X),(X),401,±303,(X),(X),206,±211,(X),(X),794,±508,(X),(X),120,±172,(X),(X),107,±132,(X),(X),0,±228,(X),(X),191,±158,(X),(X),641,±509,(X),(X),"1,139",±625,(X),(X),0,±281,(X),(X),50,±78,(X),(X),329,±350,(X),(X),"4,935","±1,111",(X),(X),65,±108,(X),(X),61,±103,(X),(X),452,±251,(X),(X),391,±356,(X),(X),239,±303,(X),(X),773,±328,(X),(X),"4,092","±1,493",(X),(X),145,±171,(X),(X),"1,108",±502,(X),(X),239,±227,(X),(X),285,±200,(X),(X),220,±273,(X),(X),815,±455,(X),(X),455,±265,(X),(X),"1,755",±691,(X),(X),290,±312,(X),(X),"1,139",±688,(X),(X),475,±342,(X),(X),526,±351,(X),(X),193,±182,(X),(X)
Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),"13,247","±1,588","13,247",(X),"30,725","±2,441","30,725",(X),"61,364","±3,905","61,364",(X),"30,522","±2,481","30,522",(X),"11,478","±1,437","11,478",(X),"12,980","±1,598","12,980",(X),"17,673","±1,844","17,673",(X),"6,160","±1,140","6,160",(X),"13,969","±1,827","13,969",(X),"109,363","±4,560","109,363",(X),"13,020","±1,485","13,020",(X),"9,459","±1,296","9,459",(X),"23,299","±2,218","23,299",(X),"51,411","±3,237","51,411",(X),"37,585","±2,629","37,585",(X),"39,975","±2,771","39,975",(X),"8,208","±1,190","8,208",(X),"9,319","±1,215","9,319",(X),"12,137","±1,434","12,137",(X),"22,658","±1,935","22,658",(X),"32,099","±2,058","32,099",(X),"24,200","±1,623","24,200",(X),"52,210","±3,214","52,210",(X),"17,207","±1,985","17,207",(X),"9,434","±1,489","9,434",(X),"19,496","±2,036","19,496",(X),"19,696","±2,103","19,696",(X),"117,694","±4,786","117,694",(X),"42,030","±2,661","42,030",(X),"27,151","±1,938","27,151",(X),"27,968","±1,914","27,968",(X),"31,917","±2,149","31,917",(X),"20,042","±1,873","20,042",(X),"59,279","±3,242","59,279",(X),"18,229","±1,892","18,229",(X),"13,450","±1,462","13,450",(X),"16,550","±1,550","16,550",(X),"28,980","±1,793","28,980",(X),"12,307","±1,657","12,307",(X),"23,686","±1,845","23,686",(X),"6,424","±1,167","6,424",(X),"5,773","±1,017","5,773",(X),"36,578","±2,679","36,578",(X),"344,759","±7,656","344,759",(X),"15,418","±1,799","15,418",(X),"12,258","±1,171","12,258",(X),"25,137","±2,336","25,137",(X),"30,987","±2,220","30,987",(X),"32,535","±2,171","32,535",(X),"29,050","±1,768","29,050",(X),"122,817","±4,747","122,817",(X),"27,151","±2,406","27,151",(X),"34,227","±2,760","34,227",(X),"20,002","±1,955","20,002",(X),"39,698","±3,064","39,698",(X),"26,859","±2,152","26,859",(X),"64,766","±3,550","64,766",(X),"46,739","±2,983","46,739",(X),"137,464","±4,992","137,464",(X),"15,226","±1,748","15,226",(X),"90,499","±3,433","90,499",(X),"21,075","±1,776","21,075",(X),"30,464","±2,401","30,464",(X),"28,742","±2,303","28,742",(X)
Less than 10.0 percent,"6,446","±1,122",48.70%,±6.1,"14,089","±1,690",45.90%,±4.3,"25,408","±2,040",41.40%,±2.6,"11,541","±1,650",37.80%,±4.2,"5,626","±1,071",49.00%,±6.8,"6,121","±1,095",47.20%,±6.6,"8,136","±1,374",46.00%,±5.9,"3,345",±860,54.30%,±8.0,"7,782","±1,345",55.70%,±6.7,"40,122","±2,529",36.70%,±1.8,"5,194",±890,39.90%,±5.6,"4,916",±852,52.00%,±6.9,"11,506","±1,600",49.40%,±5.1,"25,853","±2,133",50.30%,±2.8,"18,851","±1,805",50.20%,±3.6,"19,616","±2,027",49.10%,±3.3,"4,284",±828,52.20%,±7.7,"4,383",±887,47.00%,±7.3,"5,147","±1,001",42.40%,±5.9,"11,949","±1,469",52.70%,±5.1,"14,752","±1,554",46.00%,±3.7,"11,184","±1,107",46.20%,±3.9,"20,821","±2,021",39.90%,±3.0,"4,151",±824,24.10%,±4.3,"3,622",±910,38.40%,±7.7,"6,504","±1,240",33.40%,±5.3,"5,540","±1,151",28.10%,±4.8,"34,732","±2,592",29.50%,±1.8,"18,324","±1,559",43.60%,±3.3,"11,819","±1,459",43.50%,±4.2,"8,809","±1,176",31.50%,±3.9,"9,348","±1,266",29.30%,±3.1,"6,903","±1,093",34.40%,±4.1,"13,628","±1,810",23.00%,±2.8,"6,398","±1,139",35.10%,±4.6,"5,293",±808,39.40%,±4.8,"6,921",±959,41.80%,±5.4,"10,822","±1,243",37.30%,±3.7,"6,376","±1,076",51.80%,±6.4,"10,585","±1,233",44.70%,±4.8,"1,246",±530,19.40%,±7.5,"1,226",±509,21.20%,±8.0,"18,344","±1,896",50.20%,±3.9,"115,196","±4,682",33.40%,±1.1,"6,209","±1,165",40.30%,±5.4,"3,678",±671,30.00%,±5.4,"5,705","±1,029",22.70%,±3.8,"12,477","±1,601",40.30%,±4.0,"13,090","±1,629",40.20%,±4.0,"9,249","±1,218",31.80%,±3.4,"38,428","±3,415",31.30%,±2.3,"9,045","±1,381",33.30%,±4.2,"12,551","±1,755",36.70%,±4.4,"8,408","±1,382",42.00%,±5.2,"15,272","±1,670",38.50%,±3.2,"8,723","±1,138",32.50%,±3.9,"21,245","±2,079",32.80%,±2.4,"19,910","±1,643",42.60%,±3.0,"48,776","±3,155",35.50%,±1.9,"6,983","±1,199",45.90%,±6.7,"36,239","±2,924",40.00%,±2.3,"8,066","±1,347",38.30%,±5.5,"10,111","±1,468",33.20%,±3.8,"5,742","±1,081",20.00%,±3.2
10.0 to 14.9 percent,"1,998",±610,15.10%,±4.4,"5,509","±1,142",17.90%,±3.3,"10,983","±1,617",17.90%,±2.2,"6,403","±1,194",21.00%,±3.9,"2,130",±653,18.60%,±5.4,"2,709",±704,20.90%,±4.5,"3,634",±824,20.60%,±4.5,"1,192",±428,19.40%,±6.6,"2,477",±709,17.70%,±4.5,"22,117","±2,024",20.20%,±1.6,"2,656",±719,20.40%,±4.6,"1,771",±624,18.70%,±5.8,"4,901",±932,21.00%,±3.8,"8,510","±1,413",16.60%,±2.4,"6,673","±1,157",17.80%,±2.6,"6,424",±998,16.10%,±2.3,"1,339",±621,16.30%,±7.0,"1,810",±614,19.40%,±5.8,"2,718",±679,22.40%,±5.4,"4,433","±1,187",19.60%,±4.4,"5,740","±1,039",17.90%,±3.2,"4,422",±816,18.30%,±3.0,"9,765","±1,388",18.70%,±2.7,"3,458","±1,026",20.10%,±5.1,"1,540",±535,16.30%,±5.4,"3,602",±856,18.50%,±4.1,"4,193",±981,21.30%,±4.8,"21,081","±1,854",17.90%,±1.5,"8,911","±1,341",21.20%,±2.9,"5,758",±929,21.20%,±3.3,"5,430","±1,052",19.40%,±3.4,"6,461","±1,184",20.20%,±3.3,"4,484",±905,22.40%,±4.0,"11,240","±1,629",19.00%,±2.7,"3,806",±806,20.90%,±4.0,"3,154",±692,23.40%,±4.4,"4,503",±909,27.20%,±4.7,"5,466",±959,18.90%,±3.1,"2,138",±842,17.40%,±6.1,"4,304",±817,18.20%,±3.2,"1,263",±521,19.70%,±7.1,746,±424,12.90%,±7.2,"5,979","±1,126",16.30%,±2.7,"54,584","±3,672",15.80%,±1.0,"2,526",±613,16.40%,±3.8,"2,715",±655,22.10%,±5.0,"6,307","±1,202",25.10%,±4.0,"5,869",±996,18.90%,±3.0,"6,838","±1,125",21.00%,±3.2,"5,558",±975,19.10%,±3.2,"20,891","±2,246",17.00%,±1.7,"5,216",±809,19.20%,±3.2,"7,141","±1,181",20.90%,±2.9,"4,111",±811,20.60%,±4.3,"6,933","±1,284",17.50%,±3.0,"6,931","±1,391",25.80%,±4.6,"13,337","±1,599",20.60%,±2.1,"10,423","±1,481",22.30%,±2.8,"27,002","±2,450",19.60%,±1.6,"2,791",±891,18.30%,±5.1,"17,758","±1,861",19.60%,±2.1,"4,269",±865,20.30%,±3.8,"6,632","±1,192",21.80%,±3.7,"6,151","±1,070",21.40%,±3.6
15.0 to 19.9 percent,"1,594",±601,12.00%,±4.4,"2,205",±764,7.20%,±2.4,"7,849","±1,111",12.80%,±1.6,"4,356",±950,14.30%,±2.9,859,±419,7.50%,±3.7,"1,444",±544,11.10%,±3.9,"2,289",±781,13.00%,±4.0,365,±263,5.90%,±4.1,957,±464,6.90%,±3.2,"12,176","±1,562",11.10%,±1.4,"1,254",±447,9.60%,±3.2,647,±402,6.80%,±4.2,"2,211",±695,9.50%,±2.7,"4,565",±824,8.90%,±1.5,"3,832",±935,10.20%,±2.3,"4,393",±782,11.00%,±1.9,836,±368,10.20%,±4.3,977,±406,10.50%,±4.3,"1,361",±457,11.20%,±3.4,"1,729",±510,7.60%,±2.2,"3,683",±730,11.50%,±2.2,"2,712",±670,11.20%,±2.7,"6,934","±1,257",13.30%,±2.0,"1,757",±572,10.20%,±3.3,"1,143",±521,12.10%,±5.2,"2,933",±804,15.00%,±4.0,"2,459",±824,12.50%,±3.6,"15,921","±1,715",13.50%,±1.4,"4,942",±922,11.80%,±2.1,"3,422",±835,12.60%,±2.8,"3,523",±944,12.60%,±3.0,"3,108",±719,9.70%,±2.2,"2,290",±544,11.40%,±2.7,"7,698","±1,222",13.00%,±2.1,"2,054",±474,11.30%,±2.2,"1,910",±549,14.20%,±3.7,"1,975",±619,11.90%,±3.4,"4,290",±863,14.80%,±2.9,"1,349",±539,11.00%,±4.1,"2,273",±666,9.60%,±2.7,947,±530,14.70%,±7.5,577,±282,10.00%,±4.7,"4,000",±962,10.90%,±2.4,"39,871","±3,115",11.60%,±0.8,"2,489",±705,16.10%,±4.1,"1,877",±637,15.30%,±4.7,"3,494",±955,13.90%,±3.7,"3,566",±716,11.50%,±2.1,"3,842",±743,11.80%,±2.1,"4,390",±871,15.10%,±2.8,"17,535","±2,126",14.30%,±1.7,"3,891","±1,205",14.30%,±3.9,"4,249","±1,125",12.40%,±3.0,"2,614",±690,13.10%,±3.1,"6,935","±1,390",17.50%,±3.0,"3,968",±952,14.80%,±3.2,"8,305","±1,101",12.80%,±1.6,"5,420","±1,251",11.60%,±2.5,"18,883","±1,989",13.70%,±1.5,"2,299",±615,15.10%,±3.5,"12,691","±1,474",14.00%,±1.6,"1,764",±584,8.40%,±2.7,"4,024",±765,13.20%,±2.2,"4,730",±861,16.50%,±2.9
20.0 to 24.9 percent,"1,014",±507,7.70%,±3.9,"3,120",±910,10.20%,±2.8,"3,791",±762,6.20%,±1.2,"3,363",±926,11.00%,±2.8,911,±421,7.90%,±3.5,699,±474,5.40%,±3.6,"1,078",±439,6.10%,±2.5,120,±147,1.90%,±2.3,635,±327,4.50%,±2.3,"7,725","±1,256",7.10%,±1.1,"1,079",±401,8.30%,±3.0,551,±339,5.80%,±3.6,"1,709",±671,7.30%,±2.7,"2,838",±828,5.50%,±1.6,"1,740",±588,4.60%,±1.6,"3,151",±782,7.90%,±1.9,631,±337,7.70%,±3.8,692,±301,7.40%,±3.0,793,±365,6.50%,±2.9,"1,789",±620,7.90%,±2.6,"1,968",±694,6.10%,±2.1,"1,498",±498,6.20%,±2.0,"3,412",±779,6.50%,±1.4,"1,147",±508,6.70%,±2.9,839,±421,8.90%,±4.2,"1,452",±509,7.40%,±2.5,"1,819",±459,9.20%,±2.2,"11,366","±1,496",9.70%,±1.2,"3,242",±901,7.70%,±2.0,"1,586",±574,5.80%,±2.1,"2,248",±616,8.00%,±2.2,"2,667",±755,8.40%,±2.4,"1,512",±478,7.50%,±2.3,"5,436",±995,9.20%,±1.6,"1,667",±560,9.10%,±3.0,883,±332,6.60%,±2.3,751,±473,4.50%,±2.8,"3,344",±887,11.50%,±2.8,914,±412,7.40%,±3.3,"1,791",±651,7.60%,±2.6,457,±248,7.10%,±3.8,453,±342,7.80%,±5.7,"2,211",±807,6.00%,±2.2,"27,750","±2,387",8.00%,±0.7,"1,070",±439,6.90%,±2.7,999,±389,8.10%,±2.9,"2,280",±706,9.10%,±2.7,"2,343",±581,7.60%,±1.8,"2,857",±657,8.80%,±1.9,"3,246",±743,11.20%,±2.6,"10,181","±1,520",8.30%,±1.2,"2,487",±715,9.20%,±2.5,"2,570",±707,7.50%,±2.1,"1,912",±660,9.60%,±3.1,"3,305",±848,8.30%,±2.1,"2,619",±848,9.80%,±3.2,"5,340",±900,8.20%,±1.4,"3,174",±852,6.80%,±1.7,"12,661","±1,711",9.20%,±1.2,844,±438,5.50%,±2.7,"7,685","±1,404",8.50%,±1.5,"2,247",±759,10.70%,±3.4,"2,639",±684,8.70%,±2.1,"3,006",±830,10.50%,±2.7
25.0 to 29.9 percent,297,±252,2.20%,±1.9,873,±401,2.80%,±1.3,"4,001",±939,6.50%,±1.4,"1,347",±595,4.40%,±1.9,543,±444,4.70%,±3.8,733,±375,5.60%,±2.8,858,±410,4.90%,±2.3,344,±240,5.60%,±3.7,142,±140,1.00%,±1.0,"5,017",±897,4.60%,±0.8,711,±310,5.50%,±2.3,380,±226,4.00%,±2.4,865,±441,3.70%,±1.8,"2,074",±629,4.00%,±1.2,"1,865",±646,5.00%,±1.7,"1,254",±384,3.10%,±0.9,391,±235,4.80%,±2.8,401,±230,4.30%,±2.4,593,±315,4.90%,±2.6,336,±249,1.50%,±1.2,"1,678",±594,5.20%,±1.8,657,±325,2.70%,±1.3,"3,317",±996,6.40%,±1.8,"1,469",±585,8.50%,±3.2,378,±241,4.00%,±2.5,788,±391,4.00%,±1.8,"1,009",±449,5.10%,±2.2,"7,358","±1,044",6.30%,±0.9,"1,574",±567,3.70%,±1.4,946,±449,3.50%,±1.6,"1,682",±601,6.00%,±2.2,"1,509",±464,4.70%,±1.4,867,±441,4.30%,±2.1,"3,064",±742,5.20%,±1.2,816,±385,4.50%,±2.0,412,±319,3.10%,±2.4,657,±377,4.00%,±2.2,"1,664",±495,5.70%,±1.6,364,±238,3.00%,±1.9,"1,101",±460,4.60%,±1.9,732,±361,11.40%,±5.1,648,±363,11.20%,±6.0,"1,733",±830,4.70%,±2.2,"20,691","±2,193",6.00%,±0.6,773,±445,5.00%,±2.8,890,±404,7.30%,±3.2,"1,531",±572,6.10%,±2.2,"1,399",±443,4.50%,±1.4,"1,876",±710,5.80%,±2.1,"1,459",±454,5.00%,±1.6,"8,250","±1,343",6.70%,±1.1,"1,602",±693,5.90%,±2.5,"1,341",±522,3.90%,±1.5,863,±531,4.30%,±2.5,"1,232",±467,3.10%,±1.1,"1,255",±643,4.70%,±2.3,"4,622",±869,7.10%,±1.3,"2,419",±754,5.20%,±1.5,"6,762","±1,022",4.90%,±0.7,773,±362,5.10%,±2.3,"4,300","±1,103",4.80%,±1.2,966,±419,4.60%,±2.0,"1,537",±604,5.00%,±2.0,"2,628",±689,9.10%,±2.3
30.0 to 34.9 percent,282,±348,2.10%,±2.6,"1,718",±733,5.60%,±2.3,"2,102",±605,3.40%,±1.0,688,±414,2.30%,±1.3,424,±222,3.70%,±1.9,483,±241,3.70%,±1.9,388,±275,2.20%,±1.6,246,±178,4.00%,±2.8,765,±478,5.50%,±3.3,"4,311",±864,3.90%,±0.8,667,±354,5.10%,±2.7,495,±297,5.20%,±3.0,263,±212,1.10%,±0.9,"1,448",±535,2.80%,±1.0,949,±450,2.50%,±1.2,"1,059",±427,2.60%,±1.1,302,±238,3.70%,±2.9,458,±273,4.90%,±2.9,452,±351,3.70%,±2.8,383,±265,1.70%,±1.2,"1,064",±457,3.30%,±1.4,673,±278,2.80%,±1.2,"2,190",±693,4.20%,±1.3,612,±326,3.60%,±1.9,546,±449,5.80%,±4.6,686,±428,3.50%,±2.1,754,±345,3.80%,±1.8,"6,152","±1,213",5.20%,±1.0,"1,370",±583,3.30%,±1.3,895,±406,3.30%,±1.5,"1,436",±628,5.10%,±2.2,"2,158",±622,6.80%,±1.9,757,±365,3.80%,±1.8,"3,309",±716,5.60%,±1.2,696,±401,3.80%,±2.2,188,±173,1.40%,±1.3,552,±306,3.30%,±1.8,774,±311,2.70%,±1.1,91,±106,0.70%,±0.9,590,±358,2.50%,±1.5,130,±130,2.00%,±2.1,350,±285,6.10%,±4.5,422,±230,1.20%,±0.6,"14,848","±1,708",4.30%,±0.5,181,±174,1.20%,±1.1,358,±232,2.90%,±1.9,"1,702",±614,6.80%,±2.3,"1,739",±627,5.60%,±1.9,462,±236,1.40%,±0.7,992,±371,3.40%,±1.2,"5,305","±1,056",4.30%,±0.8,"1,471",±598,5.40%,±2.1,"1,726",±562,5.00%,±1.5,598,±338,3.00%,±1.7,"1,603",±647,4.00%,±1.5,692,±417,2.60%,±1.6,"2,497",±760,3.90%,±1.1,"1,733",±590,3.70%,±1.3,"5,106","±1,113",3.70%,±0.8,509,±282,3.30%,±1.8,"2,643",±882,2.90%,±1.0,536,±296,2.50%,±1.4,"1,032",±497,3.40%,±1.6,"1,393",±553,4.80%,±1.7
35.0 percent or more,"1,616",±615,12.20%,±4.1,"3,211",±848,10.50%,±2.8,"7,230","±1,117",11.80%,±1.7,"2,824",±756,9.30%,±2.4,985,±490,8.60%,±4.1,791,±328,6.10%,±2.5,"1,290",±582,7.30%,±3.1,548,±273,8.90%,±4.4,"1,211",±539,8.70%,±3.6,"17,895","±2,067",16.40%,±1.7,"1,459",±548,11.20%,±3.9,699,±392,7.40%,±3.9,"1,844",±606,7.90%,±2.5,"6,123","±1,255",11.90%,±2.3,"3,675",±794,9.80%,±2.0,"4,078",±904,10.20%,±2.2,425,±243,5.20%,±2.9,598,±344,6.40%,±3.5,"1,073",±479,8.80%,±3.8,"2,039",±721,9.00%,±3.2,"3,214",±726,10.00%,±2.2,"3,054",±806,12.60%,±3.2,"5,771","±1,143",11.10%,±2.1,"4,613","±1,014",26.80%,±4.8,"1,366",±545,14.50%,±5.1,"3,531",±841,18.10%,±3.9,"3,922",±947,19.90%,±4.3,"21,084","±2,126",17.90%,±1.6,"3,667","±1,056",8.70%,±2.4,"2,725",±741,10.00%,±2.7,"4,840",±922,17.30%,±3.2,"6,666",±964,20.90%,±2.8,"3,229",±834,16.10%,±3.9,"14,904","±2,101",25.10%,±3.0,"2,792",±649,15.30%,±3.2,"1,610",±491,12.00%,±3.3,"1,191",±487,7.20%,±2.9,"2,620",±764,9.00%,±2.6,"1,075",±429,8.70%,±3.2,"3,042",±948,12.80%,±3.7,"1,649",±556,25.70%,±7.8,"1,773",±579,30.70%,±8.5,"3,889",±938,10.60%,±2.5,"71,819","±3,960",20.80%,±1.0,"2,170",±586,14.10%,±3.6,"1,741",±562,14.20%,±4.4,"4,118",±871,16.40%,±3.2,"3,594",±657,11.60%,±2.2,"3,570",±851,11.00%,±2.6,"4,156",±871,14.30%,±2.9,"22,227","±2,423",18.10%,±1.9,"3,439",±806,12.70%,±2.7,"4,649",±961,13.60%,±2.7,"1,496",±546,7.50%,±2.5,"4,418",±960,11.10%,±2.4,"2,671",±818,9.90%,±3.0,"9,420","±1,294",14.50%,±1.9,"3,660",±841,7.80%,±1.8,"18,274","±2,276",13.30%,±1.5,"1,027",±488,6.70%,±3.1,"9,183","±1,501",10.10%,±1.6,"3,227",±923,15.30%,±4.1,"4,489",±875,14.70%,±2.8,"5,092",±907,17.70%,±3.0
Not computed,98,±116,(X),(X),383,±259,(X),(X),"1,815",±629,(X),(X),630,±545,(X),(X),43,±71,(X),(X),431,±308,(X),(X),283,±283,(X),(X),226,±240,(X),(X),166,±160,(X),(X),"2,015",±570,(X),(X),142,±166,(X),(X),101,±120,(X),(X),465,±295,(X),(X),670,±432,(X),(X),639,±380,(X),(X),761,±462,(X),(X),49,±81,(X),(X),79,±129,(X),(X),138,±120,(X),(X),319,±243,(X),(X),630,±451,(X),(X),335,±329,(X),(X),"1,209",±658,(X),(X),58,±96,(X),(X),0,±310,(X),(X),408,±359,(X),(X),765,±545,(X),(X),"2,230",±718,(X),(X),492,±391,(X),(X),423,±318,(X),(X),412,±235,(X),(X),436,±396,(X),(X),269,±230,(X),(X),"1,313",±526,(X),(X),580,±527,(X),(X),45,±76,(X),(X),169,±176,(X),(X),413,±285,(X),(X),317,±354,(X),(X),344,±230,(X),(X),43,±73,(X),(X),167,±184,(X),(X),165,±159,(X),(X),"4,940","±1,108",(X),(X),177,±196,(X),(X),356,±287,(X),(X),314,±213,(X),(X),472,±359,(X),(X),456,±338,(X),(X),364,±228,(X),(X),"3,373","±1,076",(X),(X),279,±320,(X),(X),553,±345,(X),(X),0,±294,(X),(X),272,±226,(X),(X),216,±210,(X),(X),986,±560,(X),(X),"1,082",±469,(X),(X),"2,155",±762,(X),(X),58,±103,(X),(X),"1,187",±583,(X),(X),184,±149,(X),(X),209,±259,(X),(X),340,±255,(X),(X)
GROSS RENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
