Metric,City,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error
"('Built 1950 to 1959',)","Pittsburgh city, Pennsylvania","20,110","±2,232",12.60%,±1.3
"('Built 1950 to 1959',)","Plano city, Texas","1,266",±629,1.10%,±0.5
"('Built 1950 to 1959',)","Portland city, Oregon","32,730","±2,639",10.80%,±0.9
"('Built 1950 to 1959',)","Raleigh city, North Carolina","8,067","±1,504",3.70%,±0.7
"('Built 1950 to 1959',)","Riverside city, California","15,741","±1,792",16.70%,±1.8
"('Built 1950 to 1959',)","Sacramento city, California","24,400","±2,271",11.60%,±1.0
"('Built 1950 to 1959',)","San Antonio city, Texas","57,874","±3,995",9.60%,±0.6
"('Built 1950 to 1959',)","San Diego city, California","60,204","±3,134",10.80%,±0.6
"('Built 1950 to 1959',)","San Francisco city, California","33,913","±3,498",8.20%,±0.8
"('Built 1950 to 1959',)","San Jose city, California","36,400","±2,744",10.70%,±0.8
"('Built 1950 to 1959',)","Santa Ana city, California","18,063","±1,755",22.40%,±2.0
"('Built 1950 to 1959',)","Seattle city, Washington","35,510","±3,356",9.20%,±0.9
"('Built 1950 to 1959',)","St. Louis city, Missouri","15,172","±1,800",8.70%,±1.0
"('Built 1950 to 1959',)","St. Paul city, Minnesota","16,227","±2,024",12.40%,±1.5
"('Built 1950 to 1959',)","Stockton city, California","7,890","±1,210",7.70%,±1.1
"('Built 1950 to 1959',)","Tampa city, Florida","23,878","±2,629",13.80%,±1.5
"('Built 1950 to 1959',)","Tucson city, Arizona","34,014","±3,041",14.00%,±1.2
"('Built 1950 to 1959',)","Tulsa city, Oklahoma","31,871","±1,976",16.40%,±1.0
"('Built 1950 to 1959',)","Virginia Beach city, Virginia","11,348","±1,508",5.90%,±0.8
"('Built 1950 to 1959',)","Washington city, District of Columbia","40,111","±3,391",11.20%,±0.9
"('Built 1950 to 1959',)","Wichita city, Kansas","30,667","±2,896",17.40%,±1.6
"('Built 1940 to 1949',)","Albuquerque city, New Mexico","9,767","±1,626",3.80%,±0.6
"('Built 1940 to 1949',)","Anaheim city, California","2,711",±773,2.50%,±0.7
"('Built 1940 to 1949',)","Anchorage municipality, Alaska",862,±493,0.70%,±0.4
"('Built 1940 to 1949',)","Arlington city, Texas","1,037",±568,0.70%,±0.4
"('Built 1940 to 1949',)","Atlanta city, Georgia","11,169","±1,872",4.40%,±0.7
"('Built 1940 to 1949',)","Aurora city, Colorado","1,569",±544,1.00%,±0.4
"('Built 1940 to 1949',)","Austin city, Texas","7,428","±1,564",1.60%,±0.3
"('Built 1940 to 1949',)","Bakersfield city, California","4,956","±1,457",3.70%,±1.1
"('Built 1940 to 1949',)","Baltimore city, Maryland","32,770","±3,087",11.20%,±1.1
"('Built 1940 to 1949',)","Boston city, Massachusetts","14,164","±2,095",4.60%,±0.7
"('Built 1940 to 1949',)","Charlotte city, North Carolina","10,096","±1,862",2.60%,±0.5
"('Built 1940 to 1949',)","Chicago city, Illinois","101,786","±5,512",8.00%,±0.4
"('Built 1940 to 1949',)","Cincinnati city, Ohio","13,498","±2,762",8.40%,±1.7
"('Built 1940 to 1949',)","Cleveland city, Ohio","19,609","±2,518",9.70%,±1.2
"('Built 1940 to 1949',)","Colorado Springs city, Colorado","3,786",±951,1.80%,±0.5
"('Built 1940 to 1949',)","Columbus city, Ohio","16,536","±1,773",3.90%,±0.4
"('Built 1940 to 1949',)","Corpus Christi city, Texas","10,030","±1,706",7.30%,±1.3
"('Built 1940 to 1949',)","Dallas city, Texas","30,411","±2,734",5.10%,±0.5
"('Built 1940 to 1949',)","Denver city, Colorado","20,484","±2,676",5.80%,±0.8
"('Built 1940 to 1949',)","Detroit city, Michigan","59,399","±4,029",18.40%,±1.2
"('Built 1940 to 1949',)","Durham city, North Carolina","3,804",±962,2.90%,±0.7
"('Built 1940 to 1949',)","El Paso city, Texas","10,788","±1,889",4.10%,±0.7
"('Built 1940 to 1949',)","Fort Worth city, Texas","17,203","±2,143",4.80%,±0.6
"('Built 1940 to 1949',)","Fresno city, California","9,874","±1,619",5.20%,±0.9
"('Built 1940 to 1949',)","Greensboro city, North Carolina","6,845","±2,063",4.90%,±1.5
"('Built 1940 to 1949',)","Henderson city, Nevada",534,±318,0.40%,±0.2
"('Built 1940 to 1949',)","Houston city, Texas","40,728","±3,568",4.00%,±0.3
"('Built 1940 to 1949',)","Indianapolis city (balance), Indiana","17,914","±2,083",4.50%,±0.5
"('Built 1940 to 1949',)","Irvine city, California",232,±255,0.20%,±0.2
"('Built 1940 to 1949',)","Jacksonville city, Florida","17,085","±2,213",4.00%,±0.5
"('Built 1940 to 1949',)","Jersey City city, New Jersey","8,122","±1,655",6.20%,±1.3
"('Built 1940 to 1949',)","Kansas City city, Missouri","13,811","±1,766",5.70%,±0.7
"('Built 1940 to 1949',)","Las Vegas city, Nevada","2,678",±681,1.00%,±0.3
"('Built 1940 to 1949',)","Lexington-Fayette urban county, Kentucky","3,948","±1,025",2.70%,±0.7
"('Built 1940 to 1949',)","Lincoln city, Nebraska","5,125","±1,160",4.10%,±0.9
"('Built 1940 to 1949',)","Long Beach city, California","26,320","±2,477",14.60%,±1.4
"('Built 1940 to 1949',)","Los Angeles city, California","137,785","±6,124",8.90%,±0.4
"('Built 1940 to 1949',)","Memphis city, Tennessee","20,245","±2,674",7.00%,±0.9
"('Built 1940 to 1949',)","Mesa city, Arizona","1,962",±768,0.90%,±0.3
"('Built 1940 to 1949',)","Miami city, Florida","22,743","±2,542",10.30%,±1.2
"('Built 1940 to 1949',)","Milwaukee city, Wisconsin","29,106","±2,694",11.30%,±1.0
"('Built 1940 to 1949',)","Minneapolis city, Minnesota","11,999","±1,523",5.90%,±0.7
"('Built 1940 to 1949',)","Nashville-Davidson metropolitan government (balance), Tennessee","10,605","±1,623",3.20%,±0.5
"('Built 1940 to 1949',)","New Orleans city, Louisiana","13,249","±1,553",6.80%,±0.8
"('Built 1940 to 1949',)","New York city, New York","339,115","±9,746",9.30%,±0.3
"('Built 1940 to 1949',)","Newark city, New Jersey","12,600","±2,226",10.30%,±1.8
"('Built 1940 to 1949',)","Oakland city, California","19,721","±2,087",10.60%,±1.1
"('Built 1940 to 1949',)","Oklahoma City city, Oklahoma","12,624","±1,599",4.20%,±0.5
"('Built 1940 to 1949',)","Omaha city, Nebraska","9,962","±1,500",4.70%,±0.7
"('Built 1940 to 1949',)","Orlando city, Florida","4,030","±1,174",2.70%,±0.8
"('Built 1940 to 1949',)","Philadelphia city, Pennsylvania","91,988","±5,152",12.50%,±0.7
"('Built 1940 to 1949',)","Phoenix city, Arizona","17,755","±2,461",2.80%,±0.4
"('Built 1940 to 1949',)","Pittsburgh city, Pennsylvania","11,314","±1,451",7.10%,±0.9
"('Built 1940 to 1949',)","Plano city, Texas",137,±169,0.10%,±0.1
"('Built 1940 to 1949',)","Portland city, Oregon","21,634","±2,141",7.10%,±0.7
"('Built 1940 to 1949',)","Raleigh city, North Carolina","2,643",±722,1.20%,±0.3
"('Built 1940 to 1949',)","Riverside city, California","3,777",±848,4.00%,±0.9
"('Built 1940 to 1949',)","Sacramento city, California","16,526","±2,084",7.80%,±0.9
"('Built 1940 to 1949',)","San Antonio city, Texas","33,175","±3,225",5.50%,±0.5
"('Built 1940 to 1949',)","San Diego city, California","21,103","±2,302",3.80%,±0.4
"('Built 1940 to 1949',)","San Francisco city, California","36,785","±2,920",8.90%,±0.7
"('Built 1940 to 1949',)","San Jose city, California","9,765","±1,517",2.90%,±0.4
"('Built 1940 to 1949',)","Santa Ana city, California","4,188",±972,5.20%,±1.2
"('Built 1940 to 1949',)","Seattle city, Washington","30,171","±3,114",7.80%,±0.8
"('Built 1940 to 1949',)","St. Louis city, Missouri","13,223","±1,903",7.60%,±1.1
"('Built 1940 to 1949',)","St. Paul city, Minnesota","8,327","±1,274",6.30%,±0.9
"('Built 1940 to 1949',)","Stockton city, California","5,799","±1,108",5.60%,±1.1
"('Built 1940 to 1949',)","Tampa city, Florida","11,896","±1,782",6.90%,±1.0
"('Built 1940 to 1949',)","Tucson city, Arizona","12,091","±2,008",5.00%,±0.8
"('Built 1940 to 1949',)","Tulsa city, Oklahoma","11,550","±1,125",5.90%,±0.6
"('Built 1940 to 1949',)","Virginia Beach city, Virginia","2,017",±825,1.10%,±0.4
"('Built 1940 to 1949',)","Washington city, District of Columbia","39,944","±4,128",11.20%,±1.2
"('Built 1940 to 1949',)","Wichita city, Kansas","16,307","±2,017",9.20%,±1.2
"('Built 1939 or earlier',)","Albuquerque city, New Mexico","7,566","±1,383",2.90%,±0.5
"('Built 1939 or earlier',)","Anaheim city, California","2,306",±799,2.10%,±0.7
"('Built 1939 or earlier',)","Anchorage municipality, Alaska",917,±531,0.80%,±0.4
"('Built 1939 or earlier',)","Arlington city, Texas",835,±555,0.50%,±0.4
"('Built 1939 or earlier',)","Atlanta city, Georgia","34,387","±3,106",13.60%,±1.2
"('Built 1939 or earlier',)","Aurora city, Colorado","2,181",±710,1.50%,±0.5
"('Built 1939 or earlier',)","Austin city, Texas","11,723","±2,378",2.50%,±0.5
"('Built 1939 or earlier',)","Bakersfield city, California","4,017","±1,224",3.00%,±0.9
"('Built 1939 or earlier',)","Baltimore city, Maryland","118,045","±4,538",40.20%,±1.5
"('Built 1939 or earlier',)","Boston city, Massachusetts","141,815","±4,854",46.20%,±1.5
"('Built 1939 or earlier',)","Charlotte city, North Carolina","10,063","±1,393",2.60%,±0.4
"('Built 1939 or earlier',)","Chicago city, Illinois","515,875","±10,656",40.60%,±0.7
"('Built 1939 or earlier',)","Cincinnati city, Ohio","64,366","±3,466",40.10%,±2.1
"('Built 1939 or earlier',)","Cleveland city, Ohio","100,208","±4,347",49.40%,±1.9
"('Built 1939 or earlier',)","Colorado Springs city, Colorado","11,830","±1,536",5.80%,±0.8
"('Built 1939 or earlier',)","Columbus city, Ohio","50,013","±3,077",11.80%,±0.7
"('Built 1939 or earlier',)","Corpus Christi city, Texas","3,867","±1,103",2.80%,±0.8
"('Built 1939 or earlier',)","Dallas city, Texas","30,424","±3,515",5.10%,±0.6
"('Built 1939 or earlier',)","Denver city, Colorado","61,593","±3,788",17.50%,±1.1
"('Built 1939 or earlier',)","Detroit city, Michigan","118,881","±4,015",36.80%,±1.2
"('Built 1939 or earlier',)","Durham city, North Carolina","7,710","±1,213",5.80%,±0.9
"('Built 1939 or earlier',)","El Paso city, Texas","11,681","±1,611",4.50%,±0.6
"('Built 1939 or earlier',)","Fort Worth city, Texas","20,135","±2,299",5.60%,±0.6
"('Built 1939 or earlier',)","Fresno city, California","9,685","±1,213",5.10%,±0.6
"('Built 1939 or earlier',)","Greensboro city, North Carolina","6,619","±1,322",4.70%,±0.9
"('Built 1939 or earlier',)","Henderson city, Nevada",49,±85,0.00%,±0.1
"('Built 1939 or earlier',)","Houston city, Texas","43,732","±4,132",4.30%,±0.4
"('Built 1939 or earlier',)","Indianapolis city (balance), Indiana","65,072","±3,952",16.30%,±1.0
"('Built 1939 or earlier',)","Irvine city, California","1,069",±973,0.90%,±0.8
"('Built 1939 or earlier',)","Jacksonville city, Florida","18,933","±2,127",4.50%,±0.5
"('Built 1939 or earlier',)","Jersey City city, New Jersey","36,101","±3,557",27.40%,±2.5
"('Built 1939 or earlier',)","Kansas City city, Missouri","51,263","±3,003",21.00%,±1.2
"('Built 1939 or earlier',)","Las Vegas city, Nevada","2,463",±813,0.90%,±0.3
"('Built 1939 or earlier',)","Lexington-Fayette urban county, Kentucky","11,808","±1,712",8.00%,±1.2
"('Built 1939 or earlier',)","Lincoln city, Nebraska","14,354","±1,728",11.40%,±1.3
"('Built 1939 or earlier',)","Long Beach city, California","32,018","±2,641",17.80%,±1.5
"('Built 1939 or earlier',)","Los Angeles city, California","293,714","±8,169",19.00%,±0.5
"('Built 1939 or earlier',)","Memphis city, Tennessee","23,404","±2,437",8.10%,±0.8
"('Built 1939 or earlier',)","Mesa city, Arizona",837,±421,0.40%,±0.2
"('Built 1939 or earlier',)","Miami city, Florida","17,830","±1,919",8.10%,±0.9
"('Built 1939 or earlier',)","Milwaukee city, Wisconsin","86,084","±3,761",33.40%,±1.4
"('Built 1939 or earlier',)","Minneapolis city, Minnesota","88,928","±4,113",43.70%,±2.0
"('Built 1939 or earlier',)","Nashville-Davidson metropolitan government (balance), Tennessee","19,591","±2,624",5.90%,±0.8
"('Built 1939 or earlier',)","New Orleans city, Louisiana","61,025","±2,780",31.30%,±1.4
"('Built 1939 or earlier',)","New York city, New York","1,423,010","±17,163",39.10%,±0.5
"('Built 1939 or earlier',)","Newark city, New Jersey","25,020","±3,090",20.50%,±2.4
"('Built 1939 or earlier',)","Oakland city, California","69,756","±3,537",37.40%,±1.7
"('Built 1939 or earlier',)","Oklahoma City city, Oklahoma","20,272","±1,778",6.70%,±0.6
"('Built 1939 or earlier',)","Omaha city, Nebraska","37,043","±2,575",17.40%,±1.2
"('Built 1939 or earlier',)","Orlando city, Florida","3,504","±1,020",2.30%,±0.7
"('Built 1939 or earlier',)","Philadelphia city, Pennsylvania","288,355","±7,353",39.30%,±1.0
"('Built 1939 or earlier',)","Phoenix city, Arizona","11,991","±1,969",1.90%,±0.3
"('Built 1939 or earlier',)","Pittsburgh city, Pennsylvania","80,272","±4,005",50.30%,±1.8
"('Built 1939 or earlier',)","Plano city, Texas",152,±186,0.10%,±0.2
"('Built 1939 or earlier',)","Portland city, Oregon","83,294","±4,061",27.40%,±1.3
"('Built 1939 or earlier',)","Raleigh city, North Carolina","6,842","±1,447",3.10%,±0.7
"('Built 1939 or earlier',)","Riverside city, California","6,066","±1,310",6.40%,±1.4
"('Built 1939 or earlier',)","Sacramento city, California","20,559","±2,461",9.80%,±1.1
"('Built 1939 or earlier',)","San Antonio city, Texas","30,193","±2,508",5.00%,±0.4
"('Built 1939 or earlier',)","San Diego city, California","38,154","±3,259",6.90%,±0.6
"('Built 1939 or earlier',)","San Francisco city, California","187,962","±4,919",45.60%,±1.2
"('Built 1939 or earlier',)","San Jose city, California","16,817","±1,806",4.90%,±0.5
"('Built 1939 or earlier',)","Santa Ana city, California","7,466","±1,219",9.30%,±1.5
"('Built 1939 or earlier',)","Seattle city, Washington","90,897","±3,769",23.60%,±1.0
"('Built 1939 or earlier',)","St. Louis city, Missouri","99,356","±3,795",57.30%,±2.2
"('Built 1939 or earlier',)","St. Paul city, Minnesota","51,517","±2,515",39.20%,±1.8
"('Built 1939 or earlier',)","Stockton city, California","10,198","±1,484",9.90%,±1.4
"('Built 1939 or earlier',)","Tampa city, Florida","11,842","±1,521",6.80%,±0.9
"('Built 1939 or earlier',)","Tucson city, Arizona","6,986","±1,257",2.90%,±0.5
"('Built 1939 or earlier',)","Tulsa city, Oklahoma","19,442","±1,196",10.00%,±0.6
"('Built 1939 or earlier',)","Virginia Beach city, Virginia","1,766",±639,0.90%,±0.3
"('Built 1939 or earlier',)","Washington city, District of Columbia","115,029","±5,272",32.20%,±1.5
"('Built 1939 or earlier',)","Wichita city, Kansas","16,746","±2,125",9.50%,±1.2
"('Total housing units',)","Albuquerque city, New Mexico","256,814","±2,299","256,814",(X)
"('Total housing units',)","Anaheim city, California","110,319","±3,231","110,319",(X)
"('Total housing units',)","Anchorage municipality, Alaska","119,808",±653,"119,808",(X)
"('Total housing units',)","Arlington city, Texas","156,653","±5,087","156,653",(X)
"('Total housing units',)","Atlanta city, Georgia","253,355","±5,916","253,355",(X)
"('Total housing units',)","Aurora city, Colorado","149,636","±3,371","149,636",(X)
"('Total housing units',)","Austin city, Texas","469,156","±6,990","469,156",(X)
"('Total housing units',)","Bakersfield city, California","134,270","±3,483","134,270",(X)
"('Total housing units',)","Baltimore city, Maryland","293,487","±1,685","293,487",(X)
"('Total housing units',)","Boston city, Massachusetts","307,025","±2,891","307,025",(X)
"('Total housing units',)","Charlotte city, North Carolina","393,631","±3,480","393,631",(X)
"('Total housing units',)","Chicago city, Illinois","1,272,191","±10,075","1,272,191",(X)
"('Total housing units',)","Cincinnati city, Ohio","160,420","±4,032","160,420",(X)
"('Total housing units',)","Cleveland city, Ohio","202,735","±4,511","202,735",(X)
"('Total housing units',)","Colorado Springs city, Colorado","205,380","±3,006","205,380",(X)
"('Total housing units',)","Columbus city, Ohio","422,120","±4,966","422,120",(X)
"('Total housing units',)","Corpus Christi city, Texas","137,431","±2,184","137,431",(X)
"('Total housing units',)","Dallas city, Texas","591,773","±7,965","591,773",(X)
"('Total housing units',)","Denver city, Colorado","351,829",±978,"351,829",(X)
"('Total housing units',)","Detroit city, Michigan","322,906","±4,766","322,906",(X)
"('Total housing units',)","Durham city, North Carolina","131,917","±1,868","131,917",(X)
"('Total housing units',)","El Paso city, Texas","261,779","±2,871","261,779",(X)
"('Total housing units',)","Fort Worth city, Texas","361,341","±6,713","361,341",(X)
"('Total housing units',)","Fresno city, California","188,756","±3,250","188,756",(X)
"('Total housing units',)","Greensboro city, North Carolina","139,565","±3,225","139,565",(X)
"('Total housing units',)","Henderson city, Nevada","132,088","±3,644","132,088",(X)
"('Total housing units',)","Houston city, Texas","1,028,763","±10,230","1,028,763",(X)
"('Total housing units',)","Indianapolis city (balance), Indiana","399,820","±2,480","399,820",(X)
"('Total housing units',)","Irvine city, California","122,260","±5,673","122,260",(X)
"('Total housing units',)","Jacksonville city, Florida","422,315","±3,351","422,315",(X)
"('Total housing units',)","Jersey City city, New Jersey","131,609","±3,580","131,609",(X)
"('Total housing units',)","Kansas City city, Missouri","243,950","±4,034","243,950",(X)
"('Total housing units',)","Las Vegas city, Nevada","269,602","±4,527","269,602",(X)
"('Total housing units',)","Lexington-Fayette urban county, Kentucky","147,590","±1,002","147,590",(X)
"('Total housing units',)","Lincoln city, Nebraska","126,262","±1,224","126,262",(X)
"('Total housing units',)","Long Beach city, California","179,856","±4,443","179,856",(X)
"('Total housing units',)","Los Angeles city, California","1,542,391","±9,733","1,542,391",(X)
"('Total housing units',)","Memphis city, Tennessee","288,491","±4,648","288,491",(X)
"('Total housing units',)","Mesa city, Arizona","221,995","±5,732","221,995",(X)
"('Total housing units',)","Miami city, Florida","219,775","±5,651","219,775",(X)
"('Total housing units',)","Milwaukee city, Wisconsin","257,812","±3,165","257,812",(X)
"('Total housing units',)","Minneapolis city, Minnesota","203,633","±4,178","203,633",(X)
"('Total housing units',)","Nashville-Davidson metropolitan government (balance), Tennessee","331,262","±1,908","331,262",(X)
"('Total housing units',)","New Orleans city, Louisiana","194,701",±859,"194,701",(X)
"('Total housing units',)","New York city, New York","3,641,931","±2,894","3,641,931",(X)
"('Total housing units',)","Newark city, New Jersey","122,145","±3,802","122,145",(X)
"('Total housing units',)","Oakland city, California","186,660","±4,202","186,660",(X)
"('Total housing units',)","Oklahoma City city, Oklahoma","302,241","±4,267","302,241",(X)
"('Total housing units',)","Omaha city, Nebraska","212,802","±1,693","212,802",(X)
"('Total housing units',)","Orlando city, Florida","149,940","±5,158","149,940",(X)
"('Total housing units',)","Philadelphia city, Pennsylvania","733,015","±2,013","733,015",(X)
"('Total housing units',)","Phoenix city, Arizona","644,625","±7,668","644,625",(X)
"('Total housing units',)","Pittsburgh city, Pennsylvania","159,435","±5,069","159,435",(X)
"('Total housing units',)","Plano city, Texas","114,797","±3,481","114,797",(X)
"('Total housing units',)","Portland city, Oregon","303,483","±3,047","303,483",(X)
"('Total housing units',)","Raleigh city, North Carolina","217,866","±4,672","217,866",(X)
"('Total housing units',)","Riverside city, California","94,246","±2,944","94,246",(X)
"('Total housing units',)","Sacramento city, California","210,715","±4,391","210,715",(X)
"('Total housing units',)","San Antonio city, Texas","603,670","±6,093","603,670",(X)
"('Total housing units',)","San Diego city, California","555,456","±7,850","555,456",(X)
"('Total housing units',)","San Francisco city, California","412,269","±1,484","412,269",(X)
"('Total housing units',)","San Jose city, California","340,561","±4,585","340,561",(X)
"('Total housing units',)","Santa Ana city, California","80,604","±2,558","80,604",(X)
"('Total housing units',)","Seattle city, Washington","384,799","±5,658","384,799",(X)
"('Total housing units',)","St. Louis city, Missouri","173,493",±644,"173,493",(X)
"('Total housing units',)","St. Paul city, Minnesota","131,275","±2,691","131,275",(X)
"('Total housing units',)","Stockton city, California","102,642","±3,106","102,642",(X)
"('Total housing units',)","Tampa city, Florida","172,886","±3,935","172,886",(X)
"('Total housing units',)","Tucson city, Arizona","242,816","±4,430","242,816",(X)
"('Total housing units',)","Tulsa city, Oklahoma","194,402","±2,135","194,402",(X)
"('Total housing units',)","Virginia Beach city, Virginia","190,981",±740,"190,981",(X)
"('Total housing units',)","Washington city, District of Columbia","357,482",±47,"357,482",(X)
"('Total housing units',)","Wichita city, Kansas","176,357","±2,140","176,357",(X)
"('1 room',)","Albuquerque city, New Mexico","8,954","±2,087",3.50%,±0.8
"('1 room',)","Anaheim city, California","5,735","±1,333",5.20%,±1.2
"('1 room',)","Anchorage municipality, Alaska","4,020","±1,508",3.40%,±1.3
"('1 room',)","Arlington city, Texas","3,295",±994,2.10%,±0.6
"('1 room',)","Atlanta city, Georgia","12,649","±2,614",5.00%,±1.0
"('1 room',)","Aurora city, Colorado","3,808","±1,153",2.50%,±0.8
"('1 room',)","Austin city, Texas","29,057","±4,253",6.20%,±0.9
"('1 room',)","Bakersfield city, California","4,071","±1,395",3.00%,±1.0
"('1 room',)","Baltimore city, Maryland","10,227","±1,769",3.50%,±0.6
"('1 room',)","Boston city, Massachusetts","21,279","±2,515",6.90%,±0.8
"('1 room',)","Charlotte city, North Carolina","9,952","±1,714",2.50%,±0.4
"('1 room',)","Chicago city, Illinois","77,000","±6,028",6.10%,±0.5
"('1 room',)","Cincinnati city, Ohio","8,076","±1,874",5.00%,±1.1
"('1 room',)","Cleveland city, Ohio","8,713","±1,533",4.30%,±0.7
"('1 room',)","Colorado Springs city, Colorado","3,556","±1,169",1.70%,±0.6
"('1 room',)","Columbus city, Ohio","7,703","±1,692",1.80%,±0.4
"('1 room',)","Corpus Christi city, Texas","4,028","±1,452",2.90%,±1.1
"('1 room',)","Dallas city, Texas","27,848","±3,407",4.70%,±0.6
"('1 room',)","Denver city, Colorado","22,411","±2,309",6.40%,±0.7
"('1 room',)","Detroit city, Michigan","8,898","±1,448",2.80%,±0.4
"('1 room',)","Durham city, North Carolina","4,171","±1,499",3.20%,±1.1
"('1 room',)","El Paso city, Texas","7,140","±1,457",2.70%,±0.6
"('1 room',)","Fort Worth city, Texas","9,039","±2,465",2.50%,±0.7
"('1 room',)","Fresno city, California","21,151","±2,395",11.20%,±1.2
"('1 room',)","Greensboro city, North Carolina","2,516","±1,166",1.80%,±0.8
"('1 room',)","Henderson city, Nevada","1,213",±627,0.90%,±0.5
"('1 room',)","Houston city, Texas","42,122","±5,214",4.10%,±0.5
"('1 room',)","Indianapolis city (balance), Indiana","9,068","±2,363",2.30%,±0.6
"('1 room',)","Irvine city, California","4,069","±1,286",3.30%,±1.0
"('1 room',)","Jacksonville city, Florida","7,268","±1,792",1.70%,±0.4
"('1 room',)","Jersey City city, New Jersey","8,916","±1,778",6.80%,±1.3
"('1 room',)","Kansas City city, Missouri","7,246","±1,634",3.00%,±0.7
"('1 room',)","Las Vegas city, Nevada","8,128","±1,404",3.00%,±0.5
"('1 room',)","Lexington-Fayette urban county, Kentucky","5,310","±1,555",3.60%,±1.1
"('1 room',)","Lincoln city, Nebraska","4,229","±1,168",3.30%,±0.9
"('1 room',)","Long Beach city, California","12,774","±1,927",7.10%,±1.0
"('1 room',)","Los Angeles city, California","158,061","±7,007",10.20%,±0.4
"('1 room',)","Memphis city, Tennessee","4,088","±1,230",1.40%,±0.4
"('1 room',)","Mesa city, Arizona","4,281","±1,016",1.90%,±0.5
"('1 room',)","Miami city, Florida","19,775","±3,083",9.00%,±1.3
"('1 room',)","Milwaukee city, Wisconsin","9,520","±1,613",3.70%,±0.6
"('1 room',)","Minneapolis city, Minnesota","16,131","±2,470",7.90%,±1.2
"('1 room',)","Nashville-Davidson metropolitan government (balance), Tennessee","10,528","±2,440",3.20%,±0.7
"('1 room',)","New Orleans city, Louisiana","4,405","±1,086",2.30%,±0.6
"('1 room',)","New York city, New York","287,186","±12,397",7.90%,±0.3
"('1 room',)","Newark city, New Jersey","7,756","±1,948",6.30%,±1.6
"('1 room',)","Oakland city, California","17,568","±2,170",9.40%,±1.1
"('1 room',)","Oklahoma City city, Oklahoma","6,465","±1,408",2.10%,±0.5
"('1 room',)","Omaha city, Nebraska","9,123","±1,842",4.30%,±0.9
"('1 room',)","Orlando city, Florida","7,407","±2,215",4.90%,±1.4
"('1 room',)","Philadelphia city, Pennsylvania","34,383","±3,314",4.70%,±0.5
"('1 room',)","Phoenix city, Arizona","24,206","±3,053",3.80%,±0.5
"('1 room',)","Pittsburgh city, Pennsylvania","4,890","±1,226",3.10%,±0.8
"('1 room',)","Plano city, Texas","2,504",±840,2.20%,±0.7
"('1 room',)","Portland city, Oregon","26,040","±3,260",8.60%,±1.1
"('1 room',)","Raleigh city, North Carolina","5,169","±1,526",2.40%,±0.7
"('1 room',)","Riverside city, California","2,829",±981,3.00%,±1.0
"('1 room',)","Sacramento city, California","8,858","±1,756",4.20%,±0.8
"('1 room',)","San Antonio city, Texas","19,440","±3,288",3.20%,±0.5
"('1 room',)","San Diego city, California","31,242","±3,801",5.60%,±0.7
"('1 room',)","San Francisco city, California","55,201","±4,610",13.40%,±1.1
"('1 room',)","San Jose city, California","15,482","±2,328",4.50%,±0.7
"('1 room',)","Santa Ana city, California","3,250",±959,4.00%,±1.2
"('1 room',)","Seattle city, Washington","48,625","±4,322",12.60%,±1.1
"('1 room',)","St. Louis city, Missouri","6,672","±1,405",3.80%,±0.8
"('1 room',)","St. Paul city, Minnesota","5,565","±1,124",4.20%,±0.8
"('1 room',)","Stockton city, California","3,108",±785,3.00%,±0.8
"('1 room',)","Tampa city, Florida","5,223","±1,172",3.00%,±0.7
"('1 room',)","Tucson city, Arizona","11,623","±1,948",4.80%,±0.8
"('1 room',)","Tulsa city, Oklahoma","5,248","±1,008",2.70%,±0.5
"('1 room',)","Virginia Beach city, Virginia","2,514","±1,033",1.30%,±0.5
"('1 room',)","Washington city, District of Columbia","34,951","±3,235",9.80%,±0.9
"('1 room',)","Wichita city, Kansas","4,577","±1,087",2.60%,±0.6
"('2 rooms',)","Albuquerque city, New Mexico","9,320","±1,998",3.60%,±0.8
"('2 rooms',)","Anaheim city, California","7,203","±1,649",6.50%,±1.4
"('2 rooms',)","Anchorage municipality, Alaska","5,591","±1,709",4.70%,±1.4
"('2 rooms',)","Arlington city, Texas","5,569","±1,488",3.60%,±0.9
"('2 rooms',)","Atlanta city, Georgia","25,228","±3,332",10.00%,±1.4
"('2 rooms',)","Aurora city, Colorado","5,458",±974,3.60%,±0.6
"('2 rooms',)","Austin city, Texas","45,919","±4,691",9.80%,±1.0
"('2 rooms',)","Bakersfield city, California","3,885","±1,301",2.90%,±1.0
"('2 rooms',)","Baltimore city, Maryland","10,961","±2,191",3.70%,±0.7
"('2 rooms',)","Boston city, Massachusetts","20,110","±2,341",6.50%,±0.8
"('2 rooms',)","Charlotte city, North Carolina","13,475","±2,166",3.40%,±0.5
"('2 rooms',)","Chicago city, Illinois","77,521","±5,533",6.10%,±0.4
"('2 rooms',)","Cincinnati city, Ohio","11,265","±1,858",7.00%,±1.1
"('2 rooms',)","Cleveland city, Ohio","7,999","±1,559",3.90%,±0.7
"('2 rooms',)","Colorado Springs city, Colorado","7,591","±1,707",3.70%,±0.8
"('2 rooms',)","Columbus city, Ohio","16,197","±2,389",3.80%,±0.6
"('2 rooms',)","Corpus Christi city, Texas","4,612","±1,450",3.40%,±1.0
"('2 rooms',)","Dallas city, Texas","42,399","±3,939",7.20%,±0.7
"('2 rooms',)","Denver city, Colorado","27,123","±3,161",7.70%,±0.9
