Metric,City,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error
"('5 or more bedrooms',)","Memphis city, Tennessee","9,606","±1,886",3.20%,±0.6
"('5 or more bedrooms',)","Mesa city, Arizona","8,188","±1,292",3.80%,±0.6
"('5 or more bedrooms',)","Miami city, Florida","3,369",±798,1.50%,±0.4
"('5 or more bedrooms',)","Milwaukee city, Wisconsin","5,356",±875,2.10%,±0.3
"('5 or more bedrooms',)","Minneapolis city, Minnesota","6,416","±1,177",3.30%,±0.6
"('5 or more bedrooms',)","New Orleans city, Louisiana","5,647",±993,2.90%,±0.5
"('5 or more bedrooms',)","New York city, New York","82,870","±4,980",2.30%,±0.1
"('5 or more bedrooms',)","Newark city, New Jersey","2,812",±951,2.50%,±0.9
"('5 or more bedrooms',)","Oakland city, California","4,437","±1,009",2.40%,±0.6
"('5 or more bedrooms',)","Oklahoma City city, Oklahoma","4,964",±902,1.80%,±0.3
"('5 or more bedrooms',)","Omaha city, Nebraska","10,775","±1,546",5.30%,±0.8
"('5 or more bedrooms',)","Orlando city, Florida","2,815","±1,094",2.00%,±0.8
"('5 or more bedrooms',)","Philadelphia city, Pennsylvania","21,243","±3,003",3.10%,±0.4
"('5 or more bedrooms',)","Phoenix city, Arizona","22,463","±2,370",3.50%,±0.4
"('5 or more bedrooms',)","Pittsburgh city, Pennsylvania","7,866","±1,320",5.00%,±0.8
"('5 or more bedrooms',)","Plano city, Texas","9,978","±1,779",8.50%,±1.5
"('5 or more bedrooms',)","Portland city, Oregon","9,338","±1,430",3.10%,±0.5
"('5 or more bedrooms',)","Raleigh city, North Carolina","9,307","±1,856",4.50%,±0.9
"('5 or more bedrooms',)","Riverside city, California","6,258","±1,242",6.90%,±1.4
"('5 or more bedrooms',)","Sacramento city, California","5,489","±1,194",2.70%,±0.6
"('5 or more bedrooms',)","San Antonio city, Texas","14,306","±1,952",2.50%,±0.3
"('5 or more bedrooms',)","San Diego city, California","20,300","±2,331",3.60%,±0.4
"('5 or more bedrooms',)","San Francisco city, California","10,507","±1,835",2.60%,±0.5
"('5 or more bedrooms',)","San Jose city, California","16,444","±1,617",4.80%,±0.5
"('5 or more bedrooms',)","Santa Ana city, California","1,878",±691,2.30%,±0.8
"('5 or more bedrooms',)","Seattle city, Washington","14,411","±2,105",3.90%,±0.6
"('5 or more bedrooms',)","St. Louis city, Missouri","5,319","±1,001",3.00%,±0.6
"('5 or more bedrooms',)","St. Paul city, Minnesota","5,460","±1,046",4.50%,±0.8
"('5 or more bedrooms',)","Stockton city, California","4,541","±1,120",4.30%,±1.0
"('5 or more bedrooms',)","Tampa city, Florida","4,771",±930,2.70%,±0.5
"('5 or more bedrooms',)","Tucson city, Arizona","3,563",±778,1.50%,±0.3
"('5 or more bedrooms',)","Tulsa city, Oklahoma","5,348",±745,2.80%,±0.4
"('5 or more bedrooms',)","Virginia Beach city, Virginia","12,612","±1,430",6.80%,±0.8
"('5 or more bedrooms',)","Washington city, District of Columbia","12,320","±1,732",3.80%,±0.5
"('5 or more bedrooms',)","Wichita city, Kansas","14,443","±2,064",8.40%,±1.2
"('Occupied housing units',)","Albuquerque city, New Mexico","227,179","±3,703","227,179",(X)
"('Occupied housing units',)","Anaheim city, California","105,301","±3,293","105,301",(X)
"('Occupied housing units',)","Anchorage municipality, Alaska","105,198","±2,489","105,198",(X)
"('Occupied housing units',)","Arlington city, Texas","138,639","±4,153","138,639",(X)
"('Occupied housing units',)","Atlanta city, Georgia","223,736","±5,878","223,736",(X)
"('Occupied housing units',)","Aurora city, Colorado","136,443","±2,693","136,443",(X)
"('Occupied housing units',)","Austin city, Texas","409,903","±5,829","409,903",(X)
"('Occupied housing units',)","Bakersfield city, California","116,558","±3,205","116,558",(X)
"('Occupied housing units',)","Baltimore city, Maryland","242,694","±3,666","242,694",(X)
"('Occupied housing units',)","Boston city, Massachusetts","271,553","±4,551","271,553",(X)
"('Occupied housing units',)","Charlotte city, North Carolina","342,448","±5,660","342,448",(X)
"('Occupied housing units',)","Chicago city, Illinois","1,080,345","±9,304","1,080,345",(X)
"('Occupied housing units',)","Cincinnati city, Ohio","137,582","±3,335","137,582",(X)
"('Occupied housing units',)","Cleveland city, Ohio","171,632","±4,640","171,632",(X)
"('Occupied housing units',)","Colorado Springs city, Colorado","188,837","±2,803","188,837",(X)
"('Occupied housing units',)","Columbus city, Ohio","368,491","±5,107","368,491",(X)
"('Occupied housing units',)","Corpus Christi city, Texas","119,184","±3,288","119,184",(X)
"('Occupied housing units',)","Dallas city, Texas","518,998","±7,150","518,998",(X)
"('Occupied housing units',)","Denver city, Colorado","318,445","±3,441","318,445",(X)
"('Occupied housing units',)","Detroit city, Michigan","267,139","±4,836","267,139",(X)
"('Occupied housing units',)","Durham city, North Carolina","114,726","±2,575","114,726",(X)
"('Occupied housing units',)","El Paso city, Texas","223,076","±3,642","223,076",(X)
"('Occupied housing units',)","Fort Worth city, Texas","309,097","±6,094","309,097",(X)
"('Occupied housing units',)","Fresno city, California","172,815","±3,237","172,815",(X)
"('Occupied housing units',)","Greensboro city, North Carolina","118,046","±3,763","118,046",(X)
"('Occupied housing units',)","Henderson city, Nevada","121,285","±3,413","121,285",(X)
"('Occupied housing units',)","Houston city, Texas","876,504","±9,872","876,504",(X)
"('Occupied housing units',)","Indianapolis city (balance), Indiana","340,639","±4,213","340,639",(X)
"('Occupied housing units',)","Irvine city, California","104,524","±3,414","104,524",(X)
"('Occupied housing units',)","Jacksonville city, Florida","349,171","±4,506","349,171",(X)
"('Occupied housing units',)","Jersey City city, New Jersey","108,939","±2,641","108,939",(X)
"('Occupied housing units',)","Kansas City city, Missouri","209,768","±4,049","209,768",(X)
"('Occupied housing units',)","Las Vegas city, Nevada","235,628","±5,729","235,628",(X)
"('Occupied housing units',)","Lincoln city, Nebraska","117,726","±2,263","117,726",(X)
"('Occupied housing units',)","Long Beach city, California","165,689","±4,194","165,689",(X)
"('Occupied housing units',)","Los Angeles city, California","1,398,900","±11,130","1,398,900",(X)
"('Occupied housing units',)","Memphis city, Tennessee","254,423","±4,870","254,423",(X)
"('Occupied housing units',)","Mesa city, Arizona","187,111","±4,486","187,111",(X)
"('Occupied housing units',)","Miami city, Florida","189,084","±5,912","189,084",(X)
"('Occupied housing units',)","Milwaukee city, Wisconsin","232,176","±4,317","232,176",(X)
"('Occupied housing units',)","Minneapolis city, Minnesota","181,833","±4,194","181,833",(X)
"('Occupied housing units',)","New Orleans city, Louisiana","151,753","±2,527","151,753",(X)
"('Occupied housing units',)","New York city, New York","3,211,033","±12,221","3,211,033",(X)
"('Occupied housing units',)","Newark city, New Jersey","102,155","±3,269","102,155",(X)
"('Occupied housing units',)","Oakland city, California","168,413","±3,723","168,413",(X)
"('Occupied housing units',)","Oklahoma City city, Oklahoma","249,615","±3,750","249,615",(X)
"('Occupied housing units',)","Omaha city, Nebraska","188,824","±2,348","188,824",(X)
"('Occupied housing units',)","Orlando city, Florida","109,454","±4,328","109,454",(X)
"('Occupied housing units',)","Philadelphia city, Pennsylvania","619,505","±4,709","619,505",(X)
"('Occupied housing units',)","Phoenix city, Arizona","586,878","±7,653","586,878",(X)
"('Occupied housing units',)","Pittsburgh city, Pennsylvania","143,276","±3,942","143,276",(X)
"('Occupied housing units',)","Plano city, Texas","107,721","±2,964","107,721",(X)
"('Occupied housing units',)","Portland city, Oregon","280,176","±3,794","280,176",(X)
"('Occupied housing units',)","Raleigh city, North Carolina","188,412","±4,255","188,412",(X)
"('Occupied housing units',)","Riverside city, California","87,189","±3,049","87,189",(X)
"('Occupied housing units',)","Sacramento city, California","191,911","±3,797","191,911",(X)
"('Occupied housing units',)","San Antonio city, Texas","512,273","±5,781","512,273",(X)
"('Occupied housing units',)","San Diego city, California","512,530","±7,052","512,530",(X)
"('Occupied housing units',)","San Francisco city, California","365,851","±4,759","365,851",(X)
"('Occupied housing units',)","San Jose city, California","327,894","±5,001","327,894",(X)
"('Occupied housing units',)","Santa Ana city, California","79,704","±2,689","79,704",(X)
"('Occupied housing units',)","Seattle city, Washington","343,988","±6,250","343,988",(X)
"('Occupied housing units',)","St. Louis city, Missouri","146,779","±3,107","146,779",(X)
"('Occupied housing units',)","St. Paul city, Minnesota","110,782","±2,452","110,782",(X)
"('Occupied housing units',)","Stockton city, California","96,149","±3,251","96,149",(X)
"('Occupied housing units',)","Tampa city, Florida","153,918","±3,788","153,918",(X)
"('Occupied housing units',)","Tucson city, Arizona","217,993","±4,317","217,993",(X)
"('Occupied housing units',)","Tulsa city, Oklahoma","163,801","±2,216","163,801",(X)
"('Occupied housing units',)","Virginia Beach city, Virginia","175,029","±2,072","175,029",(X)
"('Occupied housing units',)","Washington city, District of Columbia","291,570","±3,959","291,570",(X)
"('Occupied housing units',)","Wichita city, Kansas","153,454","±3,015","153,454",(X)
"('Owner-occupied',)","Albuquerque city, New Mexico","136,568","±3,921",60.10%,±1.7
"('Owner-occupied',)","Anaheim city, California","48,570","±3,347",46.10%,±2.6
"('Owner-occupied',)","Anchorage municipality, Alaska","64,218","±2,853",61.00%,±2.5
"('Owner-occupied',)","Arlington city, Texas","74,970","±3,879",54.10%,±2.2
"('Owner-occupied',)","Atlanta city, Georgia","104,332","±4,804",46.60%,±2.0
"('Owner-occupied',)","Aurora city, Colorado","84,585","±3,562",62.00%,±2.4
"('Owner-occupied',)","Austin city, Texas","182,068","±6,148",44.40%,±1.4
"('Owner-occupied',)","Bakersfield city, California","69,256","±3,778",59.40%,±2.6
"('Owner-occupied',)","Baltimore city, Maryland","115,524","±4,666",47.60%,±1.7
"('Owner-occupied',)","Boston city, Massachusetts","94,202","±3,584",34.70%,±1.2
"('Owner-occupied',)","Charlotte city, North Carolina","179,563","±4,725",52.40%,±1.2
"('Owner-occupied',)","Chicago city, Illinois","476,993","±8,740",44.20%,±0.8
"('Owner-occupied',)","Cincinnati city, Ohio","54,031","±2,637",39.30%,±1.9
"('Owner-occupied',)","Cleveland city, Ohio","68,707","±3,768",40.00%,±1.9
"('Owner-occupied',)","Colorado Springs city, Colorado","113,114","±3,742",59.90%,±2.0
"('Owner-occupied',)","Columbus city, Ohio","167,715","±5,977",45.50%,±1.4
"('Owner-occupied',)","Corpus Christi city, Texas","69,216","±3,061",58.10%,±2.4
"('Owner-occupied',)","Dallas city, Texas","210,929","±5,842",40.60%,±1.0
"('Owner-occupied',)","Denver city, Colorado","158,620","±4,520",49.80%,±1.4
"('Owner-occupied',)","Detroit city, Michigan","127,801","±4,950",47.80%,±1.7
"('Owner-occupied',)","Durham city, North Carolina","59,179","±3,519",51.60%,±3.2
"('Owner-occupied',)","El Paso city, Texas","128,376","±4,547",57.50%,±1.9
"('Owner-occupied',)","Fort Worth city, Texas","179,783","±6,221",58.20%,±1.8
"('Owner-occupied',)","Fresno city, California","79,995","±4,286",46.30%,±2.2
"('Owner-occupied',)","Greensboro city, North Carolina","57,490","±3,060",48.70%,±2.5
"('Owner-occupied',)","Henderson city, Nevada","79,506","±3,547",65.60%,±2.3
"('Owner-occupied',)","Houston city, Texas","353,562","±9,507",40.30%,±1.0
"('Owner-occupied',)","Indianapolis city (balance), Indiana","180,503","±4,396",53.00%,±1.2
"('Owner-occupied',)","Irvine city, California","45,526","±3,331",43.60%,±3.1
"('Owner-occupied',)","Jacksonville city, Florida","197,853","±5,352",56.70%,±1.5
"('Owner-occupied',)","Jersey City city, New Jersey","33,514","±2,468",30.80%,±2.1
"('Owner-occupied',)","Kansas City city, Missouri","110,735","±4,330",52.80%,±1.8
"('Owner-occupied',)","Las Vegas city, Nevada","123,788","±4,364",52.50%,±1.6
"('Owner-occupied',)","Lincoln city, Nebraska","67,511","±2,441",57.30%,±2.1
"('Owner-occupied',)","Long Beach city, California","64,944","±3,475",39.20%,±1.9
"('Owner-occupied',)","Los Angeles city, California","511,115","±10,213",36.50%,±0.7
"('Owner-occupied',)","Memphis city, Tennessee","118,107","±4,631",46.40%,±1.5
"('Owner-occupied',)","Mesa city, Arizona","117,871","±4,889",63.00%,±1.9
"('Owner-occupied',)","Miami city, Florida","55,878","±3,762",29.60%,±1.8
"('Owner-occupied',)","Milwaukee city, Wisconsin","92,982","±3,261",40.00%,±1.3
"('Owner-occupied',)","Minneapolis city, Minnesota","84,829","±3,386",46.70%,±1.5
"('Owner-occupied',)","New Orleans city, Louisiana","75,257","±2,470",49.60%,±1.7
"('Owner-occupied',)","New York city, New York","1,022,819","±14,707",31.90%,±0.5
"('Owner-occupied',)","Newark city, New Jersey","24,634","±2,437",24.10%,±2.5
"('Owner-occupied',)","Oakland city, California","69,556","±3,284",41.30%,±1.8
"('Owner-occupied',)","Oklahoma City city, Oklahoma","143,591","±3,937",57.50%,±1.5
"('Owner-occupied',)","Omaha city, Nebraska","110,258","±2,900",58.40%,±1.6
"('Owner-occupied',)","Orlando city, Florida","41,239","±3,496",37.70%,±2.9
"('Owner-occupied',)","Philadelphia city, Pennsylvania","323,722","±6,792",52.30%,±1.1
"('Owner-occupied',)","Phoenix city, Arizona","319,653","±7,133",54.50%,±1.0
"('Owner-occupied',)","Pittsburgh city, Pennsylvania","64,669","±3,371",45.10%,±2.1
"('Owner-occupied',)","Plano city, Texas","60,058","±3,150",55.80%,±2.3
"('Owner-occupied',)","Portland city, Oregon","150,724","±4,476",53.80%,±1.5
"('Owner-occupied',)","Raleigh city, North Carolina","96,410","±4,784",51.20%,±2.2
"('Owner-occupied',)","Riverside city, California","46,373","±2,236",53.20%,±2.3
"('Owner-occupied',)","Sacramento city, California","93,509","±4,345",48.70%,±2.0
"('Owner-occupied',)","San Antonio city, Texas","274,290","±7,116",53.50%,±1.4
"('Owner-occupied',)","San Diego city, California","238,126","±6,018",46.50%,±1.0
"('Owner-occupied',)","San Francisco city, California","135,852","±4,620",37.10%,±1.3
"('Owner-occupied',)","San Jose city, California","180,993","±4,764",55.20%,±1.3
"('Owner-occupied',)","Santa Ana city, California","34,481","±2,495",43.30%,±2.8
"('Owner-occupied',)","Seattle city, Washington","150,887","±5,118",43.90%,±1.4
"('Owner-occupied',)","St. Louis city, Missouri","64,692","±3,439",44.10%,±2.0
"('Owner-occupied',)","St. Paul city, Minnesota","57,817","±2,560",52.20%,±2.2
"('Owner-occupied',)","Stockton city, California","47,869","±2,837",49.80%,±2.3
"('Owner-occupied',)","Tampa city, Florida","80,030","±3,540",52.00%,±2.0
"('Owner-occupied',)","Tucson city, Arizona","107,516","±3,922",49.30%,±1.7
"('Owner-occupied',)","Tulsa city, Oklahoma","84,252","±2,344",51.40%,±1.1
"('Owner-occupied',)","Virginia Beach city, Virginia","109,117","±3,068",62.30%,±1.8
"('Owner-occupied',)","Washington city, District of Columbia","120,988","±3,639",41.50%,±1.2
"('Owner-occupied',)","Wichita city, Kansas","90,887","±2,992",59.20%,±1.7
"('Renter-occupied',)","Albuquerque city, New Mexico","90,611","±4,535",39.90%,±1.7
"('Renter-occupied',)","Anaheim city, California","56,731","±3,047",53.90%,±2.6
"('Renter-occupied',)","Anchorage municipality, Alaska","40,980","±2,911",39.00%,±2.5
"('Renter-occupied',)","Arlington city, Texas","63,669","±3,544",45.90%,±2.2
"('Renter-occupied',)","Atlanta city, Georgia","119,404","±6,051",53.40%,±2.0
"('Renter-occupied',)","Aurora city, Colorado","51,858","±3,449",38.00%,±2.4
"('Renter-occupied',)","Austin city, Texas","227,835","±6,710",55.60%,±1.4
"('Renter-occupied',)","Bakersfield city, California","47,302","±3,110",40.60%,±2.6
"('Renter-occupied',)","Baltimore city, Maryland","127,170","±4,577",52.40%,±1.7
"('Renter-occupied',)","Boston city, Massachusetts","177,351","±4,573",65.30%,±1.2
"('Renter-occupied',)","Charlotte city, North Carolina","162,885","±5,310",47.60%,±1.2
"('Renter-occupied',)","Chicago city, Illinois","603,352","±10,270",55.80%,±0.8
"('Renter-occupied',)","Cincinnati city, Ohio","83,551","±3,549",60.70%,±1.9
"('Renter-occupied',)","Cleveland city, Ohio","102,925","±4,306",60.00%,±1.9
"('Renter-occupied',)","Colorado Springs city, Colorado","75,723","±4,073",40.10%,±2.0
"('Renter-occupied',)","Columbus city, Ohio","200,776","±5,567",54.50%,±1.4
"('Renter-occupied',)","Corpus Christi city, Texas","49,968","±3,516",41.90%,±2.4
"('Renter-occupied',)","Dallas city, Texas","308,069","±7,148",59.40%,±1.0
"('Renter-occupied',)","Denver city, Colorado","159,825","±5,232",50.20%,±1.4
"('Renter-occupied',)","Detroit city, Michigan","139,338","±5,303",52.20%,±1.7
"('Renter-occupied',)","Durham city, North Carolina","55,547","±4,111",48.40%,±3.2
"('Renter-occupied',)","El Paso city, Texas","94,700","±4,729",42.50%,±1.9
"('Renter-occupied',)","Fort Worth city, Texas","129,314","±6,202",41.80%,±1.8
"('Renter-occupied',)","Fresno city, California","92,820","±4,074",53.70%,±2.2
"('Renter-occupied',)","Greensboro city, North Carolina","60,556","±3,961",51.30%,±2.5
"('Renter-occupied',)","Henderson city, Nevada","41,779","±3,009",34.40%,±2.3
"('Renter-occupied',)","Houston city, Texas","522,942","±10,462",59.70%,±1.0
"('Renter-occupied',)","Indianapolis city (balance), Indiana","160,136","±5,027",47.00%,±1.2
"('Renter-occupied',)","Irvine city, California","58,998","±3,993",56.40%,±3.1
"('Renter-occupied',)","Jacksonville city, Florida","151,318","±5,871",43.30%,±1.5
"('Renter-occupied',)","Jersey City city, New Jersey","75,425","±2,830",69.20%,±2.1
"('Renter-occupied',)","Kansas City city, Missouri","99,033","±4,198",47.20%,±1.8
"('Renter-occupied',)","Las Vegas city, Nevada","111,840","±5,031",47.50%,±1.6
"('Renter-occupied',)","Lincoln city, Nebraska","50,215","±2,837",42.70%,±2.1
"('Renter-occupied',)","Long Beach city, California","100,745","±4,218",60.80%,±1.9
"('Renter-occupied',)","Los Angeles city, California","887,785","±11,661",63.50%,±0.7
"('Renter-occupied',)","Memphis city, Tennessee","136,316","±4,609",53.60%,±1.5
"('Renter-occupied',)","Mesa city, Arizona","69,240","±3,721",37.00%,±1.9
"('Renter-occupied',)","Miami city, Florida","133,206","±5,475",70.40%,±1.8
"('Renter-occupied',)","Milwaukee city, Wisconsin","139,194","±4,309",60.00%,±1.3
"('Renter-occupied',)","Minneapolis city, Minnesota","97,004","±3,582",53.30%,±1.5
"('Renter-occupied',)","New Orleans city, Louisiana","76,496","±3,173",50.40%,±1.7
"('Renter-occupied',)","New York city, New York","2,188,214","±18,532",68.10%,±0.5
"('Renter-occupied',)","Newark city, New Jersey","77,521","±4,025",75.90%,±2.5
"('Renter-occupied',)","Oakland city, California","98,857","±3,950",58.70%,±1.8
"('Renter-occupied',)","Oklahoma City city, Oklahoma","106,024","±4,244",42.50%,±1.5
"('Renter-occupied',)","Omaha city, Nebraska","78,566","±3,339",41.60%,±1.6
"('Renter-occupied',)","Orlando city, Florida","68,215","±4,322",62.30%,±2.9
"('Renter-occupied',)","Philadelphia city, Pennsylvania","295,783","±7,361",47.70%,±1.1
"('Renter-occupied',)","Phoenix city, Arizona","267,225","±6,523",45.50%,±1.0
"('Renter-occupied',)","Pittsburgh city, Pennsylvania","78,607","±3,811",54.90%,±2.1
"('Renter-occupied',)","Plano city, Texas","47,663","±2,575",44.20%,±2.3
"('Renter-occupied',)","Portland city, Oregon","129,452","±4,683",46.20%,±1.5
"('Renter-occupied',)","Raleigh city, North Carolina","92,002","±4,533",48.80%,±2.2
"('Renter-occupied',)","Riverside city, California","40,816","±2,732",46.80%,±2.3
"('Renter-occupied',)","Sacramento city, California","98,402","±4,028",51.30%,±2.0
"('Renter-occupied',)","San Antonio city, Texas","237,983","±7,988",46.50%,±1.4
"('Renter-occupied',)","San Diego city, California","274,404","±6,727",53.50%,±1.0
"('Renter-occupied',)","San Francisco city, California","229,999","±6,426",62.90%,±1.3
"('Renter-occupied',)","San Jose city, California","146,901","±5,091",44.80%,±1.3
"('Renter-occupied',)","Santa Ana city, California","45,223","±2,717",56.70%,±2.8
"('Renter-occupied',)","Seattle city, Washington","193,101","±6,516",56.10%,±1.4
"('Renter-occupied',)","St. Louis city, Missouri","82,087","±3,151",55.90%,±2.0
"('Renter-occupied',)","St. Paul city, Minnesota","52,965","±2,793",47.80%,±2.2
"('Renter-occupied',)","Stockton city, California","48,280","±2,615",50.20%,±2.3
"('Renter-occupied',)","Tampa city, Florida","73,888","±3,693",48.00%,±2.0
"('Renter-occupied',)","Tucson city, Arizona","110,477","±4,497",50.70%,±1.7
"('Renter-occupied',)","Tulsa city, Oklahoma","79,549","±2,002",48.60%,±1.1
"('Renter-occupied',)","Virginia Beach city, Virginia","65,912","±3,338",37.70%,±1.8
"('Renter-occupied',)","Washington city, District of Columbia","170,582","±4,562",58.50%,±1.2
"('Renter-occupied',)","Wichita city, Kansas","62,567","±2,967",40.80%,±1.7
"('Average household size of owner-occupied unit',)","Albuquerque city, New Mexico",2.53,±0.06,(X),(X)
"('Average household size of owner-occupied unit',)","Anaheim city, California",3.2,±0.14,(X),(X)
"('Average household size of owner-occupied unit',)","Anchorage municipality, Alaska",2.77,±0.11,(X),(X)
"('Average household size of owner-occupied unit',)","Arlington city, Texas",2.97,±0.12,(X),(X)
"('Average household size of owner-occupied unit',)","Atlanta city, Georgia",2.24,±0.08,(X),(X)
"('Average household size of owner-occupied unit',)","Aurora city, Colorado",2.75,±0.08,(X),(X)
"('Average household size of owner-occupied unit',)","Austin city, Texas",2.51,±0.05,(X),(X)
"('Average household size of owner-occupied unit',)","Bakersfield city, California",3.35,±0.14,(X),(X)
"('Average household size of owner-occupied unit',)","Baltimore city, Maryland",2.51,±0.08,(X),(X)
"('Average household size of owner-occupied unit',)","Boston city, Massachusetts",2.59,±0.08,(X),(X)
"('Average household size of owner-occupied unit',)","Charlotte city, North Carolina",2.68,±0.07,(X),(X)
"('Average household size of owner-occupied unit',)","Chicago city, Illinois",2.78,±0.04,(X),(X)
"('Average household size of owner-occupied unit',)","Cincinnati city, Ohio",2.3,±0.09,(X),(X)
"('Average household size of owner-occupied unit',)","Cleveland city, Ohio",2.24,±0.09,(X),(X)
"('Average household size of owner-occupied unit',)","Colorado Springs city, Colorado",2.61,±0.06,(X),(X)
"('Average household size of owner-occupied unit',)","Columbus city, Ohio",2.47,±0.05,(X),(X)
"('Average household size of owner-occupied unit',)","Corpus Christi city, Texas",2.84,±0.09,(X),(X)
"('Average household size of owner-occupied unit',)","Dallas city, Texas",2.83,±0.06,(X),(X)
"('Average household size of owner-occupied unit',)","Denver city, Colorado",2.45,±0.05,(X),(X)
"('Average household size of owner-occupied unit',)","Detroit city, Michigan",2.59,±0.08,(X),(X)
"('Average household size of owner-occupied unit',)","Durham city, North Carolina",2.47,±0.09,(X),(X)
"('Average household size of owner-occupied unit',)","El Paso city, Texas",3.18,±0.09,(X),(X)
"('Average household size of owner-occupied unit',)","Fort Worth city, Texas",3.17,±0.07,(X),(X)
"('Average household size of owner-occupied unit',)","Fresno city, California",3.16,±0.12,(X),(X)
"('Average household size of owner-occupied unit',)","Greensboro city, North Carolina",2.42,±0.10,(X),(X)
"('Average household size of owner-occupied unit',)","Henderson city, Nevada",2.67,±0.08,(X),(X)
"('Average household size of owner-occupied unit',)","Houston city, Texas",2.84,±0.05,(X),(X)
"('Average household size of owner-occupied unit',)","Indianapolis city (balance), Indiana",2.78,±0.06,(X),(X)
"('Average household size of owner-occupied unit',)","Irvine city, California",2.81,±0.14,(X),(X)
"('Average household size of owner-occupied unit',)","Jacksonville city, Florida",2.63,±0.06,(X),(X)
"('Average household size of owner-occupied unit',)","Jersey City city, New Jersey",2.63,±0.15,(X),(X)
"('Average household size of owner-occupied unit',)","Kansas City city, Missouri",2.51,±0.08,(X),(X)
"('Average household size of owner-occupied unit',)","Las Vegas city, Nevada",2.86,±0.09,(X),(X)
"('Average household size of owner-occupied unit',)","Lincoln city, Nebraska",2.59,±0.06,(X),(X)
"('Average household size of owner-occupied unit',)","Long Beach city, California",2.86,±0.10,(X),(X)
"('Average household size of owner-occupied unit',)","Los Angeles city, California",3.05,±0.04,(X),(X)
"('Average household size of owner-occupied unit',)","Memphis city, Tennessee",2.63,±0.08,(X),(X)
"('Average household size of owner-occupied unit',)","Mesa city, Arizona",2.77,±0.07,(X),(X)
"('Average household size of owner-occupied unit',)","Miami city, Florida",2.77,±0.15,(X),(X)
"('Average household size of owner-occupied unit',)","Milwaukee city, Wisconsin",2.61,±0.08,(X),(X)
"('Average household size of owner-occupied unit',)","Minneapolis city, Minnesota",2.43,±0.07,(X),(X)
"('Average household size of owner-occupied unit',)","New Orleans city, Louisiana",2.71,±0.09,(X),(X)
"('Average household size of owner-occupied unit',)","New York city, New York",2.8,±0.02,(X),(X)
"('Average household size of owner-occupied unit',)","Newark city, New Jersey",2.9,±0.21,(X),(X)
"('Average household size of owner-occupied unit',)","Oakland city, California",2.68,±0.09,(X),(X)
"('Average household size of owner-occupied unit',)","Oklahoma City city, Oklahoma",2.69,±0.06,(X),(X)
"('Average household size of owner-occupied unit',)","Omaha city, Nebraska",2.71,±0.06,(X),(X)
"('Average household size of owner-occupied unit',)","Orlando city, Florida",2.79,±0.16,(X),(X)
"('Average household size of owner-occupied unit',)","Philadelphia city, Pennsylvania",2.6,±0.04,(X),(X)
"('Average household size of owner-occupied unit',)","Phoenix city, Arizona",2.94,±0.05,(X),(X)
"('Average household size of owner-occupied unit',)","Pittsburgh city, Pennsylvania",2.04,±0.07,(X),(X)
"('Average household size of owner-occupied unit',)","Plano city, Texas",2.83,±0.09,(X),(X)
"('Average household size of owner-occupied unit',)","Portland city, Oregon",2.53,±0.05,(X),(X)
"('Average household size of owner-occupied unit',)","Raleigh city, North Carolina",2.56,±0.09,(X),(X)
"('Average household size of owner-occupied unit',)","Riverside city, California",3.9,±0.17,(X),(X)
"('Average household size of owner-occupied unit',)","Sacramento city, California",2.75,±0.09,(X),(X)
"('Average household size of owner-occupied unit',)","San Antonio city, Texas",3.21,±0.07,(X),(X)
"('Average household size of owner-occupied unit',)","San Diego city, California",2.86,±0.06,(X),(X)
"('Average household size of owner-occupied unit',)","San Francisco city, California",2.69,±0.07,(X),(X)
"('Average household size of owner-occupied unit',)","San Jose city, California",3.16,±0.07,(X),(X)
"('Average household size of owner-occupied unit',)","Santa Ana city, California",4.1,±0.21,(X),(X)
"('Average household size of owner-occupied unit',)","Seattle city, Washington",2.4,±0.05,(X),(X)
"('Average household size of owner-occupied unit',)","St. Louis city, Missouri",2.22,±0.10,(X),(X)
"('Average household size of owner-occupied unit',)","St. Paul city, Minnesota",2.98,±0.10,(X),(X)
"('Average household size of owner-occupied unit',)","Stockton city, California",3.13,±0.15,(X),(X)
"('Average household size of owner-occupied unit',)","Tampa city, Florida",2.7,±0.09,(X),(X)
"('Average household size of owner-occupied unit',)","Tucson city, Arizona",2.53,±0.08,(X),(X)
"('Average household size of owner-occupied unit',)","Tulsa city, Oklahoma",2.57,±0.06,(X),(X)
"('Average household size of owner-occupied unit',)","Virginia Beach city, Virginia",2.61,±0.05,(X),(X)
"('Average household size of owner-occupied unit',)","Washington city, District of Columbia",2.54,±0.07,(X),(X)
"('Average household size of owner-occupied unit',)","Wichita city, Kansas",2.67,±0.08,(X),(X)
"('Average household size of renter-occupied unit',)","Albuquerque city, New Mexico",2.31,±0.10,(X),(X)
"('Average household size of renter-occupied unit',)","Anaheim city, California",3.35,±0.15,(X),(X)
"('Average household size of renter-occupied unit',)","Anchorage municipality, Alaska",2.52,±0.15,(X),(X)
"('Average household size of renter-occupied unit',)","Arlington city, Texas",2.71,±0.13,(X),(X)
"('Average household size of renter-occupied unit',)","Atlanta city, Georgia",1.97,±0.08,(X),(X)
"('Average household size of renter-occupied unit',)","Aurora city, Colorado",2.79,±0.14,(X),(X)
"('Average household size of renter-occupied unit',)","Austin city, Texas",2.18,±0.05,(X),(X)
