Metric,City,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error
"('Total housing units',)","Detroit city, Michigan","361,370","±4,254","361,370",(X)
"('Total housing units',)","Durham city, North Carolina","112,198","±1,679","112,198",(X)
"('Total housing units',)","El Paso city, Texas","246,920","±2,109","246,920",(X)
"('Total housing units',)","Fort Worth city, Texas","315,201","±4,782","315,201",(X)
"('Total housing units',)","Fresno city, California","173,504","±2,940","173,504",(X)
"('Total housing units',)","Greensboro city, North Carolina","132,438","±2,411","132,438",(X)
"('Total housing units',)","Henderson city, Nevada","126,016","±3,806","126,016",(X)
"('Total housing units',)","Houston city, Texas","946,571","±7,235","946,571",(X)
"('Total housing units',)","Indianapolis city (balance), Indiana","379,709","±2,742","379,709",(X)
"('Total housing units',)","Irvine city, California","96,305","±3,321","96,305",(X)
"('Total housing units',)","Jacksonville city, Florida","373,211","±2,074","373,211",(X)
"('Total housing units',)","Jersey City city, New Jersey","113,410","±2,680","113,410",(X)
"('Total housing units',)","Kansas City city, Missouri","226,400","±3,704","226,400",(X)
"('Total housing units',)","Las Vegas city, Nevada","257,759","±4,594","257,759",(X)
"('Total housing units',)","Lincoln city, Nebraska","115,343","±1,070","115,343",(X)
"('Total housing units',)","Long Beach city, California","177,343","±4,275","177,343",(X)
"('Total housing units',)","Los Angeles city, California","1,451,722","±8,928","1,451,722",(X)
"('Total housing units',)","Memphis city, Tennessee","299,953","±3,373","299,953",(X)
"('Total housing units',)","Mesa city, Arizona","206,232","±4,142","206,232",(X)
"('Total housing units',)","Miami city, Florida","205,585","±4,382","205,585",(X)
"('Total housing units',)","Milwaukee city, Wisconsin","257,662","±3,399","257,662",(X)
"('Total housing units',)","Minneapolis city, Minnesota","185,135","±3,372","185,135",(X)
"('Total housing units',)","New Orleans city, Louisiana","193,041",±592,"193,041",(X)
"('Total housing units',)","New York city, New York","3,447,978","±2,625","3,447,978",(X)
"('Total housing units',)","Newark city, New Jersey","117,026","±3,033","117,026",(X)
"('Total housing units',)","Oakland city, California","169,213","±3,328","169,213",(X)
"('Total housing units',)","Oklahoma City city, Oklahoma","269,610","±2,944","269,610",(X)
"('Total housing units',)","Omaha city, Nebraska","189,834","±1,542","189,834",(X)
"('Total housing units',)","Orlando city, Florida","126,666","±3,456","126,666",(X)
"('Total housing units',)","Philadelphia city, Pennsylvania","672,657","±1,409","672,657",(X)
"('Total housing units',)","Phoenix city, Arizona","599,164","±7,131","599,164",(X)
"('Total housing units',)","Pittsburgh city, Pennsylvania","152,513","±3,348","152,513",(X)
"('Total housing units',)","Plano city, Texas","111,786","±2,824","111,786",(X)
"('Total housing units',)","Portland city, Oregon","274,915","±2,625","274,915",(X)
"('Total housing units',)","Raleigh city, North Carolina","195,293","±3,545","195,293",(X)
"('Total housing units',)","Riverside city, California","100,725","±3,759","100,725",(X)
"('Total housing units',)","Sacramento city, California","191,344","±4,434","191,344",(X)
"('Total housing units',)","San Antonio city, Texas","540,247","±3,717","540,247",(X)
"('Total housing units',)","San Diego city, California","531,108","±6,243","531,108",(X)
"('Total housing units',)","San Francisco city, California","390,198","±1,218","390,198",(X)
"('Total housing units',)","San Jose city, California","334,726","±3,718","334,726",(X)
"('Total housing units',)","Santa Ana city, California","74,306","±2,465","74,306",(X)
"('Total housing units',)","Seattle city, Washington","328,358","±4,929","328,358",(X)
"('Total housing units',)","St. Louis city, Missouri","175,644",±780,"175,644",(X)
"('Total housing units',)","St. Paul city, Minnesota","121,372","±2,153","121,372",(X)
"('Total housing units',)","Stockton city, California","102,112","±2,847","102,112",(X)
"('Total housing units',)","Tampa city, Florida","162,473","±3,319","162,473",(X)
"('Total housing units',)","Tucson city, Arizona","234,491","±3,618","234,491",(X)
"('Total housing units',)","Tulsa city, Oklahoma","187,983","±1,867","187,983",(X)
"('Total housing units',)","Virginia Beach city, Virginia","183,123",±941,"183,123",(X)
"('Total housing units',)","Washington city, District of Columbia","309,596",±59,"309,596",(X)
"('Total housing units',)","Wichita city, Kansas","168,919","±1,850","168,919",(X)
"('1 room',)","Albuquerque city, New Mexico","7,782","±1,501",3.20%,±0.6
"('1 room',)","Anaheim city, California","3,619",±945,3.50%,±0.9
"('1 room',)","Anchorage municipality, Alaska","3,024",±968,2.60%,±0.8
"('1 room',)","Arlington city, Texas","3,376",±823,2.30%,±0.6
"('1 room',)","Atlanta city, Georgia","11,933","±1,960",5.00%,±0.8
"('1 room',)","Aurora city, Colorado","2,652",±765,2.00%,±0.6
"('1 room',)","Austin city, Texas","18,496","±2,417",4.70%,±0.6
"('1 room',)","Bakersfield city, California","4,035","±1,056",3.30%,±0.8
"('1 room',)","Baltimore city, Maryland","10,324","±1,681",3.50%,±0.6
"('1 room',)","Boston city, Massachusetts","18,597","±2,082",6.50%,±0.7
"('1 room',)","Charlotte city, North Carolina","5,454","±1,112",1.60%,±0.3
"('1 room',)","Chicago city, Illinois","73,581","±4,609",6.10%,±0.4
"('1 room',)","Cincinnati city, Ohio","7,594","±1,474",4.60%,±0.9
"('1 room',)","Cleveland city, Ohio","6,294","±1,278",3.00%,±0.6
"('1 room',)","Colorado Springs city, Colorado","3,473",±951,1.80%,±0.5
"('1 room',)","Columbus city, Ohio","7,150","±1,333",1.80%,±0.3
"('1 room',)","Corpus Christi city, Texas","4,701","±1,293",3.60%,±1.0
"('1 room',)","Dallas city, Texas","20,049","±2,540",3.60%,±0.5
"('1 room',)","Denver city, Colorado","14,573","±1,968",4.80%,±0.6
"('1 room',)","Detroit city, Michigan","8,629","±1,394",2.40%,±0.4
"('1 room',)","Durham city, North Carolina","3,704","±1,245",3.30%,±1.1
"('1 room',)","El Paso city, Texas","7,129","±1,438",2.90%,±0.6
"('1 room',)","Fort Worth city, Texas","7,003","±1,632",2.20%,±0.5
"('1 room',)","Fresno city, California","3,679","±1,052",2.10%,±0.6
"('1 room',)","Greensboro city, North Carolina","5,642","±1,490",4.30%,±1.1
"('1 room',)","Henderson city, Nevada","2,235",±993,1.80%,±0.8
"('1 room',)","Houston city, Texas","28,841","±3,277",3.00%,±0.3
"('1 room',)","Indianapolis city (balance), Indiana","7,689","±1,245",2.00%,±0.3
"('1 room',)","Irvine city, California","2,199",±897,2.30%,±0.9
"('1 room',)","Jacksonville city, Florida","7,624","±1,528",2.00%,±0.4
"('1 room',)","Jersey City city, New Jersey","6,805","±1,372",6.00%,±1.2
"('1 room',)","Kansas City city, Missouri","5,486","±1,188",2.40%,±0.5
"('1 room',)","Las Vegas city, Nevada","9,128","±1,230",3.50%,±0.5
"('1 room',)","Lincoln city, Nebraska","2,412",±807,2.10%,±0.7
"('1 room',)","Long Beach city, California","13,150","±1,885",7.40%,±1.0
"('1 room',)","Los Angeles city, California","137,753","±6,133",9.50%,±0.4
"('1 room',)","Memphis city, Tennessee","5,676","±1,486",1.90%,±0.5
"('1 room',)","Mesa city, Arizona","4,148","±1,070",2.00%,±0.5
"('1 room',)","Miami city, Florida","14,587","±1,955",7.10%,±0.9
"('1 room',)","Milwaukee city, Wisconsin","7,143","±1,154",2.80%,±0.4
"('1 room',)","Minneapolis city, Minnesota","13,154","±1,681",7.10%,±0.9
"('1 room',)","New Orleans city, Louisiana","5,817","±1,149",3.00%,±0.6
"('1 room',)","New York city, New York","259,610","±10,091",7.50%,±0.3
"('1 room',)","Newark city, New Jersey","5,905","±1,298",5.00%,±1.1
"('1 room',)","Oakland city, California","12,889","±1,525",7.60%,±0.9
"('1 room',)","Oklahoma City city, Oklahoma","5,988","±1,025",2.20%,±0.4
"('1 room',)","Omaha city, Nebraska","4,042",±934,2.10%,±0.5
"('1 room',)","Orlando city, Florida","4,222","±1,171",3.30%,±0.9
"('1 room',)","Philadelphia city, Pennsylvania","22,627","±2,534",3.40%,±0.4
"('1 room',)","Phoenix city, Arizona","17,715","±2,054",3.00%,±0.3
"('1 room',)","Pittsburgh city, Pennsylvania","4,996","±1,106",3.30%,±0.7
"('1 room',)","Plano city, Texas","2,451",±757,2.20%,±0.7
"('1 room',)","Portland city, Oregon","18,174","±2,352",6.60%,±0.8
"('1 room',)","Raleigh city, North Carolina","3,646","±1,162",1.90%,±0.6
"('1 room',)","Riverside city, California","2,515",±708,2.50%,±0.7
"('1 room',)","Sacramento city, California","4,873","±1,207",2.50%,±0.6
"('1 room',)","San Antonio city, Texas","14,408","±2,468",2.70%,±0.5
"('1 room',)","San Diego city, California","20,442","±2,627",3.80%,±0.5
"('1 room',)","San Francisco city, California","51,843","±4,083",13.30%,±1.0
"('1 room',)","San Jose city, California","11,959","±1,862",3.60%,±0.6
"('1 room',)","Santa Ana city, California","3,992",±844,5.40%,±1.1
"('1 room',)","Seattle city, Washington","31,086","±3,227",9.50%,±1.0
"('1 room',)","St. Louis city, Missouri","5,773","±1,187",3.30%,±0.7
"('1 room',)","St. Paul city, Minnesota","6,397","±1,276",5.30%,±1.0
"('1 room',)","Stockton city, California","2,387",±757,2.30%,±0.7
"('1 room',)","Tampa city, Florida","7,170","±1,440",4.40%,±0.9
"('1 room',)","Tucson city, Arizona","9,921","±1,678",4.20%,±0.7
"('1 room',)","Tulsa city, Oklahoma","4,841",±717,2.60%,±0.4
"('1 room',)","Virginia Beach city, Virginia","1,633",±704,0.90%,±0.4
"('1 room',)","Washington city, District of Columbia","23,220","±2,362",7.50%,±0.8
"('1 room',)","Wichita city, Kansas","4,772","±1,215",2.80%,±0.7
"('2 rooms',)","Albuquerque city, New Mexico","8,306","±1,605",3.40%,±0.7
"('2 rooms',)","Anaheim city, California","3,383",±869,3.20%,±0.8
"('2 rooms',)","Anchorage municipality, Alaska","4,949","±1,208",4.30%,±1.1
"('2 rooms',)","Arlington city, Texas","3,960","±1,125",2.70%,±0.8
"('2 rooms',)","Atlanta city, Georgia","9,597","±1,826",4.00%,±0.8
"('2 rooms',)","Aurora city, Colorado","3,919",±944,3.00%,±0.7
"('2 rooms',)","Austin city, Texas","29,652","±3,135",7.50%,±0.8
"('2 rooms',)","Bakersfield city, California","2,550",±828,2.10%,±0.7
"('2 rooms',)","Baltimore city, Maryland","7,999","±1,022",2.70%,±0.3
"('2 rooms',)","Boston city, Massachusetts","18,627","±1,854",6.50%,±0.6
"('2 rooms',)","Charlotte city, North Carolina","9,697","±1,418",2.80%,±0.4
"('2 rooms',)","Chicago city, Illinois","54,225","±3,351",4.50%,±0.3
"('2 rooms',)","Cincinnati city, Ohio","7,063","±1,153",4.30%,±0.7
"('2 rooms',)","Cleveland city, Ohio","6,750","±1,028",3.20%,±0.5
"('2 rooms',)","Colorado Springs city, Colorado","9,454","±1,607",4.90%,±0.8
"('2 rooms',)","Columbus city, Ohio","12,229","±1,652",3.20%,±0.4
"('2 rooms',)","Corpus Christi city, Texas","2,943",±843,2.20%,±0.6
"('2 rooms',)","Dallas city, Texas","36,919","±3,206",6.70%,±0.6
"('2 rooms',)","Denver city, Colorado","21,866","±2,469",7.20%,±0.8
"('2 rooms',)","Detroit city, Michigan","7,928","±1,255",2.20%,±0.3
"('2 rooms',)","Durham city, North Carolina","5,506","±1,442",4.90%,±1.3
"('2 rooms',)","El Paso city, Texas","3,887","±1,051",1.60%,±0.4
"('2 rooms',)","Fort Worth city, Texas","9,445","±1,676",3.00%,±0.5
"('2 rooms',)","Fresno city, California","4,264","±1,108",2.50%,±0.6
"('2 rooms',)","Greensboro city, North Carolina","3,207",±966,2.40%,±0.7
"('2 rooms',)","Henderson city, Nevada","3,496","±1,048",2.80%,±0.8
"('2 rooms',)","Houston city, Texas","36,741","±2,990",3.90%,±0.3
"('2 rooms',)","Indianapolis city (balance), Indiana","8,343","±1,413",2.20%,±0.4
"('2 rooms',)","Irvine city, California","6,561","±1,300",6.80%,±1.3
"('2 rooms',)","Jacksonville city, Florida","6,106","±1,214",1.60%,±0.3
"('2 rooms',)","Jersey City city, New Jersey","8,490","±1,264",7.50%,±1.1
"('2 rooms',)","Kansas City city, Missouri","6,780","±1,160",3.00%,±0.5
"('2 rooms',)","Las Vegas city, Nevada","9,388","±1,277",3.60%,±0.5
"('2 rooms',)","Lincoln city, Nebraska","4,001",±981,3.50%,±0.8
"('2 rooms',)","Long Beach city, California","10,436","±1,765",5.90%,±1.0
"('2 rooms',)","Los Angeles city, California","110,790","±4,735",7.60%,±0.3
"('2 rooms',)","Memphis city, Tennessee","2,938",±800,1.00%,±0.3
"('2 rooms',)","Mesa city, Arizona","11,170","±1,577",5.40%,±0.7
"('2 rooms',)","Miami city, Florida","18,719","±2,335",9.10%,±1.2
"('2 rooms',)","Milwaukee city, Wisconsin","6,650","±1,022",2.60%,±0.4
"('2 rooms',)","Minneapolis city, Minnesota","15,027","±1,731",8.10%,±0.9
"('2 rooms',)","New Orleans city, Louisiana","7,500","±1,058",3.90%,±0.5
"('2 rooms',)","New York city, New York","206,993","±8,076",6.00%,±0.2
"('2 rooms',)","Newark city, New Jersey","5,055","±1,155",4.30%,±1.0
"('2 rooms',)","Oakland city, California","14,305","±1,920",8.50%,±1.1
"('2 rooms',)","Oklahoma City city, Oklahoma","6,060",±997,2.20%,±0.4
"('2 rooms',)","Omaha city, Nebraska","7,495","±1,209",3.90%,±0.6
"('2 rooms',)","Orlando city, Florida","3,921",±989,3.10%,±0.8
"('2 rooms',)","Philadelphia city, Pennsylvania","25,376","±2,243",3.80%,±0.3
"('2 rooms',)","Phoenix city, Arizona","21,848","±2,103",3.60%,±0.3
"('2 rooms',)","Pittsburgh city, Pennsylvania","6,728",±992,4.40%,±0.6
"('2 rooms',)","Plano city, Texas","3,104",±794,2.80%,±0.7
"('2 rooms',)","Portland city, Oregon","16,380","±1,765",6.00%,±0.7
"('2 rooms',)","Raleigh city, North Carolina","8,512","±1,698",4.40%,±0.9
"('2 rooms',)","Riverside city, California","1,535",±513,1.50%,±0.5
"('2 rooms',)","Sacramento city, California","5,674",±966,3.00%,±0.5
"('2 rooms',)","San Antonio city, Texas","20,190","±2,959",3.70%,±0.6
"('2 rooms',)","San Diego city, California","22,212","±1,986",4.20%,±0.4
"('2 rooms',)","San Francisco city, California","35,986","±2,968",9.20%,±0.8
"('2 rooms',)","San Jose city, California","16,769","±1,982",5.00%,±0.6
"('2 rooms',)","Santa Ana city, California","2,794",±693,3.80%,±0.9
"('2 rooms',)","Seattle city, Washington","35,046","±3,873",10.70%,±1.1
"('2 rooms',)","St. Louis city, Missouri","7,559","±1,369",4.30%,±0.8
"('2 rooms',)","St. Paul city, Minnesota","5,827","±1,199",4.80%,±1.0
"('2 rooms',)","Stockton city, California","2,335",±748,2.30%,±0.7
"('2 rooms',)","Tampa city, Florida","5,206","±1,149",3.20%,±0.7
"('2 rooms',)","Tucson city, Arizona","13,534","±1,700",5.80%,±0.7
"('2 rooms',)","Tulsa city, Oklahoma","5,209",±802,2.80%,±0.4
"('2 rooms',)","Virginia Beach city, Virginia","2,112",±669,1.20%,±0.4
"('2 rooms',)","Washington city, District of Columbia","21,883","±2,280",7.10%,±0.7
"('2 rooms',)","Wichita city, Kansas","2,861",±810,1.70%,±0.5
"('3 rooms',)","Albuquerque city, New Mexico","26,049","±2,644",10.70%,±1.1
"('3 rooms',)","Anaheim city, California","16,864","±2,106",16.10%,±1.8
"('3 rooms',)","Anchorage municipality, Alaska","13,437","±1,690",11.70%,±1.5
"('3 rooms',)","Arlington city, Texas","17,164","±2,412",11.90%,±1.5
"('3 rooms',)","Atlanta city, Georgia","37,297","±2,937",15.60%,±1.1
"('3 rooms',)","Aurora city, Colorado","16,887","±1,892",12.80%,±1.4
"('3 rooms',)","Austin city, Texas","71,727","±3,891",18.00%,±1.0
"('3 rooms',)","Bakersfield city, California","6,892","±1,334",5.60%,±1.0
"('3 rooms',)","Baltimore city, Maryland","34,595","±2,709",11.60%,±0.9
"('3 rooms',)","Boston city, Massachusetts","56,419","±3,068",19.70%,±1.1
"('3 rooms',)","Charlotte city, North Carolina","37,540","±3,891",10.70%,±1.1
"('3 rooms',)","Chicago city, Illinois","153,040","±7,172",12.70%,±0.6
"('3 rooms',)","Cincinnati city, Ohio","30,827","±2,812",18.70%,±1.6
"('3 rooms',)","Cleveland city, Ohio","21,474","±2,032",10.10%,±0.9
"('3 rooms',)","Colorado Springs city, Colorado","21,587","±2,472",11.20%,±1.3
"('3 rooms',)","Columbus city, Ohio","44,828","±3,905",11.60%,±1.0
"('3 rooms',)","Corpus Christi city, Texas","16,518","±2,170",12.60%,±1.6
"('3 rooms',)","Dallas city, Texas","107,464","±4,958",19.50%,±0.8
"('3 rooms',)","Denver city, Colorado","49,729","±3,145",16.40%,±1.0
"('3 rooms',)","Detroit city, Michigan","30,501","±2,255",8.40%,±0.6
"('3 rooms',)","Durham city, North Carolina","15,736","±2,078",14.00%,±1.8
"('3 rooms',)","El Paso city, Texas","22,446","±2,556",9.10%,±1.0
"('3 rooms',)","Fort Worth city, Texas","37,321","±3,583",11.80%,±1.1
"('3 rooms',)","Fresno city, California","17,408","±2,133",10.00%,±1.2
"('3 rooms',)","Greensboro city, North Carolina","12,021","±1,789",9.10%,±1.3
"('3 rooms',)","Henderson city, Nevada","9,637","±1,618",7.60%,±1.3
"('3 rooms',)","Houston city, Texas","182,396","±6,904",19.30%,±0.7
"('3 rooms',)","Indianapolis city (balance), Indiana","37,323","±3,164",9.80%,±0.8
"('3 rooms',)","Irvine city, California","15,492","±2,676",16.10%,±2.6
"('3 rooms',)","Jacksonville city, Florida","33,254","±3,291",8.90%,±0.9
"('3 rooms',)","Jersey City city, New Jersey","24,352","±2,384",21.50%,±2.0
"('3 rooms',)","Kansas City city, Missouri","20,161","±1,803",8.90%,±0.8
"('3 rooms',)","Las Vegas city, Nevada","27,277","±2,208",10.60%,±0.8
"('3 rooms',)","Lincoln city, Nebraska","14,103","±1,789",12.20%,±1.6
"('3 rooms',)","Long Beach city, California","38,004","±2,915",21.40%,±1.6
"('3 rooms',)","Los Angeles city, California","277,761","±7,164",19.10%,±0.5
"('3 rooms',)","Memphis city, Tennessee","27,329","±2,799",9.10%,±0.9
"('3 rooms',)","Mesa city, Arizona","29,599","±2,875",14.40%,±1.3
"('3 rooms',)","Miami city, Florida","59,656","±4,046",29.00%,±1.8
"('3 rooms',)","Milwaukee city, Wisconsin","30,567","±2,528",11.90%,±1.0
"('3 rooms',)","Minneapolis city, Minnesota","29,595","±2,884",16.00%,±1.5
"('3 rooms',)","New Orleans city, Louisiana","24,859","±1,973",12.90%,±1.0
"('3 rooms',)","New York city, New York","864,196","±13,208",25.10%,±0.4
"('3 rooms',)","Newark city, New Jersey","23,349","±2,769",20.00%,±2.2
"('3 rooms',)","Oakland city, California","26,725","±2,317",15.80%,±1.3
"('3 rooms',)","Oklahoma City city, Oklahoma","26,107","±2,884",9.70%,±1.1
"('3 rooms',)","Omaha city, Nebraska","21,818","±1,949",11.50%,±1.0
"('3 rooms',)","Orlando city, Florida","21,793","±2,824",17.20%,±2.0
"('3 rooms',)","Philadelphia city, Pennsylvania","79,781","±4,113",11.90%,±0.6
"('3 rooms',)","Phoenix city, Arizona","86,176","±4,403",14.40%,±0.7
"('3 rooms',)","Pittsburgh city, Pennsylvania","20,440","±2,250",13.40%,±1.4
"('3 rooms',)","Plano city, Texas","11,602","±1,710",10.40%,±1.5
"('3 rooms',)","Portland city, Oregon","32,308","±2,881",11.80%,±1.0
"('3 rooms',)","Raleigh city, North Carolina","20,336","±2,580",10.40%,±1.3
"('3 rooms',)","Riverside city, California","13,104","±1,899",13.00%,±1.8
"('3 rooms',)","Sacramento city, California","24,329","±2,106",12.70%,±1.0
"('3 rooms',)","San Antonio city, Texas","66,643","±4,603",12.30%,±0.8
"('3 rooms',)","San Diego city, California","92,005","±5,049",17.30%,±0.9
"('3 rooms',)","San Francisco city, California","69,830","±4,166",17.90%,±1.1
"('3 rooms',)","San Jose city, California","39,568","±3,214",11.80%,±1.0
"('3 rooms',)","Santa Ana city, California","11,627","±1,575",15.60%,±1.9
"('3 rooms',)","Seattle city, Washington","53,404","±3,848",16.30%,±1.2
"('3 rooms',)","St. Louis city, Missouri","30,695","±2,591",17.50%,±1.5
"('3 rooms',)","St. Paul city, Minnesota","16,257","±1,821",13.40%,±1.5
"('3 rooms',)","Stockton city, California","10,215","±1,415",10.00%,±1.3
"('3 rooms',)","Tampa city, Florida","20,419","±2,299",12.60%,±1.4
"('3 rooms',)","Tucson city, Arizona","38,040","±3,710",16.20%,±1.5
"('3 rooms',)","Tulsa city, Oklahoma","22,361","±1,538",11.90%,±0.8
"('3 rooms',)","Virginia Beach city, Virginia","11,689","±2,040",6.40%,±1.1
"('3 rooms',)","Washington city, District of Columbia","64,092","±3,742",20.70%,±1.2
"('3 rooms',)","Wichita city, Kansas","16,956","±1,939",10.00%,±1.1
"('4 rooms',)","Albuquerque city, New Mexico","38,748","±3,038",15.90%,±1.2
"('4 rooms',)","Anaheim city, California","26,894","±2,274",25.70%,±2.0
"('4 rooms',)","Anchorage municipality, Alaska","21,848","±2,477",19.00%,±2.2
"('4 rooms',)","Arlington city, Texas","23,382","±2,361",16.20%,±1.6
"('4 rooms',)","Atlanta city, Georgia","49,096","±3,229",20.50%,±1.3
"('4 rooms',)","Aurora city, Colorado","25,017","±2,670",18.90%,±1.9
"('4 rooms',)","Austin city, Texas","80,933","±4,347",20.40%,±1.1
"('4 rooms',)","Bakersfield city, California","21,166","±2,362",17.10%,±1.8
"('4 rooms',)","Baltimore city, Maryland","45,518","±3,322",15.30%,±1.1
"('4 rooms',)","Boston city, Massachusetts","60,342","±3,366",21.10%,±1.2
"('4 rooms',)","Charlotte city, North Carolina","60,154","±3,565",17.20%,±1.0
"('4 rooms',)","Chicago city, Illinois","237,595","±7,843",19.80%,±0.6
"('4 rooms',)","Cincinnati city, Ohio","35,372","±2,945",21.50%,±1.6
"('4 rooms',)","Cleveland city, Ohio","30,979","±2,457",14.60%,±1.1
"('4 rooms',)","Colorado Springs city, Colorado","29,142","±2,544",15.10%,±1.3
"('4 rooms',)","Columbus city, Ohio","79,133","±4,326",20.50%,±1.1
"('4 rooms',)","Corpus Christi city, Texas","27,131","±2,866",20.70%,±2.2
"('4 rooms',)","Dallas city, Texas","109,800","±4,590",20.00%,±0.8
"('4 rooms',)","Denver city, Colorado","58,266","±3,759",19.20%,±1.2
"('4 rooms',)","Detroit city, Michigan","40,046","±2,158",11.10%,±0.6
"('4 rooms',)","Durham city, North Carolina","17,744","±2,282",15.80%,±2.0
"('4 rooms',)","El Paso city, Texas","44,409","±3,821",18.00%,±1.5
"('4 rooms',)","Fort Worth city, Texas","55,207","±4,114",17.50%,±1.2
"('4 rooms',)","Fresno city, California","42,985","±2,689",24.80%,±1.6
"('4 rooms',)","Greensboro city, North Carolina","27,004","±3,210",20.40%,±2.4
"('4 rooms',)","Henderson city, Nevada","20,408","±2,210",16.20%,±1.7
"('4 rooms',)","Houston city, Texas","193,532","±7,542",20.40%,±0.8
"('4 rooms',)","Indianapolis city (balance), Indiana","64,420","±3,935",17.00%,±1.0
"('4 rooms',)","Irvine city, California","21,633","±2,994",22.50%,±3.0
"('4 rooms',)","Jacksonville city, Florida","61,084","±4,044",16.40%,±1.1
"('4 rooms',)","Jersey City city, New Jersey","31,507","±2,758",27.80%,±2.3
"('4 rooms',)","Kansas City city, Missouri","34,004","±3,136",15.00%,±1.3
"('4 rooms',)","Las Vegas city, Nevada","48,898","±3,090",19.00%,±1.1
"('4 rooms',)","Lincoln city, Nebraska","17,971","±2,044",15.60%,±1.8
"('4 rooms',)","Long Beach city, California","42,207","±2,825",23.80%,±1.5
"('4 rooms',)","Los Angeles city, California","317,824","±8,267",21.90%,±0.6
"('4 rooms',)","Memphis city, Tennessee","67,559","±3,532",22.50%,±1.1
"('4 rooms',)","Mesa city, Arizona","42,337","±3,270",20.50%,±1.5
"('4 rooms',)","Miami city, Florida","46,961","±2,973",22.80%,±1.4
"('4 rooms',)","Milwaukee city, Wisconsin","56,084","±3,060",21.80%,±1.1
"('4 rooms',)","Minneapolis city, Minnesota","27,918","±2,128",15.10%,±1.2
"('4 rooms',)","New Orleans city, Louisiana","38,680","±2,205",20.00%,±1.1
"('4 rooms',)","New York city, New York","899,213","±14,738",26.10%,±0.4
"('4 rooms',)","Newark city, New Jersey","26,196","±2,181",22.40%,±1.9
"('4 rooms',)","Oakland city, California","37,735","±2,630",22.30%,±1.5
"('4 rooms',)","Oklahoma City city, Oklahoma","48,810","±3,746",18.10%,±1.3
"('4 rooms',)","Omaha city, Nebraska","26,131","±2,254",13.80%,±1.2
"('4 rooms',)","Orlando city, Florida","28,503","±2,589",22.50%,±2.0
"('4 rooms',)","Philadelphia city, Pennsylvania","96,251","±4,817",14.30%,±0.7
"('4 rooms',)","Phoenix city, Arizona","106,123","±5,722",17.70%,±0.9
"('4 rooms',)","Pittsburgh city, Pennsylvania","25,066","±2,170",16.40%,±1.3
"('4 rooms',)","Plano city, Texas","11,964","±1,774",10.70%,±1.6
"('4 rooms',)","Portland city, Oregon","47,798","±3,341",17.40%,±1.2
"('4 rooms',)","Raleigh city, North Carolina","36,305","±2,987",18.60%,±1.5
"('4 rooms',)","Riverside city, California","19,453","±2,223",19.30%,±2.1
"('4 rooms',)","Sacramento city, California","38,212","±2,875",20.00%,±1.5
"('4 rooms',)","San Antonio city, Texas","93,288","±5,348",17.30%,±1.0
"('4 rooms',)","San Diego city, California","121,379","±4,818",22.90%,±0.9
"('4 rooms',)","San Francisco city, California","73,032","±3,895",18.70%,±1.0
"('4 rooms',)","San Jose city, California","60,373","±3,248",18.00%,±1.0
"('4 rooms',)","Santa Ana city, California","18,626","±1,878",25.10%,±2.4
"('4 rooms',)","Seattle city, Washington","54,081","±3,369",16.50%,±0.9
"('4 rooms',)","St. Louis city, Missouri","38,688","±2,386",22.00%,±1.3
"('4 rooms',)","St. Paul city, Minnesota","22,199","±2,098",18.30%,±1.7
"('4 rooms',)","Stockton city, California","19,552","±2,233",19.10%,±2.1
"('4 rooms',)","Tampa city, Florida","35,867","±3,003",22.10%,±1.7
"('4 rooms',)","Tucson city, Arizona","50,831","±3,588",21.70%,±1.5
"('4 rooms',)","Tulsa city, Oklahoma","32,000","±1,882",17.00%,±1.0
"('4 rooms',)","Virginia Beach city, Virginia","30,480","±2,271",16.60%,±1.2
"('4 rooms',)","Washington city, District of Columbia","58,436","±3,410",18.90%,±1.1
"('4 rooms',)","Wichita city, Kansas","25,262","±1,869",15.00%,±1.1
"('5 rooms',)","Albuquerque city, New Mexico","52,288","±3,342",21.50%,±1.3
"('5 rooms',)","Anaheim city, California","18,282","±1,876",17.50%,±1.7
"('5 rooms',)","Anchorage municipality, Alaska","22,813","±2,391",19.90%,±2.1
"('5 rooms',)","Arlington city, Texas","30,663","±2,686",21.30%,±1.8
"('5 rooms',)","Atlanta city, Georgia","45,645","±3,231",19.10%,±1.3
"('5 rooms',)","Aurora city, Colorado","21,031","±1,726",15.90%,±1.4
"('5 rooms',)","Austin city, Texas","67,203","±3,766",16.90%,±0.9
"('5 rooms',)","Bakersfield city, California","33,525","±3,037",27.10%,±2.4
"('5 rooms',)","Baltimore city, Maryland","45,731","±3,191",15.40%,±1.1
"('5 rooms',)","Boston city, Massachusetts","58,553","±3,435",20.50%,±1.2
"('5 rooms',)","Charlotte city, North Carolina","69,568","±3,876",19.90%,±1.1
"('5 rooms',)","Chicago city, Illinois","271,842","±7,524",22.60%,±0.6
"('5 rooms',)","Cincinnati city, Ohio","27,314","±2,100",16.60%,±1.3
"('5 rooms',)","Cleveland city, Ohio","53,375","±2,958",25.20%,±1.2
"('5 rooms',)","Colorado Springs city, Colorado","22,022","±2,365",11.40%,±1.2
"('5 rooms',)","Columbus city, Ohio","83,399","±4,156",21.60%,±1.0
"('5 rooms',)","Corpus Christi city, Texas","34,713","±2,684",26.50%,±2.1
