Metric,City,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error
"('6 rooms',)","Denver city, Colorado","32,392","±2,872",11.30%,±1.0
"('6 rooms',)","Detroit city, Michigan","95,070","±3,936",26.30%,±1.1
"('6 rooms',)","Durham city, North Carolina","16,583","±2,242",15.80%,±2.1
"('6 rooms',)","El Paso city, Texas","51,616","±3,587",22.10%,±1.5
"('6 rooms',)","Fort Worth city, Texas","55,310","±3,713",18.60%,±1.2
"('6 rooms',)","Fresno city, California","35,544","±2,898",21.00%,±1.6
"('6 rooms',)","Greensboro city, North Carolina","20,819","±2,246",16.50%,±1.8
"('6 rooms',)","Henderson city, Nevada","20,505","±2,537",18.20%,±2.2
"('6 rooms',)","Houston city, Texas","142,476","±6,455",15.70%,±0.7
"('6 rooms',)","Indianapolis city (balance), Indiana","71,742","±4,677",18.90%,±1.2
"('6 rooms',)","Irvine city, California","11,949","±2,077",15.10%,±2.6
"('6 rooms',)","Jacksonville city, Florida","74,931","±4,976",20.40%,±1.3
"('6 rooms',)","Jersey City city, New Jersey","11,915","±1,555",10.80%,±1.4
"('6 rooms',)","Kansas City city, Missouri","41,160","±2,499",18.10%,±1.1
"('6 rooms',)","Las Vegas city, Nevada","47,008","±4,353",19.00%,±1.7
"('6 rooms',)","Lincoln city, Nebraska","15,308","±1,895",13.80%,±1.7
"('6 rooms',)","Long Beach city, California","25,149","±2,115",14.40%,±1.2
"('6 rooms',)","Los Angeles city, California","171,667","±6,493",12.10%,±0.5
"('6 rooms',)","Memphis city, Tennessee","55,724","±3,587",18.90%,±1.2
"('6 rooms',)","Mesa city, Arizona","32,169","±2,956",16.50%,±1.5
"('6 rooms',)","Miami city, Florida","11,681","±1,534",6.10%,±0.8
"('6 rooms',)","Milwaukee city, Wisconsin","42,537","±2,630",16.20%,±1.0
"('6 rooms',)","Minneapolis city, Minnesota","26,408","±1,908",14.60%,±1.1
"('6 rooms',)","New Orleans city, Louisiana","28,183","±2,002",14.50%,±1.0
"('6 rooms',)","New York city, New York","318,259","±7,477",9.40%,±0.2
"('6 rooms',)","Newark city, New Jersey","12,025","±1,484",11.10%,±1.4
"('6 rooms',)","Oakland city, California","24,191","±2,302",13.80%,±1.3
"('6 rooms',)","Oklahoma City city, Oklahoma","50,707","±3,780",19.90%,±1.5
"('6 rooms',)","Omaha city, Nebraska","29,383","±2,259",16.30%,±1.2
"('6 rooms',)","Orlando city, Florida","19,115","±2,204",16.30%,±1.8
"('6 rooms',)","Philadelphia city, Pennsylvania","192,153","±6,223",28.70%,±0.9
"('6 rooms',)","Phoenix city, Arizona","105,579","±5,468",17.50%,±0.9
"('6 rooms',)","Pittsburgh city, Pennsylvania","33,198","±2,569",21.10%,±1.5
"('6 rooms',)","Plano city, Texas","11,247","±1,528",10.50%,±1.4
"('6 rooms',)","Portland city, Oregon","41,450","±2,317",15.60%,±0.9
"('6 rooms',)","Raleigh city, North Carolina","26,065","±3,592",14.70%,±2.0
"('6 rooms',)","Riverside city, California","16,199","±2,116",16.70%,±2.1
"('6 rooms',)","Sacramento city, California","37,126","±3,231",19.60%,±1.6
"('6 rooms',)","San Antonio city, Texas","93,219","±5,118",17.50%,±0.9
"('6 rooms',)","San Diego city, California","72,187","±3,699",14.00%,±0.7
"('6 rooms',)","San Francisco city, California","45,504","±3,488",12.00%,±0.9
"('6 rooms',)","San Jose city, California","58,880","±3,348",18.40%,±1.0
"('6 rooms',)","Santa Ana city, California","11,569","±1,372",15.10%,±1.9
"('6 rooms',)","Seattle city, Washington","32,994","±2,901",10.80%,±0.9
"('6 rooms',)","St. Louis city, Missouri","27,680","±2,650",15.80%,±1.5
"('6 rooms',)","St. Paul city, Minnesota","14,879","±1,522",12.20%,±1.3
"('6 rooms',)","Stockton city, California","19,654","±1,992",19.70%,±1.9
"('6 rooms',)","Tampa city, Florida","24,777","±2,637",15.40%,±1.6
"('6 rooms',)","Tucson city, Arizona","37,627","±3,102",16.20%,±1.4
"('6 rooms',)","Tulsa city, Oklahoma","38,906","±2,548",20.80%,±1.3
"('6 rooms',)","Virginia Beach city, Virginia","32,186","±2,877",18.00%,±1.6
"('6 rooms',)","Washington city, District of Columbia","32,438","±2,180",10.90%,±0.7
"('6 rooms',)","Wichita city, Kansas","28,237","±2,389",16.90%,±1.4
"('7 rooms',)","Albuquerque city, New Mexico","31,053","±2,694",12.90%,±1.1
"('7 rooms',)","Anaheim city, California","9,905","±1,658",9.50%,±1.6
"('7 rooms',)","Anchorage municipality, Alaska","12,980","±1,683",11.40%,±1.5
"('7 rooms',)","Arlington city, Texas","17,688","±2,877",12.10%,±1.9
"('7 rooms',)","Atlanta city, Georgia","17,667","±2,124",8.00%,±0.9
"('7 rooms',)","Aurora city, Colorado","15,467","±1,771",12.00%,±1.4
"('7 rooms',)","Austin city, Texas","29,077","±3,095",8.10%,±0.9
"('7 rooms',)","Bakersfield city, California","14,223","±1,966",12.10%,±1.6
"('7 rooms',)","Baltimore city, Maryland","39,774","±2,749",13.40%,±0.9
"('7 rooms',)","Boston city, Massachusetts","15,279","±1,702",5.60%,±0.6
"('7 rooms',)","Charlotte city, North Carolina","39,358","±3,672",12.10%,±1.2
"('7 rooms',)","Chicago city, Illinois","88,215","±4,468",7.40%,±0.4
"('7 rooms',)","Cincinnati city, Ohio","14,163","±1,803",8.50%,±1.0
"('7 rooms',)","Cleveland city, Ohio","23,672","±1,807",10.80%,±0.8
"('7 rooms',)","Colorado Springs city, Colorado","20,704","±2,288",11.60%,±1.3
"('7 rooms',)","Columbus city, Ohio","39,140","±3,095",10.50%,±0.8
"('7 rooms',)","Corpus Christi city, Texas","12,834","±2,129",10.10%,±1.7
"('7 rooms',)","Dallas city, Texas","40,629","±2,911",7.90%,±0.6
"('7 rooms',)","Denver city, Colorado","21,838","±2,126",7.60%,±0.7
"('7 rooms',)","Detroit city, Michigan","48,424","±3,017",13.40%,±0.8
"('7 rooms',)","Durham city, North Carolina","11,309","±1,937",10.80%,±1.8
"('7 rooms',)","El Paso city, Texas","31,189","±2,783",13.40%,±1.2
"('7 rooms',)","Fort Worth city, Texas","34,592","±4,032",11.60%,±1.3
"('7 rooms',)","Fresno city, California","16,009","±1,836",9.50%,±1.1
"('7 rooms',)","Greensboro city, North Carolina","14,915","±1,957",11.80%,±1.5
"('7 rooms',)","Henderson city, Nevada","14,599","±2,431",12.90%,±2.1
"('7 rooms',)","Houston city, Texas","73,625","±4,918",8.10%,±0.5
"('7 rooms',)","Indianapolis city (balance), Indiana","48,708","±3,869",12.80%,±1.0
"('7 rooms',)","Irvine city, California","9,437","±1,899",11.90%,±2.4
"('7 rooms',)","Jacksonville city, Florida","41,632","±3,371",11.30%,±0.9
"('7 rooms',)","Jersey City city, New Jersey","2,864",±798,2.60%,±0.7
"('7 rooms',)","Kansas City city, Missouri","30,227","±2,253",13.30%,±1.0
"('7 rooms',)","Las Vegas city, Nevada","29,552","±3,225",11.90%,±1.3
"('7 rooms',)","Lincoln city, Nebraska","11,941","±1,447",10.80%,±1.3
"('7 rooms',)","Long Beach city, California","10,611","±1,483",6.10%,±0.8
"('7 rooms',)","Los Angeles city, California","94,683","±4,609",6.70%,±0.3
"('7 rooms',)","Memphis city, Tennessee","33,152","±2,724",11.30%,±0.9
"('7 rooms',)","Mesa city, Arizona","22,694","±2,432",11.60%,±1.2
"('7 rooms',)","Miami city, Florida","12,468","±2,114",6.50%,±1.1
"('7 rooms',)","Milwaukee city, Wisconsin","19,068","±1,723",7.30%,±0.7
"('7 rooms',)","Minneapolis city, Minnesota","18,516","±1,553",10.20%,±0.8
"('7 rooms',)","New Orleans city, Louisiana","18,850","±1,825",9.70%,±0.9
"('7 rooms',)","New York city, New York","137,800","±5,464",4.10%,±0.2
"('7 rooms',)","Newark city, New Jersey","3,978",±900,3.70%,±0.8
"('7 rooms',)","Oakland city, California","14,223","±1,882",8.10%,±1.1
"('7 rooms',)","Oklahoma City city, Oklahoma","30,921","±2,755",12.10%,±1.1
"('7 rooms',)","Omaha city, Nebraska","19,612","±1,624",10.90%,±0.9
"('7 rooms',)","Orlando city, Florida","9,238","±2,045",7.90%,±1.8
"('7 rooms',)","Philadelphia city, Pennsylvania","87,111","±4,356",13.00%,±0.6
"('7 rooms',)","Phoenix city, Arizona","63,425","±3,989",10.50%,±0.6
"('7 rooms',)","Pittsburgh city, Pennsylvania","17,761","±1,953",11.30%,±1.2
"('7 rooms',)","Plano city, Texas","13,621","±1,402",12.70%,±1.3
"('7 rooms',)","Portland city, Oregon","25,681","±1,560",9.70%,±0.6
"('7 rooms',)","Raleigh city, North Carolina","21,292","±3,040",12.00%,±1.6
"('7 rooms',)","Riverside city, California","10,973","±1,777",11.30%,±1.8
"('7 rooms',)","Sacramento city, California","20,973","±2,339",11.10%,±1.2
"('7 rooms',)","San Antonio city, Texas","58,141","±3,863",10.90%,±0.7
"('7 rooms',)","San Diego city, California","45,648","±2,789",8.90%,±0.5
"('7 rooms',)","San Francisco city, California","24,187","±2,617",6.40%,±0.7
"('7 rooms',)","San Jose city, California","39,663","±2,290",12.40%,±0.7
"('7 rooms',)","Santa Ana city, California","5,323",±967,6.90%,±1.2
"('7 rooms',)","Seattle city, Washington","26,463","±2,581",8.70%,±0.9
"('7 rooms',)","St. Louis city, Missouri","13,038","±1,654",7.40%,±0.9
"('7 rooms',)","St. Paul city, Minnesota","14,731","±1,657",12.10%,±1.4
"('7 rooms',)","Stockton city, California","12,284","±1,929",12.30%,±1.9
"('7 rooms',)","Tampa city, Florida","14,255","±1,839",8.90%,±1.1
"('7 rooms',)","Tucson city, Arizona","20,142","±3,062",8.70%,±1.3
"('7 rooms',)","Tulsa city, Oklahoma","20,946","±1,816",11.20%,±1.0
"('7 rooms',)","Virginia Beach city, Virginia","28,256","±2,873",15.80%,±1.6
"('7 rooms',)","Washington city, District of Columbia","21,559","±2,079",7.20%,±0.7
"('7 rooms',)","Wichita city, Kansas","19,309","±1,921",11.60%,±1.1
"('8 rooms',)","Albuquerque city, New Mexico","17,847","±2,442",7.40%,±1.0
"('8 rooms',)","Anaheim city, California","5,633",±972,5.40%,±0.9
"('8 rooms',)","Anchorage municipality, Alaska","9,013","±1,603",7.90%,±1.4
"('8 rooms',)","Arlington city, Texas","12,625","±1,672",8.70%,±1.2
"('8 rooms',)","Atlanta city, Georgia","10,723","±1,772",4.80%,±0.8
"('8 rooms',)","Aurora city, Colorado","11,775","±1,700",9.20%,±1.3
"('8 rooms',)","Austin city, Texas","18,450","±2,115",5.10%,±0.6
"('8 rooms',)","Bakersfield city, California","9,017","±1,307",7.70%,±1.1
"('8 rooms',)","Baltimore city, Maryland","18,960","±2,042",6.40%,±0.7
"('8 rooms',)","Boston city, Massachusetts","8,519","±1,466",3.10%,±0.5
"('8 rooms',)","Charlotte city, North Carolina","27,207","±3,176",8.40%,±1.0
"('8 rooms',)","Chicago city, Illinois","45,459","±3,043",3.80%,±0.3
"('8 rooms',)","Cincinnati city, Ohio","8,069","±1,464",4.80%,±0.9
"('8 rooms',)","Cleveland city, Ohio","14,880","±1,621",6.80%,±0.7
"('8 rooms',)","Colorado Springs city, Colorado","18,589","±1,951",10.40%,±1.1
"('8 rooms',)","Columbus city, Ohio","26,687","±2,562",7.10%,±0.7
"('8 rooms',)","Corpus Christi city, Texas","5,394","±1,011",4.30%,±0.8
"('8 rooms',)","Dallas city, Texas","26,762","±2,551",5.20%,±0.5
"('8 rooms',)","Denver city, Colorado","19,436","±2,462",6.80%,±0.9
"('8 rooms',)","Detroit city, Michigan","25,801","±2,156",7.10%,±0.6
"('8 rooms',)","Durham city, North Carolina","5,946","±1,384",5.70%,±1.3
"('8 rooms',)","El Paso city, Texas","18,999","±2,487",8.10%,±1.1
"('8 rooms',)","Fort Worth city, Texas","21,509","±3,407",7.20%,±1.1
"('8 rooms',)","Fresno city, California","7,598","±1,242",4.50%,±0.7
"('8 rooms',)","Greensboro city, North Carolina","9,739","±1,763",7.70%,±1.4
"('8 rooms',)","Henderson city, Nevada","10,097","±1,932",8.90%,±1.7
"('8 rooms',)","Houston city, Texas","42,582","±3,582",4.70%,±0.4
"('8 rooms',)","Indianapolis city (balance), Indiana","27,116","±2,805",7.10%,±0.7
"('8 rooms',)","Irvine city, California","6,422","±1,621",8.10%,±2.1
"('8 rooms',)","Jacksonville city, Florida","31,309","±2,571",8.50%,±0.7
"('8 rooms',)","Jersey City city, New Jersey","2,530",±713,2.30%,±0.6
"('8 rooms',)","Kansas City city, Missouri","18,317","±1,981",8.10%,±0.9
"('8 rooms',)","Las Vegas city, Nevada","16,492","±2,438",6.70%,±1.0
"('8 rooms',)","Lincoln city, Nebraska","10,082","±1,435",9.10%,±1.3
"('8 rooms',)","Long Beach city, California","5,239","±1,041",3.00%,±0.6
"('8 rooms',)","Los Angeles city, California","52,973","±2,910",3.70%,±0.2
"('8 rooms',)","Memphis city, Tennessee","20,812","±2,086",7.10%,±0.7
"('8 rooms',)","Mesa city, Arizona","12,603","±1,810",6.50%,±0.9
"('8 rooms',)","Miami city, Florida","2,739",±776,1.40%,±0.4
"('8 rooms',)","Milwaukee city, Wisconsin","9,632","±1,248",3.70%,±0.5
"('8 rooms',)","Minneapolis city, Minnesota","12,236","±1,490",6.70%,±0.8
"('8 rooms',)","New Orleans city, Louisiana","11,497","±1,180",5.90%,±0.6
"('8 rooms',)","New York city, New York","74,811","±4,033",2.20%,±0.1
"('8 rooms',)","Newark city, New Jersey","2,897",±769,2.70%,±0.7
"('8 rooms',)","Oakland city, California","8,648","±1,330",4.90%,±0.7
"('8 rooms',)","Oklahoma City city, Oklahoma","15,037","±1,670",5.90%,±0.6
"('8 rooms',)","Omaha city, Nebraska","17,145","±1,527",9.50%,±0.8
"('8 rooms',)","Orlando city, Florida","5,121","±1,151",4.40%,±1.0
"('8 rooms',)","Philadelphia city, Pennsylvania","39,102","±3,035",5.80%,±0.5
"('8 rooms',)","Phoenix city, Arizona","40,613","±3,482",6.70%,±0.6
"('8 rooms',)","Pittsburgh city, Pennsylvania","10,720","±1,211",6.80%,±0.8
"('8 rooms',)","Plano city, Texas","17,212","±2,214",16.10%,±2.0
"('8 rooms',)","Portland city, Oregon","16,536","±1,666",6.20%,±0.6
"('8 rooms',)","Raleigh city, North Carolina","11,366","±1,719",6.40%,±1.0
"('8 rooms',)","Riverside city, California","8,117","±1,773",8.40%,±1.8
"('8 rooms',)","Sacramento city, California","8,112","±1,424",4.30%,±0.7
"('8 rooms',)","San Antonio city, Texas","34,966","±3,038",6.60%,±0.6
"('8 rooms',)","San Diego city, California","25,260","±2,754",4.90%,±0.5
"('8 rooms',)","San Francisco city, California","13,480","±1,938",3.60%,±0.5
"('8 rooms',)","San Jose city, California","24,052","±2,082",7.50%,±0.7
"('8 rooms',)","Santa Ana city, California","3,202",±878,4.20%,±1.1
"('8 rooms',)","Seattle city, Washington","16,945","±1,683",5.50%,±0.6
"('8 rooms',)","St. Louis city, Missouri","8,129","±1,324",4.60%,±0.8
"('8 rooms',)","St. Paul city, Minnesota","9,165","±1,466",7.50%,±1.2
"('8 rooms',)","Stockton city, California","6,191","±1,305",6.20%,±1.3
"('8 rooms',)","Tampa city, Florida","8,406","±1,143",5.20%,±0.7
"('8 rooms',)","Tucson city, Arizona","10,570","±1,759",4.60%,±0.7
"('8 rooms',)","Tulsa city, Oklahoma","12,075","±1,411",6.40%,±0.8
"('8 rooms',)","Virginia Beach city, Virginia","26,946","±2,535",15.00%,±1.4
"('8 rooms',)","Washington city, District of Columbia","14,475","±1,600",4.80%,±0.5
"('8 rooms',)","Wichita city, Kansas","13,854","±1,687",8.30%,±1.0
"('9 rooms or more',)","Albuquerque city, New Mexico","15,857","±1,610",6.60%,±0.7
"('9 rooms or more',)","Anaheim city, California","4,437",±929,4.30%,±0.9
"('9 rooms or more',)","Anchorage municipality, Alaska","10,630","±1,486",9.40%,±1.3
"('9 rooms or more',)","Arlington city, Texas","11,655","±1,650",8.00%,±1.2
"('9 rooms or more',)","Atlanta city, Georgia","16,921","±1,620",7.60%,±0.7
"('9 rooms or more',)","Aurora city, Colorado","14,274","±1,727",11.10%,±1.3
"('9 rooms or more',)","Austin city, Texas","22,406","±2,425",6.20%,±0.7
"('9 rooms or more',)","Bakersfield city, California","7,267","±1,504",6.20%,±1.3
"('9 rooms or more',)","Baltimore city, Maryland","20,614","±1,820",7.00%,±0.6
"('9 rooms or more',)","Boston city, Massachusetts","12,215","±1,617",4.50%,±0.6
"('9 rooms or more',)","Charlotte city, North Carolina","39,228","±2,398",12.10%,±0.8
"('9 rooms or more',)","Chicago city, Illinois","58,516","±3,576",4.90%,±0.3
"('9 rooms or more',)","Cincinnati city, Ohio","10,758","±1,193",6.40%,±0.7
"('9 rooms or more',)","Cleveland city, Ohio","13,112","±1,221",6.00%,±0.6
"('9 rooms or more',)","Colorado Springs city, Colorado","32,605","±2,821",18.20%,±1.5
"('9 rooms or more',)","Columbus city, Ohio","17,392","±2,108",4.70%,±0.6
"('9 rooms or more',)","Corpus Christi city, Texas","5,527","±1,272",4.40%,±1.0
"('9 rooms or more',)","Dallas city, Texas","30,028","±2,555",5.80%,±0.5
"('9 rooms or more',)","Denver city, Colorado","31,010","±2,343",10.80%,±0.8
"('9 rooms or more',)","Detroit city, Michigan","24,781","±1,961",6.90%,±0.5
"('9 rooms or more',)","Durham city, North Carolina","10,042","±1,688",9.60%,±1.6
"('9 rooms or more',)","El Paso city, Texas","12,619","±1,605",5.40%,±0.7
"('9 rooms or more',)","Fort Worth city, Texas","21,332","±2,949",7.20%,±1.0
"('9 rooms or more',)","Fresno city, California","6,579","±1,107",3.90%,±0.7
"('9 rooms or more',)","Greensboro city, North Carolina","10,233","±1,638",8.10%,±1.3
"('9 rooms or more',)","Henderson city, Nevada","11,742","±2,280",10.40%,±1.9
"('9 rooms or more',)","Houston city, Texas","50,566","±3,251",5.60%,±0.4
"('9 rooms or more',)","Indianapolis city (balance), Indiana","31,567","±2,613",8.30%,±0.7
"('9 rooms or more',)","Irvine city, California","3,987",±876,5.00%,±1.1
"('9 rooms or more',)","Jacksonville city, Florida","24,928","±2,664",6.80%,±0.7
"('9 rooms or more',)","Jersey City city, New Jersey","3,915",±804,3.50%,±0.7
"('9 rooms or more',)","Kansas City city, Missouri","20,406","±2,024",9.00%,±0.9
"('9 rooms or more',)","Las Vegas city, Nevada","12,391","±2,114",5.00%,±0.9
"('9 rooms or more',)","Lincoln city, Nebraska","18,159","±1,447",16.40%,±1.3
"('9 rooms or more',)","Long Beach city, California","4,781",±892,2.70%,±0.5
"('9 rooms or more',)","Los Angeles city, California","54,990","±3,965",3.90%,±0.3
"('9 rooms or more',)","Memphis city, Tennessee","19,111","±1,902",6.50%,±0.6
"('9 rooms or more',)","Mesa city, Arizona","14,761","±2,159",7.60%,±1.1
"('9 rooms or more',)","Miami city, Florida","3,395",±948,1.80%,±0.5
"('9 rooms or more',)","Milwaukee city, Wisconsin","11,079","±1,134",4.20%,±0.4
"('9 rooms or more',)","Minneapolis city, Minnesota","17,166","±1,605",9.50%,±0.8
"('9 rooms or more',)","New Orleans city, Louisiana","12,339","±1,314",6.40%,±0.7
"('9 rooms or more',)","New York city, New York","121,061","±4,725",3.60%,±0.1
"('9 rooms or more',)","Newark city, New Jersey","3,380",±703,3.10%,±0.7
"('9 rooms or more',)","Oakland city, California","8,139","±1,172",4.60%,±0.6
"('9 rooms or more',)","Oklahoma City city, Oklahoma","16,291","±1,754",6.40%,±0.7
"('9 rooms or more',)","Omaha city, Nebraska","23,234","±1,666",12.90%,±0.9
"('9 rooms or more',)","Orlando city, Florida","5,158","±1,084",4.40%,±0.9
"('9 rooms or more',)","Philadelphia city, Pennsylvania","36,477","±2,630",5.40%,±0.4
"('9 rooms or more',)","Phoenix city, Arizona","33,180","±3,307",5.50%,±0.6
"('9 rooms or more',)","Pittsburgh city, Pennsylvania","11,301","±1,180",7.20%,±0.7
"('9 rooms or more',)","Plano city, Texas","23,220","±2,052",21.70%,±2.0
"('9 rooms or more',)","Portland city, Oregon","24,294","±1,978",9.10%,±0.7
"('9 rooms or more',)","Raleigh city, North Carolina","20,844","±2,366",11.70%,±1.3
"('9 rooms or more',)","Riverside city, California","6,210","±1,379",6.40%,±1.5
"('9 rooms or more',)","Sacramento city, California","10,004","±2,167",5.30%,±1.2
"('9 rooms or more',)","San Antonio city, Texas","33,409","±3,309",6.30%,±0.6
"('9 rooms or more',)","San Diego city, California","26,461","±2,206",5.10%,±0.4
"('9 rooms or more',)","San Francisco city, California","15,017","±1,684",4.00%,±0.4
"('9 rooms or more',)","San Jose city, California","13,928","±1,577",4.40%,±0.5
"('9 rooms or more',)","Santa Ana city, California","2,523",±663,3.30%,±0.9
"('9 rooms or more',)","Seattle city, Washington","30,165","±2,457",9.90%,±0.8
"('9 rooms or more',)","St. Louis city, Missouri","8,060","±1,113",4.60%,±0.6
"('9 rooms or more',)","St. Paul city, Minnesota","10,302","±1,055",8.50%,±0.8
"('9 rooms or more',)","Stockton city, California","3,974",±853,4.00%,±0.9
"('9 rooms or more',)","Tampa city, Florida","9,643","±1,219",6.00%,±0.8
"('9 rooms or more',)","Tucson city, Arizona","5,920","±1,555",2.60%,±0.7
"('9 rooms or more',)","Tulsa city, Oklahoma","15,437","±1,686",8.20%,±0.9
"('9 rooms or more',)","Virginia Beach city, Virginia","22,700","±1,915",12.70%,±1.1
"('9 rooms or more',)","Washington city, District of Columbia","27,943","±2,150",9.30%,±0.7
"('9 rooms or more',)","Wichita city, Kansas","23,410","±2,337",14.00%,±1.4
"('Median rooms',)","Albuquerque city, New Mexico",5.3,±0.2,(X),(X)
"('Median rooms',)","Anaheim city, California",4.5,±0.2,(X),(X)
"('Median rooms',)","Anchorage municipality, Alaska",5.2,±0.1,(X),(X)
"('Median rooms',)","Arlington city, Texas",5.3,±0.2,(X),(X)
"('Median rooms',)","Atlanta city, Georgia",4.6,±0.1,(X),(X)
"('Median rooms',)","Aurora city, Colorado",5.2,±0.2,(X),(X)
"('Median rooms',)","Austin city, Texas",4.6,±0.1,(X),(X)
"('Median rooms',)","Bakersfield city, California",5.4,±0.2,(X),(X)
"('Median rooms',)","Baltimore city, Maryland",5.6,±0.1,(X),(X)
"('Median rooms',)","Boston city, Massachusetts",4.4,±0.1,(X),(X)
"('Median rooms',)","Charlotte city, North Carolina",5.4,±0.1,(X),(X)
"('Median rooms',)","Chicago city, Illinois",4.7,±0.1,(X),(X)
"('Median rooms',)","Cincinnati city, Ohio",4.6,±0.2,(X),(X)
"('Median rooms',)","Cleveland city, Ohio",5.3,±0.1,(X),(X)
"('Median rooms',)","Colorado Springs city, Colorado",5.7,±0.2,(X),(X)
"('Median rooms',)","Columbus city, Ohio",5.1,±0.1,(X),(X)
"('Median rooms',)","Corpus Christi city, Texas",5,±0.2,(X),(X)
"('Median rooms',)","Dallas city, Texas",4.6,±0.1,(X),(X)
"('Median rooms',)","Denver city, Colorado",4.6,±0.1,(X),(X)
"('Median rooms',)","Detroit city, Michigan",5.6,±0.2,(X),(X)
"('Median rooms',)","Durham city, North Carolina",5.1,±0.1,(X),(X)
"('Median rooms',)","El Paso city, Texas",5.5,±0.2,(X),(X)
"('Median rooms',)","Fort Worth city, Texas",5.3,±0.2,(X),(X)
"('Median rooms',)","Fresno city, California",5.1,±0.2,(X),(X)
"('Median rooms',)","Greensboro city, North Carolina",5.3,±0.2,(X),(X)
"('Median rooms',)","Henderson city, Nevada",5.5,±0.2,(X),(X)
"('Median rooms',)","Houston city, Texas",4.6,±0.2,(X),(X)
"('Median rooms',)","Indianapolis city (balance), Indiana",5.4,±0.1,(X),(X)
"('Median rooms',)","Irvine city, California",4.8,±0.2,(X),(X)
"('Median rooms',)","Jacksonville city, Florida",5.4,±0.1,(X),(X)
"('Median rooms',)","Jersey City city, New Jersey",4.1,±0.2,(X),(X)
"('Median rooms',)","Kansas City city, Missouri",5.4,±0.1,(X),(X)
"('Median rooms',)","Las Vegas city, Nevada",5.2,±0.2,(X),(X)
"('Median rooms',)","Lincoln city, Nebraska",5.5,±0.2,(X),(X)
"('Median rooms',)","Long Beach city, California",4.3,±0.1,(X),(X)
"('Median rooms',)","Los Angeles city, California",4.2,±0.1,(X),(X)
"('Median rooms',)","Memphis city, Tennessee",5.2,±0.1,(X),(X)
"('Median rooms',)","Mesa city, Arizona",5.1,±0.1,(X),(X)
"('Median rooms',)","Miami city, Florida",3.9,±0.2,(X),(X)
"('Median rooms',)","Milwaukee city, Wisconsin",4.8,±0.1,(X),(X)
"('Median rooms',)","Minneapolis city, Minnesota",4.9,±0.1,(X),(X)
"('Median rooms',)","New Orleans city, Louisiana",4.9,±0.1,(X),(X)
"('Median rooms',)","New York city, New York",4,±0.1,(X),(X)
"('Median rooms',)","Newark city, New Jersey",4.3,±0.1,(X),(X)
"('Median rooms',)","Oakland city, California",4.5,±0.1,(X),(X)
"('Median rooms',)","Oklahoma City city, Oklahoma",5.3,±0.2,(X),(X)
"('Median rooms',)","Omaha city, Nebraska",5.5,±0.2,(X),(X)
"('Median rooms',)","Orlando city, Florida",4.7,±0.2,(X),(X)
"('Median rooms',)","Philadelphia city, Pennsylvania",5.6,±0.1,(X),(X)
"('Median rooms',)","Phoenix city, Arizona",5.1,±0.1,(X),(X)
"('Median rooms',)","Pittsburgh city, Pennsylvania",5.3,±0.1,(X),(X)
"('Median rooms',)","Plano city, Texas",6.5,±0.3,(X),(X)
"('Median rooms',)","Portland city, Oregon",5,±0.1,(X),(X)
"('Median rooms',)","Raleigh city, North Carolina",5.2,±0.2,(X),(X)
"('Median rooms',)","Riverside city, California",5.1,±0.2,(X),(X)
"('Median rooms',)","Sacramento city, California",5,±0.2,(X),(X)
"('Median rooms',)","San Antonio city, Texas",5.1,±0.1,(X),(X)
"('Median rooms',)","San Diego city, California",4.6,±0.1,(X),(X)
"('Median rooms',)","San Francisco city, California",4.1,±0.2,(X),(X)
"('Median rooms',)","San Jose city, California",5.1,±0.1,(X),(X)
"('Median rooms',)","Santa Ana city, California",4.6,±0.2,(X),(X)
"('Median rooms',)","Seattle city, Washington",4.5,±0.2,(X),(X)
"('Median rooms',)","St. Louis city, Missouri",4.7,±0.2,(X),(X)
"('Median rooms',)","St. Paul city, Minnesota",4.9,±0.1,(X),(X)
"('Median rooms',)","Stockton city, California",5.2,±0.2,(X),(X)
"('Median rooms',)","Tampa city, Florida",4.9,±0.1,(X),(X)
"('Median rooms',)","Tucson city, Arizona",4.7,±0.1,(X),(X)
"('Median rooms',)","Tulsa city, Oklahoma",5.3,±0.2,(X),(X)
"('Median rooms',)","Virginia Beach city, Virginia",6.1,±0.2,(X),(X)
"('Median rooms',)","Washington city, District of Columbia",4.2,±0.1,(X),(X)
"('Median rooms',)","Wichita city, Kansas",5.5,±0.2,(X),(X)
"('Total housing units',)","Albuquerque city, New Mexico","241,315","±2,036","241,315",(X)
"('Total housing units',)","Anaheim city, California","104,356","±3,260","104,356",(X)
"('Total housing units',)","Anchorage municipality, Alaska","113,461",±432,"113,461",(X)
"('Total housing units',)","Arlington city, Texas","145,630","±4,110","145,630",(X)
"('Total housing units',)","Atlanta city, Georgia","221,247","±5,285","221,247",(X)
"('Total housing units',)","Aurora city, Colorado","128,531","±2,983","128,531",(X)
"('Total housing units',)","Austin city, Texas","360,291","±4,924","360,291",(X)
"('Total housing units',)","Bakersfield city, California","117,640","±3,040","117,640",(X)
"('Total housing units',)","Baltimore city, Maryland","296,481","±1,253","296,481",(X)
"('Total housing units',)","Boston city, Massachusetts","274,310","±2,922","274,310",(X)
"('Total housing units',)","Charlotte city, North Carolina","324,837","±3,427","324,837",(X)
"('Total housing units',)","Chicago city, Illinois","1,192,836","±9,191","1,192,836",(X)
