Metric,City,Estimate,Estimate Margin of Error,Group,Percent,Percent Margin of Error
"('Boat, RV, van, etc.',)","St. Paul city, Minnesota",0,±211,units_in_structure,0.00%,±0.1
"('Boat, RV, van, etc.',)","Stockton city, California",71,±98,units_in_structure,0.10%,±0.1
"('Boat, RV, van, etc.',)","Tampa city, Florida",17,±32,units_in_structure,0.00%,±0.1
"('Boat, RV, van, etc.',)","Tucson city, Arizona",233,±218,units_in_structure,0.10%,±0.1
"('Boat, RV, van, etc.',)","Tulsa city, Oklahoma",0,±253,units_in_structure,0.00%,±0.1
"('Boat, RV, van, etc.',)","Virginia Beach city, Virginia",0,±287,units_in_structure,0.00%,±0.1
"('Boat, RV, van, etc.',)","Washington city, District of Columbia",106,±179,units_in_structure,0.00%,±0.1
"('Boat, RV, van, etc.',)","Wichita city, Kansas",216,±274,units_in_structure,0.10%,±0.2
"('Total housing units',)","Albuquerque city, New Mexico","240,232","±2,039",year_structure_built,"240,232",(X)
"('Total housing units',)","Anaheim city, California","107,363","±3,666",year_structure_built,"107,363",(X)
"('Total housing units',)","Anchorage municipality, Alaska","113,111","±1,046",year_structure_built,"113,111",(X)
"('Total housing units',)","Arlington city, Texas","146,638","±3,785",year_structure_built,"146,638",(X)
"('Total housing units',)","Atlanta city, Georgia","225,203","±5,823",year_structure_built,"225,203",(X)
"('Total housing units',)","Aurora city, Colorado","128,354","±2,849",year_structure_built,"128,354",(X)
"('Total housing units',)","Austin city, Texas","354,988","±5,209",year_structure_built,"354,988",(X)
"('Total housing units',)","Bakersfield city, California","118,727","±3,473",year_structure_built,"118,727",(X)
"('Total housing units',)","Baltimore city, Maryland","296,584","±1,348",year_structure_built,"296,584",(X)
"('Total housing units',)","Boston city, Massachusetts","277,949","±3,571",year_structure_built,"277,949",(X)
"('Total housing units',)","Chicago city, Illinois","1,189,053","±7,086",year_structure_built,"1,189,053",(X)
"('Total housing units',)","Cincinnati city, Ohio","161,201","±4,812",year_structure_built,"161,201",(X)
"('Total housing units',)","Cleveland city, Ohio","214,220","±4,327",year_structure_built,"214,220",(X)
"('Total housing units',)","Colorado Springs city, Colorado","180,535","±2,463",year_structure_built,"180,535",(X)
"('Total housing units',)","Columbus city, Ohio","370,544","±4,111",year_structure_built,"370,544",(X)
"('Total housing units',)","Corpus Christi city, Texas","124,620","±1,582",year_structure_built,"124,620",(X)
"('Total housing units',)","Dallas city, Texas","514,372","±6,971",year_structure_built,"514,372",(X)
"('Total housing units',)","Denver city, Colorado","285,859","±1,895",year_structure_built,"285,859",(X)
"('Total housing units',)","Detroit city, Michigan","360,675","±4,953",year_structure_built,"360,675",(X)
"('Total housing units',)","El Paso city, Texas","230,485","±1,937",year_structure_built,"230,485",(X)
"('Total housing units',)","Fresno city, California","169,426","±3,450",year_structure_built,"169,426",(X)
"('Total housing units',)","Greensboro city, North Carolina","125,702","±2,979",year_structure_built,"125,702",(X)
"('Total housing units',)","Henderson city, Nevada","114,295","±3,755",year_structure_built,"114,295",(X)
"('Total housing units',)","Houston city, Texas","902,745","±7,429",year_structure_built,"902,745",(X)
"('Total housing units',)","Indianapolis city (balance), Indiana","380,859","±2,715",year_structure_built,"380,859",(X)
"('Total housing units',)","Irvine city, California","81,468","±2,980",year_structure_built,"81,468",(X)
"('Total housing units',)","Jacksonville city, Florida","368,037","±4,746",year_structure_built,"368,037",(X)
"('Total housing units',)","Jersey City city, New Jersey","109,573","±2,820",year_structure_built,"109,573",(X)
"('Total housing units',)","Las Vegas city, Nevada","253,903","±5,307",year_structure_built,"253,903",(X)
"('Total housing units',)","Lincoln city, Nebraska","110,486","±1,458",year_structure_built,"110,486",(X)
"('Total housing units',)","Long Beach city, California","174,236","±4,764",year_structure_built,"174,236",(X)
"('Total housing units',)","Los Angeles city, California","1,421,938","±10,327",year_structure_built,"1,421,938",(X)
"('Total housing units',)","Memphis city, Tennessee","293,845","±3,302",year_structure_built,"293,845",(X)
"('Total housing units',)","Mesa city, Arizona","197,039","±5,268",year_structure_built,"197,039",(X)
"('Total housing units',)","Miami city, Florida","188,150","±6,255",year_structure_built,"188,150",(X)
"('Total housing units',)","Milwaukee city, Wisconsin","258,694","±3,433",year_structure_built,"258,694",(X)
"('Total housing units',)","Minneapolis city, Minnesota","184,814","±3,848",year_structure_built,"184,814",(X)
"('Total housing units',)","New Orleans city, Louisiana","190,154","±1,837",year_structure_built,"190,154",(X)
"('Total housing units',)","New York city, New York","3,370,647","±4,509",year_structure_built,"3,370,647",(X)
"('Total housing units',)","Newark city, New Jersey","108,907","±3,620",year_structure_built,"108,907",(X)
"('Total housing units',)","Oakland city, California","172,774","±3,879",year_structure_built,"172,774",(X)
"('Total housing units',)","Omaha city, Nebraska","178,149","±1,792",year_structure_built,"178,149",(X)
"('Total housing units',)","Orlando city, Florida","119,552","±4,003",year_structure_built,"119,552",(X)
"('Total housing units',)","Philadelphia city, Pennsylvania","670,022","±4,073",year_structure_built,"670,022",(X)
"('Total housing units',)","Phoenix city, Arizona","601,370","±7,751",year_structure_built,"601,370",(X)
"('Total housing units',)","Pittsburgh city, Pennsylvania","153,756","±3,447",year_structure_built,"153,756",(X)
"('Total housing units',)","Plano city, Texas","105,307","±2,905",year_structure_built,"105,307",(X)
"('Total housing units',)","Portland city, Oregon","263,890","±2,884",year_structure_built,"263,890",(X)
"('Total housing units',)","Riverside city, California","97,695","±4,133",year_structure_built,"97,695",(X)
"('Total housing units',)","Sacramento city, California","192,372","±4,968",year_structure_built,"192,372",(X)
"('Total housing units',)","San Antonio city, Texas","525,799","±4,754",year_structure_built,"525,799",(X)
"('Total housing units',)","San Diego city, California","514,366","±6,961",year_structure_built,"514,366",(X)
"('Total housing units',)","San Francisco city, California","376,777","±1,401",year_structure_built,"376,777",(X)
"('Total housing units',)","San Jose city, California","312,541","±4,703",year_structure_built,"312,541",(X)
"('Total housing units',)","Santa Ana city, California","74,972","±2,694",year_structure_built,"74,972",(X)
"('Total housing units',)","Seattle city, Washington","302,514","±6,008",year_structure_built,"302,514",(X)
"('Total housing units',)","St. Paul city, Minnesota","120,250","±2,543",year_structure_built,"120,250",(X)
"('Total housing units',)","Stockton city, California","100,835","±2,732",year_structure_built,"100,835",(X)
"('Total housing units',)","Tampa city, Florida","158,988","±3,986",year_structure_built,"158,988",(X)
"('Total housing units',)","Tucson city, Arizona","230,047","±4,064",year_structure_built,"230,047",(X)
"('Total housing units',)","Tulsa city, Oklahoma","187,281","±2,560",year_structure_built,"187,281",(X)
"('Total housing units',)","Virginia Beach city, Virginia","178,117",±840,year_structure_built,"178,117",(X)
"('Total housing units',)","Washington city, District of Columbia","296,836",±63,year_structure_built,"296,836",(X)
"('Total housing units',)","Wichita city, Kansas","169,058","±1,897",year_structure_built,"169,058",(X)
"('Built 2005 or later',)","Albuquerque city, New Mexico","13,929","±1,801",year_structure_built,5.80%,±0.8
"('Built 2005 or later',)","Anaheim city, California","3,869",±897,year_structure_built,3.60%,±0.9
"('Built 2005 or later',)","Anchorage municipality, Alaska","6,878","±1,546",year_structure_built,6.10%,±1.3
"('Built 2005 or later',)","Arlington city, Texas","6,202","±1,383",year_structure_built,4.20%,±0.9
"('Built 2005 or later',)","Atlanta city, Georgia","26,671","±2,399",year_structure_built,11.80%,±1.0
"('Built 2005 or later',)","Aurora city, Colorado","8,674","±1,213",year_structure_built,6.80%,±1.0
"('Built 2005 or later',)","Austin city, Texas","38,366","±2,911",year_structure_built,10.80%,±0.8
"('Built 2005 or later',)","Bakersfield city, California","15,418","±1,795",year_structure_built,13.00%,±1.5
"('Built 2005 or later',)","Baltimore city, Maryland","6,131","±1,438",year_structure_built,2.10%,±0.5
"('Built 2005 or later',)","Boston city, Massachusetts","9,313","±1,713",year_structure_built,3.40%,±0.6
"('Built 2005 or later',)","Chicago city, Illinois","48,305","±3,572",year_structure_built,4.10%,±0.3
"('Built 2005 or later',)","Cincinnati city, Ohio","2,556",±755,year_structure_built,1.60%,±0.5
"('Built 2005 or later',)","Cleveland city, Ohio","2,281",±769,year_structure_built,1.10%,±0.4
"('Built 2005 or later',)","Colorado Springs city, Colorado","11,023","±1,572",year_structure_built,6.10%,±0.9
"('Built 2005 or later',)","Columbus city, Ohio","13,972","±1,807",year_structure_built,3.80%,±0.5
"('Built 2005 or later',)","Corpus Christi city, Texas","8,912","±1,620",year_structure_built,7.20%,±1.3
"('Built 2005 or later',)","Dallas city, Texas","30,508","±2,637",year_structure_built,5.90%,±0.5
"('Built 2005 or later',)","Denver city, Colorado","16,951","±1,770",year_structure_built,5.90%,±0.6
"('Built 2005 or later',)","Detroit city, Michigan","2,889",±881,year_structure_built,0.80%,±0.2
"('Built 2005 or later',)","El Paso city, Texas","17,614","±1,988",year_structure_built,7.60%,±0.9
"('Built 2005 or later',)","Fresno city, California","11,804","±1,755",year_structure_built,7.00%,±1.0
"('Built 2005 or later',)","Greensboro city, North Carolina","7,410","±1,347",year_structure_built,5.90%,±1.1
"('Built 2005 or later',)","Henderson city, Nevada","15,742","±1,930",year_structure_built,13.80%,±1.6
"('Built 2005 or later',)","Houston city, Texas","65,534","±4,479",year_structure_built,7.30%,±0.5
"('Built 2005 or later',)","Indianapolis city (balance), Indiana","13,511","±1,615",year_structure_built,3.50%,±0.4
"('Built 2005 or later',)","Irvine city, California","11,048","±1,600",year_structure_built,13.60%,±1.9
"('Built 2005 or later',)","Jacksonville city, Florida","34,982","±3,010",year_structure_built,9.50%,±0.8
"('Built 2005 or later',)","Jersey City city, New Jersey","7,897","±1,148",year_structure_built,7.20%,±1.0
"('Built 2005 or later',)","Las Vegas city, Nevada","21,796","±2,630",year_structure_built,8.60%,±1.0
"('Built 2005 or later',)","Lincoln city, Nebraska","6,665","±1,167",year_structure_built,6.00%,±1.1
"('Built 2005 or later',)","Long Beach city, California","3,083",±866,year_structure_built,1.80%,±0.5
"('Built 2005 or later',)","Los Angeles city, California","42,995","±3,540",year_structure_built,3.00%,±0.3
"('Built 2005 or later',)","Memphis city, Tennessee","6,715","±1,435",year_structure_built,2.30%,±0.5
"('Built 2005 or later',)","Mesa city, Arizona","7,723","±1,351",year_structure_built,3.90%,±0.7
"('Built 2005 or later',)","Miami city, Florida","15,329","±1,949",year_structure_built,8.10%,±1.0
"('Built 2005 or later',)","Milwaukee city, Wisconsin","3,244",±780,year_structure_built,1.30%,±0.3
"('Built 2005 or later',)","Minneapolis city, Minnesota","7,925","±1,697",year_structure_built,4.30%,±0.9
"('Built 2005 or later',)","New Orleans city, Louisiana","7,884","±1,442",year_structure_built,4.10%,±0.8
"('Built 2005 or later',)","New York city, New York","102,860","±5,495",year_structure_built,3.10%,±0.2
"('Built 2005 or later',)","Newark city, New Jersey","4,618",±989,year_structure_built,4.20%,±0.9
"('Built 2005 or later',)","Oakland city, California","4,688","±1,191",year_structure_built,2.70%,±0.7
"('Built 2005 or later',)","Omaha city, Nebraska","4,151",±989,year_structure_built,2.30%,±0.6
"('Built 2005 or later',)","Orlando city, Florida","11,092","±1,576",year_structure_built,9.30%,±1.3
"('Built 2005 or later',)","Philadelphia city, Pennsylvania","11,731","±1,874",year_structure_built,1.80%,±0.3
"('Built 2005 or later',)","Phoenix city, Arizona","50,230","±3,317",year_structure_built,8.40%,±0.6
"('Built 2005 or later',)","Pittsburgh city, Pennsylvania","2,333",±656,year_structure_built,1.50%,±0.4
"('Built 2005 or later',)","Plano city, Texas","6,016","±1,155",year_structure_built,5.70%,±1.1
"('Built 2005 or later',)","Portland city, Oregon","12,890","±1,970",year_structure_built,4.90%,±0.7
"('Built 2005 or later',)","Riverside city, California","4,978","±1,049",year_structure_built,5.10%,±1.0
"('Built 2005 or later',)","Sacramento city, California","13,741","±1,819",year_structure_built,7.10%,±0.9
"('Built 2005 or later',)","San Antonio city, Texas","43,628","±2,716",year_structure_built,8.30%,±0.5
"('Built 2005 or later',)","San Diego city, California","19,158","±2,031",year_structure_built,3.70%,±0.4
"('Built 2005 or later',)","San Francisco city, California","10,901","±1,640",year_structure_built,2.90%,±0.4
"('Built 2005 or later',)","San Jose city, California","11,752","±1,324",year_structure_built,3.80%,±0.4
"('Built 2005 or later',)","Santa Ana city, California",709,±424,year_structure_built,0.90%,±0.6
"('Built 2005 or later',)","Seattle city, Washington","20,373","±1,855",year_structure_built,6.70%,±0.6
"('Built 2005 or later',)","St. Paul city, Minnesota","3,720","±1,006",year_structure_built,3.10%,±0.8
"('Built 2005 or later',)","Stockton city, California","5,907","±1,416",year_structure_built,5.90%,±1.4
"('Built 2005 or later',)","Tampa city, Florida","10,476","±1,600",year_structure_built,6.60%,±1.0
"('Built 2005 or later',)","Tucson city, Arizona","9,872","±1,515",year_structure_built,4.30%,±0.7
"('Built 2005 or later',)","Tulsa city, Oklahoma","4,786",±954,year_structure_built,2.60%,±0.5
"('Built 2005 or later',)","Virginia Beach city, Virginia","9,610","±1,459",year_structure_built,5.40%,±0.8
"('Built 2005 or later',)","Washington city, District of Columbia","13,846","±1,771",year_structure_built,4.70%,±0.6
"('Built 2005 or later',)","Wichita city, Kansas","8,578","±1,159",year_structure_built,5.10%,±0.7
"('Built 2000 to 2004',)","Albuquerque city, New Mexico","28,361","±2,318",year_structure_built,11.80%,±1.0
"('Built 2000 to 2004',)","Anaheim city, California","3,080",±946,year_structure_built,2.90%,±0.9
"('Built 2000 to 2004',)","Anchorage municipality, Alaska","9,169","±1,386",year_structure_built,8.10%,±1.2
"('Built 2000 to 2004',)","Arlington city, Texas","14,194","±1,958",year_structure_built,9.70%,±1.3
"('Built 2000 to 2004',)","Atlanta city, Georgia","29,914","±2,676",year_structure_built,13.30%,±1.2
"('Built 2000 to 2004',)","Aurora city, Colorado","13,047","±1,704",year_structure_built,10.20%,±1.3
"('Built 2000 to 2004',)","Austin city, Texas","43,926","±3,594",year_structure_built,12.40%,±1.0
"('Built 2000 to 2004',)","Bakersfield city, California","17,462","±2,068",year_structure_built,14.70%,±1.8
"('Built 2000 to 2004',)","Baltimore city, Maryland","3,998","±1,071",year_structure_built,1.30%,±0.4
"('Built 2000 to 2004',)","Boston city, Massachusetts","9,567","±1,403",year_structure_built,3.40%,±0.5
"('Built 2000 to 2004',)","Chicago city, Illinois","54,317","±4,078",year_structure_built,4.60%,±0.3
"('Built 2000 to 2004',)","Cincinnati city, Ohio","2,843",±782,year_structure_built,1.80%,±0.5
"('Built 2000 to 2004',)","Cleveland city, Ohio","4,388",±925,year_structure_built,2.00%,±0.4
"('Built 2000 to 2004',)","Colorado Springs city, Colorado","20,395","±1,990",year_structure_built,11.30%,±1.1
"('Built 2000 to 2004',)","Columbus city, Ohio","30,332","±2,756",year_structure_built,8.20%,±0.7
"('Built 2000 to 2004',)","Corpus Christi city, Texas","8,035","±1,248",year_structure_built,6.40%,±1.0
"('Built 2000 to 2004',)","Dallas city, Texas","36,062","±2,765",year_structure_built,7.00%,±0.5
"('Built 2000 to 2004',)","Denver city, Colorado","24,820","±2,306",year_structure_built,8.70%,±0.8
"('Built 2000 to 2004',)","Detroit city, Michigan","5,042","±1,090",year_structure_built,1.40%,±0.3
"('Built 2000 to 2004',)","El Paso city, Texas","21,034","±2,077",year_structure_built,9.10%,±0.9
"('Built 2000 to 2004',)","Fresno city, California","10,673","±1,842",year_structure_built,6.30%,±1.1
"('Built 2000 to 2004',)","Greensboro city, North Carolina","11,972","±1,834",year_structure_built,9.50%,±1.4
"('Built 2000 to 2004',)","Henderson city, Nevada","27,029","±2,862",year_structure_built,23.60%,±2.3
"('Built 2000 to 2004',)","Houston city, Texas","72,693","±4,458",year_structure_built,8.10%,±0.5
"('Built 2000 to 2004',)","Indianapolis city (balance), Indiana","25,399","±2,317",year_structure_built,6.70%,±0.6
"('Built 2000 to 2004',)","Irvine city, California","17,681","±2,123",year_structure_built,21.70%,±2.4
"('Built 2000 to 2004',)","Jacksonville city, Florida","43,760","±3,747",year_structure_built,11.90%,±1.0
"('Built 2000 to 2004',)","Jersey City city, New Jersey","7,393","±1,475",year_structure_built,6.70%,±1.3
"('Built 2000 to 2004',)","Las Vegas city, Nevada","40,738","±3,196",year_structure_built,16.00%,±1.2
"('Built 2000 to 2004',)","Lincoln city, Nebraska","11,971","±1,667",year_structure_built,10.80%,±1.5
"('Built 2000 to 2004',)","Long Beach city, California","2,527",±795,year_structure_built,1.50%,±0.5
"('Built 2000 to 2004',)","Los Angeles city, California","45,344","±3,777",year_structure_built,3.20%,±0.3
"('Built 2000 to 2004',)","Memphis city, Tennessee","13,398","±1,893",year_structure_built,4.60%,±0.6
"('Built 2000 to 2004',)","Mesa city, Arizona","26,339","±2,694",year_structure_built,13.40%,±1.3
"('Built 2000 to 2004',)","Miami city, Florida","22,739","±2,738",year_structure_built,12.10%,±1.4
"('Built 2000 to 2004',)","Milwaukee city, Wisconsin","4,842","±1,029",year_structure_built,1.90%,±0.4
"('Built 2000 to 2004',)","Minneapolis city, Minnesota","6,469","±1,344",year_structure_built,3.50%,±0.7
"('Built 2000 to 2004',)","New Orleans city, Louisiana","7,011","±1,404",year_structure_built,3.70%,±0.7
"('Built 2000 to 2004',)","New York city, New York","114,434","±5,179",year_structure_built,3.40%,±0.2
"('Built 2000 to 2004',)","Newark city, New Jersey","10,069","±1,447",year_structure_built,9.20%,±1.2
"('Built 2000 to 2004',)","Oakland city, California","5,618","±1,256",year_structure_built,3.30%,±0.7
"('Built 2000 to 2004',)","Omaha city, Nebraska","5,082","±1,079",year_structure_built,2.90%,±0.6
"('Built 2000 to 2004',)","Orlando city, Florida","20,373","±3,003",year_structure_built,17.00%,±2.4
"('Built 2000 to 2004',)","Philadelphia city, Pennsylvania","9,587","±1,754",year_structure_built,1.40%,±0.3
"('Built 2000 to 2004',)","Phoenix city, Arizona","62,917","±4,294",year_structure_built,10.50%,±0.7
"('Built 2000 to 2004',)","Pittsburgh city, Pennsylvania","3,720","±1,045",year_structure_built,2.40%,±0.7
"('Built 2000 to 2004',)","Plano city, Texas","13,125","±1,608",year_structure_built,12.50%,±1.5
"('Built 2000 to 2004',)","Portland city, Oregon","17,543","±2,011",year_structure_built,6.60%,±0.8
"('Built 2000 to 2004',)","Riverside city, California","9,409","±1,593",year_structure_built,9.60%,±1.6
"('Built 2000 to 2004',)","Sacramento city, California","16,906","±1,628",year_structure_built,8.80%,±0.9
"('Built 2000 to 2004',)","San Antonio city, Texas","54,677","±3,425",year_structure_built,10.40%,±0.7
"('Built 2000 to 2004',)","San Diego city, California","37,092","±3,112",year_structure_built,7.20%,±0.6
"('Built 2000 to 2004',)","San Francisco city, California","13,079","±1,805",year_structure_built,3.50%,±0.5
"('Built 2000 to 2004',)","San Jose city, California","21,143","±2,216",year_structure_built,6.80%,±0.7
"('Built 2000 to 2004',)","Santa Ana city, California","2,460",±715,year_structure_built,3.30%,±1.0
"('Built 2000 to 2004',)","Seattle city, Washington","18,196","±2,604",year_structure_built,6.00%,±0.9
"('Built 2000 to 2004',)","St. Paul city, Minnesota","3,616","±1,028",year_structure_built,3.00%,±0.9
"('Built 2000 to 2004',)","Stockton city, California","11,255","±1,577",year_structure_built,11.20%,±1.6
"('Built 2000 to 2004',)","Tampa city, Florida","15,963","±2,040",year_structure_built,10.00%,±1.3
"('Built 2000 to 2004',)","Tucson city, Arizona","19,714","±1,975",year_structure_built,8.60%,±0.8
"('Built 2000 to 2004',)","Tulsa city, Oklahoma","8,459","±1,479",year_structure_built,4.50%,±0.8
"('Built 2000 to 2004',)","Virginia Beach city, Virginia","10,846","±1,387",year_structure_built,6.10%,±0.8
"('Built 2000 to 2004',)","Washington city, District of Columbia","10,858","±1,836",year_structure_built,3.70%,±0.6
"('Built 2000 to 2004',)","Wichita city, Kansas","10,671","±1,730",year_structure_built,6.30%,±1.0
"('Built 1990 to 1999',)","Albuquerque city, New Mexico","38,703","±2,656",year_structure_built,16.10%,±1.1
"('Built 1990 to 1999',)","Anaheim city, California","10,819","±1,703",year_structure_built,10.10%,±1.5
"('Built 1990 to 1999',)","Anchorage municipality, Alaska","12,908","±2,021",year_structure_built,11.40%,±1.8
"('Built 1990 to 1999',)","Arlington city, Texas","23,855","±2,089",year_structure_built,16.30%,±1.5
"('Built 1990 to 1999',)","Atlanta city, Georgia","22,457","±2,318",year_structure_built,10.00%,±1.0
"('Built 1990 to 1999',)","Aurora city, Colorado","11,632","±1,511",year_structure_built,9.10%,±1.2
"('Built 1990 to 1999',)","Austin city, Texas","54,224","±3,541",year_structure_built,15.30%,±0.9
"('Built 1990 to 1999',)","Bakersfield city, California","16,864","±1,812",year_structure_built,14.20%,±1.5
"('Built 1990 to 1999',)","Baltimore city, Maryland","9,995","±1,624",year_structure_built,3.40%,±0.5
"('Built 1990 to 1999',)","Boston city, Massachusetts","11,928","±1,674",year_structure_built,4.30%,±0.6
"('Built 1990 to 1999',)","Chicago city, Illinois","47,550","±2,793",year_structure_built,4.00%,±0.2
"('Built 1990 to 1999',)","Cincinnati city, Ohio","4,950","±1,103",year_structure_built,3.10%,±0.7
"('Built 1990 to 1999',)","Cleveland city, Ohio","4,609","±1,010",year_structure_built,2.20%,±0.5
"('Built 1990 to 1999',)","Colorado Springs city, Colorado","29,597","±2,414",year_structure_built,16.40%,±1.4
"('Built 1990 to 1999',)","Columbus city, Ohio","61,657","±3,366",year_structure_built,16.60%,±0.9
"('Built 1990 to 1999',)","Corpus Christi city, Texas","12,500","±1,782",year_structure_built,10.00%,±1.4
"('Built 1990 to 1999',)","Dallas city, Texas","49,825","±3,168",year_structure_built,9.70%,±0.6
"('Built 1990 to 1999',)","Denver city, Colorado","18,732","±1,997",year_structure_built,6.60%,±0.7
"('Built 1990 to 1999',)","Detroit city, Michigan","5,317","±1,051",year_structure_built,1.50%,±0.3
"('Built 1990 to 1999',)","El Paso city, Texas","31,791","±2,896",year_structure_built,13.80%,±1.3
"('Built 1990 to 1999',)","Fresno city, California","23,873","±2,261",year_structure_built,14.10%,±1.3
"('Built 1990 to 1999',)","Greensboro city, North Carolina","24,672","±2,578",year_structure_built,19.60%,±2.1
"('Built 1990 to 1999',)","Henderson city, Nevada","41,679","±3,281",year_structure_built,36.50%,±2.6
"('Built 1990 to 1999',)","Houston city, Texas","80,127","±4,537",year_structure_built,8.90%,±0.5
"('Built 1990 to 1999',)","Indianapolis city (balance), Indiana","44,973","±3,258",year_structure_built,11.80%,±0.9
"('Built 1990 to 1999',)","Irvine city, California","13,341","±1,956",year_structure_built,16.40%,±2.3
"('Built 1990 to 1999',)","Jacksonville city, Florida","58,828","±3,929",year_structure_built,16.00%,±1.1
"('Built 1990 to 1999',)","Jersey City city, New Jersey","7,298","±1,335",year_structure_built,6.70%,±1.2
"('Built 1990 to 1999',)","Las Vegas city, Nevada","82,863","±3,978",year_structure_built,32.60%,±1.3
"('Built 1990 to 1999',)","Lincoln city, Nebraska","16,075","±2,137",year_structure_built,14.50%,±1.9
"('Built 1990 to 1999',)","Long Beach city, California","5,602","±1,072",year_structure_built,3.20%,±0.6
"('Built 1990 to 1999',)","Los Angeles city, California","79,236","±4,513",year_structure_built,5.60%,±0.3
"('Built 1990 to 1999',)","Memphis city, Tennessee","27,137","±3,036",year_structure_built,9.20%,±1.0
"('Built 1990 to 1999',)","Mesa city, Arizona","41,271","±3,354",year_structure_built,20.90%,±1.5
"('Built 1990 to 1999',)","Miami city, Florida","9,211","±1,829",year_structure_built,4.90%,±1.0
"('Built 1990 to 1999',)","Milwaukee city, Wisconsin","7,764","±1,475",year_structure_built,3.00%,±0.6
"('Built 1990 to 1999',)","Minneapolis city, Minnesota","5,462","±1,268",year_structure_built,3.00%,±0.7
"('Built 1990 to 1999',)","New Orleans city, Louisiana","6,859","±1,291",year_structure_built,3.60%,±0.7
"('Built 1990 to 1999',)","New York city, New York","114,297","±5,001",year_structure_built,3.40%,±0.1
"('Built 1990 to 1999',)","Newark city, New Jersey","7,045","±1,363",year_structure_built,6.50%,±1.2
"('Built 1990 to 1999',)","Oakland city, California","8,440","±1,318",year_structure_built,4.90%,±0.8
"('Built 1990 to 1999',)","Omaha city, Nebraska","15,277","±1,630",year_structure_built,8.60%,±0.9
"('Built 1990 to 1999',)","Orlando city, Florida","16,858","±2,078",year_structure_built,14.10%,±1.7
"('Built 1990 to 1999',)","Philadelphia city, Pennsylvania","17,619","±2,013",year_structure_built,2.60%,±0.3
"('Built 1990 to 1999',)","Phoenix city, Arizona","97,235","±4,629",year_structure_built,16.20%,±0.7
"('Built 1990 to 1999',)","Pittsburgh city, Pennsylvania","3,065",±695,year_structure_built,2.00%,±0.4
"('Built 1990 to 1999',)","Plano city, Texas","34,936","±2,388",year_structure_built,33.20%,±2.0
"('Built 1990 to 1999',)","Portland city, Oregon","24,015","±2,245",year_structure_built,9.10%,±0.9
"('Built 1990 to 1999',)","Riverside city, California","10,422","±1,588",year_structure_built,10.70%,±1.5
"('Built 1990 to 1999',)","Sacramento city, California","14,624","±2,079",year_structure_built,7.60%,±1.0
"('Built 1990 to 1999',)","San Antonio city, Texas","71,013","±4,506",year_structure_built,13.50%,±0.8
"('Built 1990 to 1999',)","San Diego city, California","53,999","±3,445",year_structure_built,10.50%,±0.7
"('Built 1990 to 1999',)","San Francisco city, California","18,805","±2,125",year_structure_built,5.00%,±0.6
"('Built 1990 to 1999',)","San Jose city, California","35,301","±2,442",year_structure_built,11.30%,±0.8
"('Built 1990 to 1999',)","Santa Ana city, California","2,974",±894,year_structure_built,4.00%,±1.2
"('Built 1990 to 1999',)","Seattle city, Washington","26,633","±2,754",year_structure_built,8.80%,±0.9
"('Built 1990 to 1999',)","St. Paul city, Minnesota","2,397",±806,year_structure_built,2.00%,±0.7
"('Built 1990 to 1999',)","Stockton city, California","14,776","±1,689",year_structure_built,14.70%,±1.6
"('Built 1990 to 1999',)","Tampa city, Florida","16,664","±2,094",year_structure_built,10.50%,±1.2
"('Built 1990 to 1999',)","Tucson city, Arizona","28,000","±2,371",year_structure_built,12.20%,±1.0
"('Built 1990 to 1999',)","Tulsa city, Oklahoma","18,052","±1,861",year_structure_built,9.60%,±1.0
"('Built 1990 to 1999',)","Virginia Beach city, Virginia","21,430","±2,039",year_structure_built,12.00%,±1.1
"('Built 1990 to 1999',)","Washington city, District of Columbia","9,074","±1,692",year_structure_built,3.10%,±0.6
"('Built 1990 to 1999',)","Wichita city, Kansas","17,824","±1,793",year_structure_built,10.50%,±1.1
"('Built 1980 to 1989',)","Albuquerque city, New Mexico","32,308","±2,527",year_structure_built,13.40%,±1.0
"('Built 1980 to 1989',)","Anaheim city, California","12,701","±1,625",year_structure_built,11.80%,±1.5
"('Built 1980 to 1989',)","Anchorage municipality, Alaska","29,268","±2,070",year_structure_built,25.90%,±1.8
"('Built 1980 to 1989',)","Arlington city, Texas","42,822","±3,394",year_structure_built,29.20%,±2.0
"('Built 1980 to 1989',)","Atlanta city, Georgia","17,187","±2,089",year_structure_built,7.60%,±0.9
"('Built 1980 to 1989',)","Aurora city, Colorado","34,426","±2,685",year_structure_built,26.80%,±1.9
"('Built 1980 to 1989',)","Austin city, Texas","73,208","±3,640",year_structure_built,20.60%,±1.0
"('Built 1980 to 1989',)","Bakersfield city, California","21,114","±2,372",year_structure_built,17.80%,±1.8
"('Built 1980 to 1989',)","Baltimore city, Maryland","14,780","±2,011",year_structure_built,5.00%,±0.7
"('Built 1980 to 1989',)","Boston city, Massachusetts","15,008","±1,768",year_structure_built,5.40%,±0.6
"('Built 1980 to 1989',)","Chicago city, Illinois","41,216","±3,155",year_structure_built,3.50%,±0.3
"('Built 1980 to 1989',)","Cincinnati city, Ohio","6,724","±1,307",year_structure_built,4.20%,±0.8
"('Built 1980 to 1989',)","Cleveland city, Ohio","4,146",±922,year_structure_built,1.90%,±0.4
"('Built 1980 to 1989',)","Colorado Springs city, Colorado","32,428","±2,696",year_structure_built,18.00%,±1.5
