Metric,City,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error
"('1 bedroom',)","New Orleans city, Louisiana","37,327","±1,315",19.40%,±0.7
"('1 bedroom',)","New York city, New York","1,035,661","±7,203",29.40%,±0.2
"('1 bedroom',)","Newark city, New Jersey","24,032","±1,352",21.00%,±1.1
"('1 bedroom',)","Oakland city, California","39,940","±1,300",23.30%,±0.7
"('1 bedroom',)","Oklahoma City city, Oklahoma","34,869","±1,292",12.60%,±0.5
"('1 bedroom',)","Omaha city, Nebraska","31,543","±1,202",15.50%,±0.6
"('1 bedroom',)","Orlando city, Florida","27,124","±1,642",19.90%,±1.1
"('1 bedroom',)","Philadelphia city, Pennsylvania","108,930","±2,953",15.80%,±0.4
"('1 bedroom',)","Phoenix city, Arizona","84,851","±2,298",13.50%,±0.4
"('1 bedroom',)","Pittsburgh city, Pennsylvania","34,211","±1,248",21.50%,±0.7
"('1 bedroom',)","Plano city, Texas","17,111","±1,035",15.10%,±0.9
"('1 bedroom',)","Portland city, Oregon","51,180","±1,806",17.50%,±0.6
"('1 bedroom',)","Raleigh city, North Carolina","31,447","±1,630",15.20%,±0.8
"('1 bedroom',)","Riverside city, California","11,868",±733,12.40%,±0.7
"('1 bedroom',)","Sacramento city, California","28,619","±1,410",14.50%,±0.7
"('1 bedroom',)","San Antonio city, Texas","94,952","±2,510",17.10%,±0.5
"('1 bedroom',)","San Diego city, California","99,704","±3,112",18.20%,±0.5
"('1 bedroom',)","San Francisco city, California","99,889","±2,289",25.10%,±0.6
"('1 bedroom',)","San Jose city, California","43,148","±1,408",12.80%,±0.4
"('1 bedroom',)","Santa Ana city, California","13,362",±951,16.40%,±1.1
"('1 bedroom',)","Seattle city, Washington","94,636","±2,408",25.80%,±0.7
"('1 bedroom',)","St. Louis city, Missouri","49,143","±1,647",27.80%,±0.9
"('1 bedroom',)","St. Paul city, Minnesota","25,711",±953,21.10%,±0.7
"('1 bedroom',)","Stockton city, California","10,276",±587,10.10%,±0.6
"('1 bedroom',)","Tampa city, Florida","30,608","±1,425",17.60%,±0.8
"('1 bedroom',)","Tucson city, Arizona","44,595","±1,670",18.50%,±0.7
"('1 bedroom',)","Tulsa city, Oklahoma","32,124","±1,042",17.10%,±0.6
"('1 bedroom',)","Virginia Beach city, Virginia","11,050",±887,5.90%,±0.5
"('1 bedroom',)","Washington city, District of Columbia","99,029","±1,995",31.00%,±0.6
"('1 bedroom',)","Wichita city, Kansas","22,143","±1,157",12.80%,±0.7
"('2 bedrooms',)","Albuquerque city, New Mexico","55,638","±1,803",22.40%,±0.7
"('2 bedrooms',)","Anaheim city, California","32,296","±1,399",29.70%,±1.3
"('2 bedrooms',)","Anchorage municipality, Alaska","32,847","±1,221",27.80%,±1.0
"('2 bedrooms',)","Arlington city, Texas","28,357","±1,389",19.40%,±0.9
"('2 bedrooms',)","Atlanta city, Georgia","79,144","±2,325",31.60%,±0.9
"('2 bedrooms',)","Aurora city, Colorado","40,026","±1,323",28.80%,±0.9
"('2 bedrooms',)","Austin city, Texas","113,503","±2,851",26.60%,±0.6
"('2 bedrooms',)","Bakersfield city, California","27,971","±1,106",22.40%,±0.9
"('2 bedrooms',)","Baltimore city, Maryland","78,711","±1,877",26.80%,±0.6
"('2 bedrooms',)","Boston city, Massachusetts","101,942","±2,091",34.10%,±0.7
"('2 bedrooms',)","Charlotte city, North Carolina","92,706","±2,294",25.20%,±0.6
"('2 bedrooms',)","Chicago city, Illinois","417,167","±4,422",34.30%,±0.4
"('2 bedrooms',)","Cincinnati city, Ohio","51,223","±1,584",31.80%,±0.9
"('2 bedrooms',)","Cleveland city, Ohio","73,330","±1,680",34.70%,±0.7
"('2 bedrooms',)","Colorado Springs city, Colorado","46,638","±1,406",24.00%,±0.7
"('2 bedrooms',)","Columbus city, Ohio","143,599","±2,472",36.30%,±0.6
"('2 bedrooms',)","Corpus Christi city, Texas","36,633","±1,353",27.60%,±1.0
"('2 bedrooms',)","Dallas city, Texas","167,341","±2,771",28.80%,±0.4
"('2 bedrooms',)","Denver city, Colorado","93,681","±2,196",30.60%,±0.7
"('2 bedrooms',)","Detroit city, Michigan","91,920","±1,988",25.70%,±0.6
"('2 bedrooms',)","Durham city, North Carolina","33,396","±1,277",27.30%,±1.1
"('2 bedrooms',)","El Paso city, Texas","50,613","±1,802",20.00%,±0.7
"('2 bedrooms',)","Fort Worth city, Texas","73,641","±1,967",21.90%,±0.6
"('2 bedrooms',)","Fresno city, California","49,082","±1,600",27.30%,±0.9
"('2 bedrooms',)","Greensboro city, North Carolina","40,589","±1,501",30.90%,±1.1
"('2 bedrooms',)","Henderson city, Nevada","34,367","±1,571",26.10%,±1.1
"('2 bedrooms',)","Houston city, Texas","283,864","±3,865",28.90%,±0.4
"('2 bedrooms',)","Indianapolis city (balance), Indiana","120,825","±2,748",31.20%,±0.7
"('2 bedrooms',)","Irvine city, California","32,209","±1,646",30.80%,±1.4
"('2 bedrooms',)","Jacksonville city, Florida","94,174","±2,682",24.20%,±0.7
"('2 bedrooms',)","Jersey City city, New Jersey","39,559","±1,317",34.70%,±1.2
"('2 bedrooms',)","Kansas City city, Missouri","65,845","±1,729",28.20%,±0.7
"('2 bedrooms',)","Las Vegas city, Nevada","68,248","±1,918",26.30%,±0.7
"('2 bedrooms',)","Lexington-Fayette urban county, Kentucky","34,906","±1,075",24.40%,±0.8
"('2 bedrooms',)","Lincoln city, Nebraska","35,249","±1,286",28.90%,±1.0
"('2 bedrooms',)","Long Beach city, California","60,638","±1,782",34.50%,±1.0
"('2 bedrooms',)","Los Angeles city, California","466,975","±3,985",30.80%,±0.3
"('2 bedrooms',)","Memphis city, Tennessee","94,491","±2,132",31.50%,±0.7
"('2 bedrooms',)","Mesa city, Arizona","64,048","±1,697",29.80%,±0.8
"('2 bedrooms',)","Miami city, Florida","82,216","±2,324",39.30%,±1.1
"('2 bedrooms',)","Milwaukee city, Wisconsin","90,184","±1,870",35.10%,±0.7
"('2 bedrooms',)","Minneapolis city, Minnesota","54,535","±1,668",28.70%,±0.8
"('2 bedrooms',)","Nashville-Davidson metropolitan government (balance), Tennessee","91,690","±2,117",29.70%,±0.7
"('2 bedrooms',)","New Orleans city, Louisiana","63,630","±1,753",33.10%,±0.9
"('2 bedrooms',)","New York city, New York","1,129,947","±6,863",32.10%,±0.2
"('2 bedrooms',)","Newark city, New Jersey","38,575","±1,308",33.70%,±1.1
"('2 bedrooms',)","Oakland city, California","57,218","±1,492",33.30%,±0.9
"('2 bedrooms',)","Oklahoma City city, Oklahoma","68,245","±2,073",24.70%,±0.7
"('2 bedrooms',)","Omaha city, Nebraska","50,058","±1,190",24.60%,±0.6
"('2 bedrooms',)","Orlando city, Florida","48,324","±1,943",35.50%,±1.2
"('2 bedrooms',)","Philadelphia city, Pennsylvania","148,643","±2,710",21.60%,±0.4
"('2 bedrooms',)","Phoenix city, Arizona","151,977","±3,165",24.20%,±0.5
"('2 bedrooms',)","Pittsburgh city, Pennsylvania","48,592","±1,501",30.50%,±0.9
"('2 bedrooms',)","Plano city, Texas","20,133",±958,17.80%,±0.8
"('2 bedrooms',)","Portland city, Oregon","84,927","±2,444",29.00%,±0.8
"('2 bedrooms',)","Raleigh city, North Carolina","56,914","±1,723",27.60%,±0.8
"('2 bedrooms',)","Riverside city, California","22,072","±1,118",23.10%,±1.1
"('2 bedrooms',)","Sacramento city, California","58,992","±1,507",29.80%,±0.8
"('2 bedrooms',)","San Antonio city, Texas","134,854","±2,893",24.30%,±0.5
"('2 bedrooms',)","San Diego city, California","175,594","±2,995",32.00%,±0.5
"('2 bedrooms',)","San Francisco city, California","119,921","±2,687",30.10%,±0.7
"('2 bedrooms',)","San Jose city, California","84,058","±2,091",24.90%,±0.6
"('2 bedrooms',)","Santa Ana city, California","24,980",±974,30.70%,±1.2
"('2 bedrooms',)","Seattle city, Washington","93,516","±2,144",25.50%,±0.6
"('2 bedrooms',)","St. Louis city, Missouri","64,058","±1,598",36.20%,±0.9
"('2 bedrooms',)","St. Paul city, Minnesota","35,036",±990,28.70%,±0.8
"('2 bedrooms',)","Stockton city, California","24,503","±1,052",24.00%,±1.0
"('2 bedrooms',)","Tampa city, Florida","51,882","±1,626",29.80%,±0.9
"('2 bedrooms',)","Tucson city, Arizona","63,247","±1,976",26.30%,±0.8
"('2 bedrooms',)","Tulsa city, Oklahoma","49,186","±1,182",26.20%,±0.6
"('2 bedrooms',)","Virginia Beach city, Virginia","41,610","±1,320",22.40%,±0.7
"('2 bedrooms',)","Washington city, District of Columbia","82,831","±2,172",26.00%,±0.7
"('2 bedrooms',)","Wichita city, Kansas","47,516","±1,435",27.50%,±0.8
"('3 bedrooms',)","Albuquerque city, New Mexico","104,532","±2,058",42.20%,±0.8
"('3 bedrooms',)","Anaheim city, California","32,047","±1,410",29.50%,±1.2
"('3 bedrooms',)","Anchorage municipality, Alaska","43,584","±1,315",36.80%,±1.1
"('3 bedrooms',)","Arlington city, Texas","59,962","±1,691",40.90%,±1.0
"('3 bedrooms',)","Atlanta city, Georgia","63,340","±2,081",25.30%,±0.8
"('3 bedrooms',)","Aurora city, Colorado","40,153","±1,172",28.90%,±0.8
"('3 bedrooms',)","Austin city, Texas","127,289","±2,686",29.80%,±0.6
"('3 bedrooms',)","Bakersfield city, California","53,525","±1,749",42.80%,±1.2
"('3 bedrooms',)","Baltimore city, Maryland","115,037","±1,735",39.10%,±0.6
"('3 bedrooms',)","Boston city, Massachusetts","70,205","±1,664",23.50%,±0.5
"('3 bedrooms',)","Charlotte city, North Carolina","133,180","±2,486",36.30%,±0.7
"('3 bedrooms',)","Chicago city, Illinois","326,982","±3,675",26.90%,±0.3
"('3 bedrooms',)","Cincinnati city, Ohio","38,334","±1,206",23.80%,±0.8
"('3 bedrooms',)","Cleveland city, Ohio","64,261","±1,483",30.40%,±0.7
"('3 bedrooms',)","Colorado Springs city, Colorado","56,468","±1,699",29.10%,±0.9
"('3 bedrooms',)","Columbus city, Ohio","133,598","±2,093",33.80%,±0.5
"('3 bedrooms',)","Corpus Christi city, Texas","55,938","±1,366",42.10%,±1.0
"('3 bedrooms',)","Dallas city, Texas","159,997","±2,658",27.50%,±0.4
"('3 bedrooms',)","Denver city, Colorado","70,690","±1,959",23.10%,±0.6
"('3 bedrooms',)","Detroit city, Michigan","158,559","±2,191",44.30%,±0.6
"('3 bedrooms',)","Durham city, North Carolina","46,116","±1,523",37.70%,±1.2
"('3 bedrooms',)","El Paso city, Texas","113,778","±2,497",45.10%,±1.0
"('3 bedrooms',)","Fort Worth city, Texas","137,669","±2,950",40.90%,±0.8
"('3 bedrooms',)","Fresno city, California","71,107","±1,702",39.50%,±0.9
"('3 bedrooms',)","Greensboro city, North Carolina","49,591","±1,542",37.80%,±1.1
"('3 bedrooms',)","Henderson city, Nevada","50,459","±1,597",38.30%,±1.2
"('3 bedrooms',)","Houston city, Texas","285,846","±3,710",29.10%,±0.4
"('3 bedrooms',)","Indianapolis city (balance), Indiana","141,032","±2,652",36.40%,±0.7
"('3 bedrooms',)","Irvine city, California","26,098","±1,291",25.00%,±1.3
"('3 bedrooms',)","Jacksonville city, Florida","168,416","±2,873",43.30%,±0.7
"('3 bedrooms',)","Jersey City city, New Jersey","25,672","±1,168",22.50%,±1.0
"('3 bedrooms',)","Kansas City city, Missouri","85,806","±1,885",36.80%,±0.8
"('3 bedrooms',)","Las Vegas city, Nevada","94,682","±1,985",36.50%,±0.7
"('3 bedrooms',)","Lexington-Fayette urban county, Kentucky","53,441","±1,210",37.40%,±0.8
"('3 bedrooms',)","Lincoln city, Nebraska","40,324","±1,119",33.00%,±0.9
"('3 bedrooms',)","Long Beach city, California","41,916","±1,454",23.90%,±0.8
"('3 bedrooms',)","Los Angeles city, California","338,256","±3,169",22.30%,±0.2
"('3 bedrooms',)","Memphis city, Tennessee","118,846","±2,204",39.70%,±0.7
"('3 bedrooms',)","Mesa city, Arizona","69,362","±1,672",32.30%,±0.7
"('3 bedrooms',)","Miami city, Florida","37,156","±1,498",17.80%,±0.7
"('3 bedrooms',)","Milwaukee city, Wisconsin","85,070","±1,533",33.10%,±0.6
"('3 bedrooms',)","Minneapolis city, Minnesota","46,361","±1,158",24.40%,±0.6
"('3 bedrooms',)","Nashville-Davidson metropolitan government (balance), Tennessee","113,134","±2,150",36.60%,±0.7
"('3 bedrooms',)","New Orleans city, Louisiana","58,249","±1,588",30.30%,±0.8
"('3 bedrooms',)","New York city, New York","783,526","±5,978",22.30%,±0.2
"('3 bedrooms',)","Newark city, New Jersey","34,727","±1,397",30.40%,±1.2
"('3 bedrooms',)","Oakland city, California","41,858","±1,310",24.40%,±0.7
"('3 bedrooms',)","Oklahoma City city, Oklahoma","121,486","±2,433",44.00%,±0.8
"('3 bedrooms',)","Omaha city, Nebraska","71,725","±1,406",35.30%,±0.7
"('3 bedrooms',)","Orlando city, Florida","38,894","±1,516",28.60%,±1.2
"('3 bedrooms',)","Philadelphia city, Pennsylvania","316,788","±3,829",46.00%,±0.6
"('3 bedrooms',)","Phoenix city, Arizona","223,255","±3,691",35.60%,±0.5
"('3 bedrooms',)","Pittsburgh city, Pennsylvania","48,978","±1,400",30.70%,±0.9
"('3 bedrooms',)","Plano city, Texas","29,744","±1,145",26.30%,±1.0
"('3 bedrooms',)","Portland city, Oregon","84,244","±1,930",28.70%,±0.7
"('3 bedrooms',)","Raleigh city, North Carolina","71,256","±1,905",34.50%,±0.9
"('3 bedrooms',)","Riverside city, California","32,070","±1,052",33.60%,±1.0
"('3 bedrooms',)","Sacramento city, California","68,199","±1,670",34.50%,±0.8
"('3 bedrooms',)","San Antonio city, Texas","210,489","±3,315",37.90%,±0.6
"('3 bedrooms',)","San Diego city, California","141,616","±2,847",25.80%,±0.5
"('3 bedrooms',)","San Francisco city, California","78,675","±2,155",19.70%,±0.5
"('3 bedrooms',)","San Jose city, California","104,981","±1,817",31.00%,±0.5
"('3 bedrooms',)","Santa Ana city, California","23,452",±949,28.80%,±1.2
"('3 bedrooms',)","Seattle city, Washington","76,465","±1,838",20.80%,±0.5
"('3 bedrooms',)","St. Louis city, Missouri","36,257","±1,328",20.50%,±0.8
"('3 bedrooms',)","St. Paul city, Minnesota","34,737","±1,047",28.50%,±0.8
"('3 bedrooms',)","Stockton city, California","37,789","±1,191",37.10%,±1.1
"('3 bedrooms',)","Tampa city, Florida","57,920","±1,430",33.30%,±0.8
"('3 bedrooms',)","Tucson city, Arizona","86,510","±2,059",35.90%,±0.8
"('3 bedrooms',)","Tulsa city, Oklahoma","74,168","±1,366",39.50%,±0.7
"('3 bedrooms',)","Virginia Beach city, Virginia","72,637","±1,667",39.10%,±0.9
"('3 bedrooms',)","Washington city, District of Columbia","65,747","±2,018",20.60%,±0.6
"('3 bedrooms',)","Wichita city, Kansas","59,212","±1,616",34.30%,±0.9
"('4 bedrooms',)","Albuquerque city, New Mexico","38,440","±1,639",15.50%,±0.7
"('4 bedrooms',)","Anaheim city, California","17,077",±875,15.70%,±0.8
"('4 bedrooms',)","Anchorage municipality, Alaska","22,336","±1,215",18.90%,±1.0
"('4 bedrooms',)","Arlington city, Texas","27,247","±1,155",18.60%,±0.8
"('4 bedrooms',)","Atlanta city, Georgia","24,260","±1,089",9.70%,±0.4
"('4 bedrooms',)","Aurora city, Colorado","27,750","±1,081",20.00%,±0.7
"('4 bedrooms',)","Austin city, Texas","59,872","±1,783",14.00%,±0.4
"('4 bedrooms',)","Bakersfield city, California","27,786","±1,168",22.20%,±0.9
"('4 bedrooms',)","Baltimore city, Maryland","27,627",±986,9.40%,±0.3
"('4 bedrooms',)","Boston city, Massachusetts","23,447","±1,069",7.80%,±0.4
"('4 bedrooms',)","Charlotte city, North Carolina","65,478","±1,840",17.80%,±0.5
"('4 bedrooms',)","Chicago city, Illinois","105,831","±2,032",8.70%,±0.2
"('4 bedrooms',)","Cincinnati city, Ohio","15,705","±1,017",9.70%,±0.6
"('4 bedrooms',)","Cleveland city, Ohio","24,181","±1,530",11.40%,±0.7
"('4 bedrooms',)","Colorado Springs city, Colorado","43,999","±1,427",22.70%,±0.7
"('4 bedrooms',)","Columbus city, Ohio","45,095","±1,609",11.40%,±0.4
"('4 bedrooms',)","Corpus Christi city, Texas","18,566",±972,14.00%,±0.7
"('4 bedrooms',)","Dallas city, Texas","59,762","±2,000",10.30%,±0.4
"('4 bedrooms',)","Denver city, Colorado","39,958","±1,313",13.00%,±0.4
"('4 bedrooms',)","Detroit city, Michigan","39,116","±1,553",10.90%,±0.4
"('4 bedrooms',)","Durham city, North Carolina","16,731","±1,018",13.70%,±0.8
"('4 bedrooms',)","El Paso city, Texas","48,501","±1,978",19.20%,±0.8
"('4 bedrooms',)","Fort Worth city, Texas","58,531","±1,938",17.40%,±0.6
"('4 bedrooms',)","Fresno city, California","25,650","±1,157",14.20%,±0.6
"('4 bedrooms',)","Greensboro city, North Carolina","18,641",±947,14.20%,±0.7
"('4 bedrooms',)","Henderson city, Nevada","27,662","±1,291",21.00%,±1.0
"('4 bedrooms',)","Houston city, Texas","111,387","±2,645",11.30%,±0.3
"('4 bedrooms',)","Indianapolis city (balance), Indiana","51,477","±1,763",13.30%,±0.5
"('4 bedrooms',)","Irvine city, California","19,431","±1,138",18.60%,±1.1
"('4 bedrooms',)","Jacksonville city, Florida","66,228","±2,103",17.00%,±0.5
"('4 bedrooms',)","Jersey City city, New Jersey","5,633",±690,4.90%,±0.6
"('4 bedrooms',)","Kansas City city, Missouri","31,820","±1,282",13.60%,±0.5
"('4 bedrooms',)","Las Vegas city, Nevada","49,363","±1,421",19.00%,±0.6
"('4 bedrooms',)","Lexington-Fayette urban county, Kentucky","26,719","±1,054",18.70%,±0.7
"('4 bedrooms',)","Lincoln city, Nebraska","19,694",±976,16.10%,±0.8
"('4 bedrooms',)","Long Beach city, California","11,500",±730,6.50%,±0.4
"('4 bedrooms',)","Los Angeles city, California","134,619","±2,225",8.90%,±0.1
"('4 bedrooms',)","Memphis city, Tennessee","35,070","±1,374",11.70%,±0.5
"('4 bedrooms',)","Mesa city, Arizona","33,577","±1,152",15.60%,±0.5
"('4 bedrooms',)","Miami city, Florida","9,736",±862,4.70%,±0.4
"('4 bedrooms',)","Milwaukee city, Wisconsin","24,652","±1,120",9.60%,±0.4
"('4 bedrooms',)","Minneapolis city, Minnesota","19,861",±838,10.40%,±0.4
"('4 bedrooms',)","Nashville-Davidson metropolitan government (balance), Tennessee","38,062","±1,687",12.30%,±0.5
"('4 bedrooms',)","New Orleans city, Louisiana","22,103","±1,371",11.50%,±0.7
"('4 bedrooms',)","New York city, New York","192,091","±3,303",5.50%,±0.1
"('4 bedrooms',)","Newark city, New Jersey","5,390",±588,4.70%,±0.5
"('4 bedrooms',)","Oakland city, California","14,714",±818,8.60%,±0.5
"('4 bedrooms',)","Oklahoma City city, Oklahoma","40,561","±1,558",14.70%,±0.6
"('4 bedrooms',)","Omaha city, Nebraska","34,234","±1,117",16.80%,±0.5
"('4 bedrooms',)","Orlando city, Florida","12,710",±949,9.30%,±0.7
"('4 bedrooms',)","Philadelphia city, Pennsylvania","62,068","±1,972",9.00%,±0.3
"('4 bedrooms',)","Phoenix city, Arizona","120,035","±2,677",19.10%,±0.4
"('4 bedrooms',)","Pittsburgh city, Pennsylvania","14,240",±781,8.90%,±0.5
"('4 bedrooms',)","Plano city, Texas","34,807","±1,101",30.70%,±1.0
"('4 bedrooms',)","Portland city, Oregon","37,877","±1,466",12.90%,±0.5
"('4 bedrooms',)","Raleigh city, North Carolina","33,750","±1,432",16.40%,±0.7
"('4 bedrooms',)","Riverside city, California","20,849",±865,21.80%,±0.8
"('4 bedrooms',)","Sacramento city, California","29,457","±1,123",14.90%,±0.5
"('4 bedrooms',)","San Antonio city, Texas","83,002","±2,339",15.00%,±0.4
"('4 bedrooms',)","San Diego city, California","81,613","±1,970",14.90%,±0.4
"('4 bedrooms',)","San Francisco city, California","29,127","±1,206",7.30%,±0.3
"('4 bedrooms',)","San Jose city, California","74,168","±1,633",21.90%,±0.5
"('4 bedrooms',)","Santa Ana city, California","12,411",±742,15.30%,±0.9
"('4 bedrooms',)","Seattle city, Washington","41,553","±1,431",11.30%,±0.4
"('4 bedrooms',)","St. Louis city, Missouri","14,544",±923,8.20%,±0.5
"('4 bedrooms',)","St. Paul city, Minnesota","15,280",±760,12.50%,±0.6
"('4 bedrooms',)","Stockton city, California","20,154",±968,19.80%,±0.9
"('4 bedrooms',)","Tampa city, Florida","21,882","±1,069",12.60%,±0.6
"('4 bedrooms',)","Tucson city, Arizona","31,864","±1,436",13.20%,±0.6
"('4 bedrooms',)","Tulsa city, Oklahoma","22,688",±833,12.10%,±0.4
"('4 bedrooms',)","Virginia Beach city, Virginia","46,408","±1,389",25.00%,±0.7
"('4 bedrooms',)","Washington city, District of Columbia","28,328","±1,113",8.90%,±0.3
"('4 bedrooms',)","Wichita city, Kansas","25,583","±1,118",14.80%,±0.6
"('5 or more bedrooms',)","Albuquerque city, New Mexico","5,824",±745,2.30%,±0.3
"('5 or more bedrooms',)","Anaheim city, California","3,685",±475,3.40%,±0.4
"('5 or more bedrooms',)","Anchorage municipality, Alaska","4,958",±589,4.20%,±0.5
"('5 or more bedrooms',)","Arlington city, Texas","4,072",±601,2.80%,±0.4
"('5 or more bedrooms',)","Atlanta city, Georgia","9,334",±560,3.70%,±0.2
"('5 or more bedrooms',)","Aurora city, Colorado","9,668",±793,7.00%,±0.6
"('5 or more bedrooms',)","Austin city, Texas","10,499",±815,2.50%,±0.2
"('5 or more bedrooms',)","Bakersfield city, California","4,508",±602,3.60%,±0.5
"('5 or more bedrooms',)","Baltimore city, Maryland","10,124",±667,3.40%,±0.2
"('5 or more bedrooms',)","Boston city, Massachusetts","8,759",±661,2.90%,±0.2
"('5 or more bedrooms',)","Charlotte city, North Carolina","17,623","±1,033",4.80%,±0.3
"('5 or more bedrooms',)","Chicago city, Illinois","45,960","±1,516",3.80%,±0.1
"('5 or more bedrooms',)","Cincinnati city, Ohio","5,337",±607,3.30%,±0.4
"('5 or more bedrooms',)","Cleveland city, Ohio","7,174",±624,3.40%,±0.3
"('5 or more bedrooms',)","Colorado Springs city, Colorado","20,100",±903,10.40%,±0.5
"('5 or more bedrooms',)","Columbus city, Ohio","5,458",±530,1.40%,±0.1
"('5 or more bedrooms',)","Corpus Christi city, Texas","1,753",±400,1.30%,±0.3
"('5 or more bedrooms',)","Dallas city, Texas","12,884",±754,2.20%,±0.1
"('5 or more bedrooms',)","Denver city, Colorado","14,516",±809,4.70%,±0.3
"('5 or more bedrooms',)","Detroit city, Michigan","11,737",±847,3.30%,±0.2
"('5 or more bedrooms',)","Durham city, North Carolina","4,525",±631,3.70%,±0.5
"('5 or more bedrooms',)","El Paso city, Texas","7,217",±769,2.90%,±0.3
"('5 or more bedrooms',)","Fort Worth city, Texas","9,731",±875,2.90%,±0.3
"('5 or more bedrooms',)","Fresno city, California","5,029",±480,2.80%,±0.3
"('5 or more bedrooms',)","Greensboro city, North Carolina","3,737",±495,2.80%,±0.4
"('5 or more bedrooms',)","Henderson city, Nevada","8,966",±729,6.80%,±0.6
"('5 or more bedrooms',)","Houston city, Texas","21,409","±1,259",2.20%,±0.1
"('5 or more bedrooms',)","Indianapolis city (balance), Indiana","8,863",±793,2.30%,±0.2
"('5 or more bedrooms',)","Irvine city, California","4,916",±595,4.70%,±0.6
"('5 or more bedrooms',)","Jacksonville city, Florida","10,766","±1,000",2.80%,±0.3
"('5 or more bedrooms',)","Jersey City city, New Jersey","2,559",±311,2.20%,±0.3
"('5 or more bedrooms',)","Kansas City city, Missouri","8,430",±696,3.60%,±0.3
"('5 or more bedrooms',)","Las Vegas city, Nevada","12,307",±894,4.70%,±0.3
"('5 or more bedrooms',)","Lexington-Fayette urban county, Kentucky","5,867",±532,4.10%,±0.4
"('5 or more bedrooms',)","Lincoln city, Nebraska","6,324",±511,5.20%,±0.4
"('5 or more bedrooms',)","Long Beach city, California","3,089",±339,1.80%,±0.2
"('5 or more bedrooms',)","Los Angeles city, California","43,336","±1,359",2.90%,±0.1
"('5 or more bedrooms',)","Memphis city, Tennessee","8,462",±679,2.80%,±0.2
"('5 or more bedrooms',)","Mesa city, Arizona","9,166",±725,4.30%,±0.3
"('5 or more bedrooms',)","Miami city, Florida","2,179",±292,1.00%,±0.1
"('5 or more bedrooms',)","Milwaukee city, Wisconsin","5,624",±547,2.20%,±0.2
"('5 or more bedrooms',)","Minneapolis city, Minnesota","5,882",±547,3.10%,±0.3
"('5 or more bedrooms',)","Nashville-Davidson metropolitan government (balance), Tennessee","8,136",±715,2.60%,±0.2
"('5 or more bedrooms',)","New Orleans city, Louisiana","4,655",±412,2.40%,±0.2
"('5 or more bedrooms',)","New York city, New York","81,122","±1,934",2.30%,±0.1
"('5 or more bedrooms',)","Newark city, New Jersey","3,017",±476,2.60%,±0.4
"('5 or more bedrooms',)","Oakland city, California","4,208",±402,2.50%,±0.2
"('5 or more bedrooms',)","Oklahoma City city, Oklahoma","4,346",±410,1.60%,±0.1
"('5 or more bedrooms',)","Omaha city, Nebraska","9,958",±642,4.90%,±0.3
"('5 or more bedrooms',)","Orlando city, Florida","3,095",±607,2.30%,±0.4
"('5 or more bedrooms',)","Philadelphia city, Pennsylvania","21,049","±1,101",3.10%,±0.2
"('5 or more bedrooms',)","Phoenix city, Arizona","24,244","±1,399",3.90%,±0.2
"('5 or more bedrooms',)","Pittsburgh city, Pennsylvania","7,492",±601,4.70%,±0.4
"('5 or more bedrooms',)","Plano city, Texas","8,447",±823,7.50%,±0.7
"('5 or more bedrooms',)","Portland city, Oregon","10,456",±694,3.60%,±0.2
"('5 or more bedrooms',)","Raleigh city, North Carolina","8,488",±686,4.10%,±0.3
"('5 or more bedrooms',)","Riverside city, California","5,805",±586,6.10%,±0.6
"('5 or more bedrooms',)","Sacramento city, California","5,649",±546,2.90%,±0.3
"('5 or more bedrooms',)","San Antonio city, Texas","13,399",±950,2.40%,±0.2
"('5 or more bedrooms',)","San Diego city, California","22,365","±1,201",4.10%,±0.2
"('5 or more bedrooms',)","San Francisco city, California","10,480",±741,2.60%,±0.2
"('5 or more bedrooms',)","San Jose city, California","16,258",±897,4.80%,±0.3
"('5 or more bedrooms',)","Santa Ana city, California","2,190",±315,2.70%,±0.4
"('5 or more bedrooms',)","Seattle city, Washington","15,388",±961,4.20%,±0.3
"('5 or more bedrooms',)","St. Louis city, Missouri","5,052",±439,2.90%,±0.2
"('5 or more bedrooms',)","St. Paul city, Minnesota","4,452",±420,3.70%,±0.4
"('5 or more bedrooms',)","Stockton city, California","5,191",±626,5.10%,±0.6
"('5 or more bedrooms',)","Tampa city, Florida","5,623",±489,3.20%,±0.3
"('5 or more bedrooms',)","Tucson city, Arizona","3,951",±588,1.60%,±0.2
"('5 or more bedrooms',)","Tulsa city, Oklahoma","4,727",±343,2.50%,±0.2
"('5 or more bedrooms',)","Virginia Beach city, Virginia","12,068",±729,6.50%,±0.4
"('5 or more bedrooms',)","Washington city, District of Columbia","11,683",±706,3.70%,±0.2
"('5 or more bedrooms',)","Wichita city, Kansas","12,398",±644,7.20%,±0.4
"('Occupied housing units',)","Albuquerque city, New Mexico","229,701","±1,266","229,701",(X)
"('Occupied housing units',)","Anaheim city, California","103,704","±1,461","103,704",(X)
"('Occupied housing units',)","Anchorage municipality, Alaska","106,970",±777,"106,970",(X)
"('Occupied housing units',)","Arlington city, Texas","135,240","±1,855","135,240",(X)
"('Occupied housing units',)","Atlanta city, Georgia","215,179","±2,365","215,179",(X)
"('Occupied housing units',)","Aurora city, Colorado","133,062","±1,306","133,062",(X)
"('Occupied housing units',)","Austin city, Texas","395,280","±2,701","395,280",(X)
"('Occupied housing units',)","Bakersfield city, California","118,568","±1,478","118,568",(X)
